farm_county,farm_name,farm_address,latitude,longitude,livestock_name,livestock_type,head_count,farm_source,survey_date,date,reference_date,outbreak_date,label_infected
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-02-28,2017-02-28,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-01,2017-03-01,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-02,2017-03-02,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-03,2017-03-03,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-04,2017-03-04,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-05,2017-03-05,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-06,2017-03-06,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-07,2017-03-07,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-08,2017-03-08,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-09,2017-03-09,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-10,2017-03-10,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-11,2017-03-11,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-12,2017-03-12,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-13,2017-03-13,,0
고양시,가나안농장,경기도 고양시 일산동구 지영동 736번지,37.7123449101,126.8250892675,닭,육계,42000.0,census,2018-09-30,2017-03-14,2017-03-14,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-01,2023-01-01,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-02,2023-01-02,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-03,2023-01-03,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-04,2023-01-04,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-05,2023-01-05,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-06,2023-01-06,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-07,2023-01-07,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-08,2023-01-08,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-09,2023-01-09,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-10,2023-01-10,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-11,2023-01-11,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-12,2023-01-12,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-13,2023-01-13,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-14,2023-01-14,,0
고양시,강O석,경기도 고양시 일산서구 가좌동 951번지,37.6853219204,126.7141660096,닭,육계,30000.0,census,2018-10-31,2023-01-15,2023-01-15,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-23,2016-12-23,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-24,2016-12-24,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-25,2016-12-25,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-26,2016-12-26,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-27,2016-12-27,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-28,2016-12-28,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-29,2016-12-29,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-30,2016-12-30,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2016-12-31,2016-12-31,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2017-01-01,2017-01-01,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2017-01-02,2017-01-02,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2017-01-03,2017-01-03,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2017-01-04,2017-01-04,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2017-01-05,2017-01-05,,0
고양시,강○○,경기도 고양시 일산동구 성석동 1294번지 1호,37.6986540114,126.7893137558,닭,산란계,100.0,census,2018-09-30,2017-01-06,2017-01-06,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-02-28,2017-02-28,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-01,2017-03-01,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-02,2017-03-02,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-03,2017-03-03,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-04,2017-03-04,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-05,2017-03-05,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-06,2017-03-06,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-07,2017-03-07,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-08,2017-03-08,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-09,2017-03-09,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-10,2017-03-10,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-11,2017-03-11,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-12,2017-03-12,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-13,2017-03-13,,0
고양시,강○○,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6886837238,126.8298394407,오리,오리,7000.0,census,2018-10-31,2017-03-14,2017-03-14,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-02-28,2017-02-28,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-01,2017-03-01,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-02,2017-03-02,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-03,2017-03-03,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-04,2017-03-04,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-05,2017-03-05,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-06,2017-03-06,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-07,2017-03-07,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-08,2017-03-08,,0
고양시,강아지나라,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,닭,산란계,20.0,census,2018-12-31,2017-03-09,2017-03-09,,0
