시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
구례군,25시 농장,육용오리,,15000.0,전라남도 구례군 용방면 신도리 1157-19,,,2021-02-01
구례군,광의농장,육용오리,,25000.0,전라남도 구례군 용방면 용정리 765-7,,,2021-02-01
구례군,광의농장,육용오리,,18000.0,전라남도 구례군 광의면 온당리 846-1,,,2021-02-01
구례군,김동주농장,육계,,62000.0,전라남도 구례군 문척면 중산리 470-1,,,2021-02-01
구례군,김인숙 농장,육용오리,,29000.0,전라남도 구례군 광의면 수월리 896-1,,,2021-02-01
구례군,냉천오리농장,육용오리,,13000.0,전라남도 구례군 마산면 광평리 559-1,,,2021-02-01
구례군,두동농장,육용오리,,19000.0,전라남도 구례군 용방면 용강리 420-23,,,2021-02-01
구례군,드림농장,육계,,91000.0,전라남도 구례군 마산면 냉천리 743-10,,,2021-02-01
구례군,마산농장,육용오리,,10000.0,전라남도 구례군 마산면 마산리 329-2,,,2021-02-01
구례군,명인농장,육용오리,,12000.0,전라남도 구례군 용방면 용정리 767-2,,,2021-02-01
구례군,문척오산농장,육용오리,,13000.0,전라남도 구례군 문척면 월전리 948-1,,,2021-02-01
구례군,반석농장,육용오리,,16000.0,전라남도 구례군 용방면 신도리 1144-16,,,2021-02-01
구례군,벧엘농장,육계,,30000.0,전라남도 구례군 토지면 금내리 1011-1,,,2021-02-01
구례군,성지농장,육계,,70000.0,전라남도 구례군 용방면 용강리 455,,,2021-02-01
구례군,성진농장,종계,,27600.0,전라남도 구례군 구례읍 원방리 652,,,2021-02-01
구례군,신한농장,육용오리,,18000.0,전라남도 구례군 용방면 신도리 195-8,,,2021-02-01
구례군,오리천국,육용오리,,44000.0,전라남도 구례군 용방면 신도리 733-2,,,2021-02-01
구례군,온동농장,육용오리,,18000.0,전라남도 구례군 광의면 온당리 846-6,,,2021-02-01
구례군,원동양계장,육계,,45500.0,전라남도 구례군 산동면 계천리 274,,,2021-02-01
구례군,이가농장,육용오리,,15000.0,전라남도 구례군 광의면 온당리 842-7,,,2021-02-01
구례군,이평농장,육용오리,,21000.0,전라남도 구례군 용방면 중방리 686-21,,,2021-02-01
구례군,자연오리,육용오리,,10000.0,전라남도 구례군 용방면 신도리 1144-7,,,2021-02-01
구례군,자연오리,육용오리,,11000.0,전라남도 구례군 용방면 신도리 1137-5,,,2021-02-01
구례군,점임농장,육용오리,,10000.0,전라남도 구례군 용방면 용강리 413-8,,,2021-02-01
구례군,주경오리농장,육용오리,,15000.0,전라남도 구례군 용방면 중방리 687-2,,,2021-02-01
구례군,죽정리농장,육용오리,,10000.0,전라남도 구례군 용방면 신도리 1151-18,,,2021-02-01
구례군,지리산황토오리농장,육용오리,,35000.0,전라남도 구례군 광의면 방광리 897-4,,,2021-02-01
구례군,진현농장,육용오리,,19600.0,전라남도 구례군 용방면 신도리 1155-1,,,2021-02-01
구례군,푸른농장,육용오리,,18000.0,전라남도 구례군 용방면 신도리 1157-12,,,2021-02-01
구례군,한송농장,육계,,38400.0,전라남도 구례군 마산면 갑산리 141-14,,,2021-02-01
구례군,허상영농장,육계,,90000.0,전라남도 구례군 구례읍 계산리 33-1,,,2021-02-01
구례군,현수농장,육용오리,,20000.0,전라남도 구례군 용방면 신도리 736-6,,,2021-02-01
구례군,형기농장,육용오리,,10000.0,전라남도 구례군 용방면 신도리 1148-21,,,2021-02-01
나주시,○○,육우,,,전라남도 나주시 세지면 송제리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 봉황면 만봉리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 왕곡면 신원리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 공산면 동촌리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 동강면 장동리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 문평면 오룡리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 공산면 금곡리,,,2023-01-20
나주시,○○ 농업실습교육원,한우,,,전라남도 나주시 봉황면 황용리,,,2023-01-20
나주시,○○farm,육계,,,전라남도 나주시 왕곡면 송죽리,,,2023-01-20
나주시,○○farm,육계,,,전라남도 나주시 세지면 교산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 반남면 청송리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다시면 죽산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 봉황면 장성리,,,2023-01-20
나주시,○○○,오리,,,전라남도 나주시 남평읍 우산리,,,2023-01-20
나주시,○○○,염소,,,전라남도 나주시 다도면 마산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 봉황면 덕곡리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 공산면 가송리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 계림리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 도산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다도면 송학리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 왕곡면 신포리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 봉황면 만봉리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 동강면 진천리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 유곡리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 반남면 흥덕리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 금안리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 학산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 동강면 옥정리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 세지면 송제리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 보산동,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 세지면 내정리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 공산면 남창리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 공산면 상방리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다시면 운봉리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 왕곡면 장산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다시면 영동리,,,2023-01-20
나주시,○○○,염소,,,전라남도 나주시 봉황면 송현리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 동강면 장동리,,,2023-01-20
나주시,○○○,오리,,,전라남도 나주시 공산면 동촌리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 반남면 성계리,,,2023-01-20
나주시,○○노장,한우,,,전라남도 나주시 반남면 청송리,,,2023-01-20
나주시,○○농산,한우,,,전라남도 나주시 동강면 대전리,,,2023-01-20
나주시,○○농산,한우,,,전라남도 나주시 관정동,,,2023-01-20
나주시,○○농산,오리,,,전라남도 나주시 봉황면 황용리,,,2023-01-20
나주시,○○농원,한우,,,전라남도 나주시 왕곡면 화정리,,,2023-01-20
나주시,○○농원,한우,,,전라남도 나주시 봉황면 신동리,,,2023-01-20
나주시,○○농원,종계/산란계,,,전라남도 나주시 봉황면 옥산리,,,2023-01-20
나주시,○○농원,한우,,,전라남도 나주시 동강면 곡천리,,,2023-01-20
나주시,○○농원,한우,,,전라남도 나주시 왕곡면 행전리,,,2023-01-20
나주시,○○농원,육계,,,전라남도 나주시 다도면 판촌리,,,2023-01-20
나주시,○○농원,한우,,,전라남도 나주시 이창동,,,2023-01-20
나주시,○○농원,오리,,,전라남도 나주시 동강면 장동리,,,2023-01-20
나주시,○○농원,오리,,,전라남도 나주시 동강면 월양리,,,2023-01-20
나주시,○○농원,한우,,,전라남도 나주시 봉황면 장성리,,,2023-01-20
나주시,○○농원,종오리업,,,전라남도 나주시 동강면 대전리,,,2023-01-20
나주시,○○농원,육계,,,전라남도 나주시 공산면 금곡리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 반남면 흥덕리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 다시면 송촌리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 동강면 양지리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 대기동,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 노안면 안산리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 산포면 덕례리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 세지면 동곡리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 다도면 신동리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 다시면 동곡리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 동강면 대지리,,,2023-01-20
나주시,○○농장,한우,,,전라남도 나주시 노안면 도산리,,,2023-01-20
