시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜,coord_precision
나주시,○○farm,닭,육계,,전라남도 나주시 세지면 교산리,34.9119595949191,126.724272750918,2023-01-20,2023-01-06,exact
나주시,○○farm,닭,육계,,전라남도 나주시 왕곡면 송죽리,34.959174903013,126.626057022869,2023-01-20,2023-01-06,exact
나주시,○○○,오리,,,전라남도 나주시 공산면 동촌리,34.9442875009819,126.591313740358,2023-01-20,2023-01-06,exact
나주시,○○농산,오리,,,전라남도 나주시 봉황면 황용리,34.9663169661414,126.759936021921,2023-01-20,2023-01-06,exact
나주시,○○농원,닭,육계,,전라남도 나주시 공산면 금곡리,34.9355649251267,126.614233434037,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 관정동,34.9970642511991,126.74889236946,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 세지면 죽동리,34.9499823548507,126.717353598999,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 공산면 동촌리,34.9442875009819,126.591313740358,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,종계/산란계,,전라남도 나주시 봉황면 덕림리,34.9235683292703,126.766740878446,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 반남면 신촌리,34.917926547006,126.660111627911,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 반남면 성계리,34.8931553705655,126.675608531047,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 공산면 남창리,34.9520724813974,126.609032517719,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 왕곡면 월천리,34.9630654270088,126.65919392084,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 반남면 대안리,34.9166820179858,126.641088773833,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 공산면 상방리,34.9366533978833,126.630340570579,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 세지면 벽산리,34.9119720349521,126.741413158175,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 반남면 덕산리,34.9083495846804,126.66772301164,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 영산동,34.9997272010708,126.713975249783,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 세지면 성산리,34.896825403658,126.739911450662,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 반남면 청송리,34.9375084168353,126.655030758388,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 왕곡면 장산리,34.9750382760779,126.70415707069,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 반남면 흥덕리,34.8999106354098,126.641665032691,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,종계/산란계,,전라남도 나주시 봉황면 죽석리,34.9584256630861,126.785653579367,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 세지면 송제리,34.9284318303324,126.717300567785,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 세지면 내정리,34.9493180064294,126.734521610314,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 왕곡면 신원리,34.9480626768044,126.706075647713,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 왕곡면 송죽리,34.959174903013,126.626057022869,2023-01-20,2023-01-06,exact
나주시,○○농장,기러기,,,전라남도 나주시 동수동 14번,34.9760568258614,126.680665535189,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 공산면 중포리,34.9646803344111,126.587038546334,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 봉황면 황용리,34.9663169661414,126.759936021921,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 공산면 복용리,34.92812626585,126.636310839128,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 공산면 화성리,34.9283490607961,126.596120900731,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 세지면 동곡리,34.9621726216009,126.726771890102,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 봉황면 오림리,34.93476759893,126.763210961407,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 왕곡면 화정리,34.9536505584229,126.670662697631,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 세지면 오봉리,34.9133769108948,126.758300006603,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 오량동,34.9810207187876,126.662983312311,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 봉황면 용전리,34.9757887265448,126.776957006827,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 동수동 93번,34.9760568258614,126.680665535189,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 왕곡면 덕산리,34.9640940575216,126.682187946022,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 왕곡면 신가리,34.9565350049654,126.698434017522,2023-01-20,2023-01-06,exact
나주시,○○농장,오리,,,전라남도 나주시 안창동,35.0116642393304,126.68593061084,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 다시면 문동리,34.9994512670859,126.615384175737,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,종계/산란계,,전라남도 나주시 봉황면 신동리,34.9654827329517,126.74340442315,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,종계/산란계,,전라남도 나주시 봉황면 욱곡리,34.9530434090241,126.751991419013,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 봉황면 와우리,34.9470653049676,126.774122855467,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 금천면 죽촌리,34.9910318578061,126.76867893663,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 세지면 교산리,34.9119595949191,126.724272750918,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 동수동,34.9760568258614,126.680665535189,2023-01-20,2023-01-06,exact
나주시,○○농장,닭,육계,,전라남도 나주시 평산동,34.9842342224089,126.751638928445,2023-01-20,2023-01-06,exact
나주시,○○법인,오리,,,전라남도 나주시 다시면 문동리,34.9994512670859,126.615384175737,2023-01-20,2023-01-06,exact
나주시,○○양계,닭,종계/산란계,,전라남도 나주시 세지면 교산리,34.9119595949191,126.724272750918,2023-01-20,2023-01-06,exact
나주시,○○양계장,닭,종계/산란계,,전라남도 나주시 공산면 복용리,34.92812626585,126.636310839128,2023-01-20,2023-01-06,exact
나주시,○○오리,오리,,,전라남도 나주시 세지면 성산리,34.896825403658,126.739911450662,2023-01-20,2023-01-06,exact
나주시,○○축산,오리,종오리,,전라남도 나주시 다시면 문동리,34.9994512670859,126.615384175737,2023-01-20,2023-01-06,exact
나주시,○○축산,닭,종계,,전라남도 나주시 동수동,34.9760568258614,126.680665535189,2023-01-20,2023-01-06,exact
나주시,○○축산,닭,육계,,전라남도 나주시 반남면 덕산리,34.9083495846804,126.66772301164,2023-01-20,2023-01-06,exact
나주시,○○축산,닭,육계,,전라남도 나주시 공산면 복용리,34.92812626585,126.636310839128,2023-01-20,2023-01-06,exact
나주시,○○팜,닭,종계/산란계,,전라남도 나주시 공산면 복용리,34.92812626585,126.636310839128,2023-01-20,2023-01-06,exact
나주시,관상조류마을,닭,육계,,전라남도 나주시 봉황면 신동리,34.9654827329517,126.74340442315,2023-01-20,2023-01-06,exact
나주시,광동양계장,닭,육계,,전라남도 나주시 반남면 청송리,34.9375084168353,126.655030758388,2023-01-20,2023-01-06,exact
나주시,알파쓰리,오리,,,전라남도 나주시 왕곡면 화정리,34.9536505584229,126.670662697631,2023-01-20,2023-01-06,exact
나주시,행복한 토종닭,닭,육계,,전라남도 나주시 다시면 가운리,35.0172774905759,126.66030146899,2023-01-20,2023-01-06,exact
무안군,요안농장,오리,,,전라남도 무안군 일로읍 복룡리,34.8635526223044,126.536254443759,2025-11-25,2025-12-09,exact
영암군,153농장,닭,육계,9300.0,전라남도 영암군 영암읍 농덕리,34.8014156490273,126.745937727132,2015-07-02,2015-06-13,exact
영암군,가나안 농장,오리,,16000.0,전라남도 영암군 시종면 월롱리,34.8845154621286,126.610227858592,2015-07-02,2015-06-13,exact
영암군,갈곡농장,닭,육계,35000.0,전라남도 영암군 신북면 갈곡리,34.9222652128749,126.687409765426,2015-07-02,2015-06-13,exact
영암군,건숙농장,오리,,17000.0,전라남도 영암군 금정면 안노리,34.8841276463677,126.763404438387,2015-07-02,2015-06-13,exact
영암군,건향오리,오리,,52000.0,전라남도 영암군 신북면 행정리,34.8794605112525,126.66205517285,2015-07-02,2015-06-13,exact
영암군,광주농장,오리,,7000.0,전라남도 영암군 영암읍 망호리,34.8089449259043,126.685993470297,2015-07-02,2015-06-13,exact
영암군,그린농장,닭,육계,120000.0,전라남도 영암군 덕진면 노송리,34.819187537883,126.73235147469,2015-07-02,2015-06-13,exact
영암군,그린농장,오리,,20000.0,전라남도 영암군 덕진면 장선리,34.8345251037493,126.678440552417,2015-07-02,2015-06-13,exact
영암군,그린축산,오리,,30000.0,전라남도 영암군 시종면 월롱리,34.8845154621286,126.610227858592,2015-07-02,2015-06-13,exact
영암군,금정농장,닭,산란계,54000.0,전라남도 영암군 도포면 덕화리,34.8374269621404,126.632385221895,2015-07-02,2015-06-13,exact
영암군,금지오리,오리,,12000.0,전라남도 영암군 시종면 금지리,34.8934062846283,126.619165477487,2015-07-02,2015-06-13,exact
영암군,나주뜰오리,오리,,30000.0,전라남도 영암군 신북면 월지리,34.8804608602042,126.636367793905,2015-07-02,2015-06-13,exact
영암군,남경축산,오리,,22000.0,전라남도 영암군 신북면 갈곡리,34.9222652128749,126.687409765426,2015-07-02,2015-06-13,exact
영암군,낭주농장,닭,육계,58000.0,전라남도 영암군 영암읍 송평리,34.8064397810748,126.665968684641,2015-07-02,2015-06-13,exact
영암군,낭주오리농장,오리,,15000.0,전라남도 영암군 도포면 원항리,34.8237704262066,126.607475468266,2015-07-02,2015-06-13,exact
영암군,농계농장,오리,,6500.0,전라남도 영암군 영암읍 송평리,34.8064397810748,126.665968684641,2015-07-02,2015-06-13,exact
영암군,닭실털보농장,오리,,63000.0,전라남도 영암군 신북면 유곡리,34.9053531862656,126.686664184283,2015-07-02,2015-06-13,exact
