시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,coord_precision
음성군,-,닭,육계,55000.0,충청북도 음성군 소이면 중동리 371번지 2호,36.8924657690638,127.777687218808,2021-01-31,exact
음성군,건영농장,오리,,12000.0,충청북도 음성군 맹동면 마산리 388번지 1호,36.9367308610205,127.53915813674,2021-01-31,exact
음성군,기흥농장,닭,종계/산란계,21000.0,충청북도 음성군 생극면 송곡리 417번지 6호,37.0572448189202,127.590531258944,2021-01-31,exact
음성군,낙원농장,오리,,7000.0,충청북도 음성군 대소면 수태리 125번지,36.9369742444381,127.517482855977,2021-01-31,exact
음성군,농업회사법인 주식회사 에버그린(금왕지점),메추리,,1200000.0,충청북도 음성군 금왕읍 신평리 307번지 외 12필지,36.9918237885871,127.544248517365,2021-01-31,exact
음성군,농업회사법인(주)동일농장 대소2지점,닭,종계/산란계,40000.0,충청북도 음성군 대소면 삼호리 394번지,36.954559198902,127.463208933143,2021-01-31,exact
음성군,농업회사법인주식회사 동일농장,닭,종계/산란계,41000.0,충청북도 음성군 대소면 삼호리 454번지,36.9506410086947,127.461454544779,2021-01-31,exact
음성군,대길농장,닭,육계,100000.0,충청북도 음성군 맹동면 봉현리 681번지,36.9335076319171,127.527005478727,2021-01-31,exact
음성군,대동농장,메추리,,40000.0,충청북도 음성군 소이면 금고리 527번지 1호,36.9189677719651,127.746408006928,2021-01-31,exact
음성군,대박농장,닭,육계,45000.0,충청북도 음성군 맹동면 용촌리 69번지,36.9310059795863,127.536640405372,2021-01-31,exact
음성군,대박제2농장,닭,육계,41000.0,충청북도 음성군 대소면 미곡리 401번지 1호 외1필지,36.9393110953265,127.470405203416,2021-01-31,exact
음성군,두리농장,오리,,9000.0,충청북도 음성군 맹동면 신돈리 51번지 3호,36.9126933492924,127.530058699049,2021-01-31,exact
음성군,류봉농장3,닭,육계,56000.0,충청북도 음성군 맹동면 봉현리 200번지 2호 외 1필지(200-1),36.9431951957411,127.538903499574,2021-01-31,exact
음성군,만석농장,닭,종계/산란계,550.0,충청북도 음성군 원남면 보룡리 86번지,36.8846960721516,127.655813576138,2021-01-31,exact
음성군,명성농장,오리,,17000.0,충청북도 음성군 맹동면 용촌리 604번지 1호,36.9261249928712,127.519246694417,2021-01-31,exact
음성군,모란농장,오리,,5500.0,충청북도 음성군 삼성면 청용리 485번지,36.9904692313816,127.463881313963,2021-01-31,exact
음성군,벧엘농장,닭,종계/산란계,5500.0,충청북도 음성군 생극면 임곡리 34번지 1호,37.0677344986038,127.586664812112,2021-01-31,exact
음성군,복숭아농장,닭,육계,150.0,충청북도 음성군 음성읍 신천리 918번지,36.9214444930346,127.666110336083,2021-01-31,exact
음성군,부광원,오리,,11900.0,"충청북도 음성군 맹동면 용촌리 200번지 5호 외 2필지(200-35, 200-39)",36.9321796421993,127.522512866118,2021-01-31,exact
음성군,부윤2농장,오리,,15000.0,"충청북도 음성군 대소면 수태리 122번지 외 2필지(123, 124)",36.9377183608049,127.517895586789,2021-01-31,exact
음성군,부윤농장,오리,,7000.0,충청북도 음성군 대소면 부윤리 산 73번지,36.9436440084619,127.51862789133,2021-01-31,exact
음성군,삼용농장,오리,,12000.0,충청북도 음성군 원남면 삼용리 284번지,36.8890149719747,127.608188578834,2021-01-31,exact
음성군,삼원농장 1,오리,,8800.0,충청북도 음성군 맹동면 마산리 464번지 외 1필지,36.9342187836168,127.541603809393,2021-01-31,exact
음성군,상당농장,닭,육계,40000.0,충청북도 음성군 원남면 상당리 475번지 1호,36.8980135073222,127.671848265261,2021-01-31,exact
음성군,상미양계장,닭,육계,50000.0,충청북도 음성군 원남면 마송리 76번지 2호,36.8874226856089,127.670821011094,2021-01-31,exact
음성군,서원농장,닭,육계,80000.0,충청북도 음성군 금왕읍 호산리 925번지,37.0385154808169,127.555732701501,2021-01-31,exact
음성군,석우농장,닭,종계/산란계,200000.0,충청북도 음성군 감곡면 상우리 3번지,37.1248439622571,127.681448183511,2021-01-31,exact
음성군,수농장,오리,,12000.0,충청북도 음성군 대소면 삼정리 764번지 1호,36.9471772423955,127.481919976848,2021-01-31,exact
음성군,아람농장,닭,육계,50000.0,충청북도 음성군 맹동면 봉현리 278번지,36.9404798806963,127.544179940302,2021-01-31,exact
음성군,에덴농원,닭,육계,200.0,충청북도 음성군 금왕읍 오선리 390번지,36.9716799175428,127.554396386971,2021-01-31,exact
음성군,열희농장,닭,육계,100000.0,충청북도 음성군 원남면 보천리 198번지,36.8766559022298,127.633957040025,2021-01-31,exact
음성군,왕봉농장,오리,,5000.0,충청북도 음성군 맹동면 봉현리 193번지 5호,36.9433414926802,127.545307849913,2021-01-31,exact
음성군,용원농장,닭,육계,70000.0,충청북도 음성군 맹동면 봉현리 353번지 외 3필지,36.9414255222026,127.534165786284,2021-01-31,exact
음성군,우리농장,오리,,10500.0,충청북도 음성군 대소면 미곡리 374번지 3호,36.9430762737999,127.479618635259,2021-01-31,exact
음성군,이레농장,닭,종계/산란계,8500.0,충청북도 음성군 생극면 임곡리 258번지 1호,37.0631645195913,127.579623600662,2021-01-31,exact
음성군,일승오리농장,오리,,13000.0,충청북도 음성군 금왕읍 각회리 553번지,37.00224867317,127.570960881702,2021-01-31,exact
음성군,자연농장,닭,종계/산란계,15000.0,충청북도 음성군 생극면 임곡리 100번지 4호 외 1필지,37.0641784339882,127.58767286491,2021-01-31,exact
음성군,장수농장,오리,,20000.0,충청북도 음성군 삼성면 천평리 355번지,36.9842130535456,127.504511091049,2021-01-31,exact
음성군,중원농장,닭,육계,135000.0,충청북도 음성군 금왕읍 오선리 468번지 2호,36.9771376282351,127.555843330057,2021-01-31,exact
음성군,진영농장,닭,종계/산란계,16000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,exact
음성군,진영농장,닭,종계/산란계,17000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,exact
음성군,짱구2농장,오리,,20000.0,충청북도 음성군 맹동면 봉현리 694번지,36.9352590046952,127.529409774984,2021-01-31,exact
음성군,청해농장,오리,,7000.0,충청북도 음성군 삼성면 용대리 155번지,37.0524006125177,127.527507309438,2021-01-31,exact
음성군,태호농장,오리,,15000.0,충청북도 음성군 맹동면 본성리 401번지 13호 외 2필지,36.92212487295,127.533588377353,2021-01-31,exact
음성군,태호농장 2,오리,,9500.0,충청북도 음성군 맹동면 본성리 402번지 2호 외 1필지,36.9222571041764,127.540989921453,2021-01-31,exact
음성군,한가람농장,닭,육계,30000.0,충청북도 음성군 맹동면 용촌리 604번지,36.9261249928712,127.519246694417,2021-01-31,exact
음성군,한국오리,오리,,12000.0,"충청북도 음성군 원남면 하노리 208번지 외2필지(208-1,213)",36.9179541863558,127.695600569087,2021-01-31,exact
음성군,한마음농장,오리,,16000.0,충청북도 음성군 맹동면 마산리 산 21번지 10호,36.91623920248186,127.56943118395604,2021-01-31,exact
음성군,한삼농장,오리,,20000.0,충청북도 음성군 금왕읍 유포리 548번지,36.9627026701274,127.547739278689,2021-01-31,exact
음성군,한솔제2농장,닭,종계/산란계,250000.0,충청북도 음성군 원남면 하노리 533번지 2호,36.9018950320052,127.686408536398,2021-01-31,exact
음성군,한울,닭,육계,105000.0,충청북도 음성군 대소면 부윤리 238번지 외 5필지,36.9514191398978,127.534623127838,2021-01-31,exact
음성군,해피그린농장,오리,,20000.0,충청북도 음성군 대소면 성본리 596번지 2호 외 3필지,36.959465727291,127.521091901599,2021-01-31,exact
음성군,형제농장,닭,육계,100000.0,충청북도 음성군 소이면 비산리 963번지,36.9415090450149,127.727711408992,2021-01-31,exact
