시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
음성군,-,닭,육계,55000.0,충청북도 음성군 소이면 중동리 371번지 2호,,,2021-01-31,2020-12-08
음성군,건영농장,오리,,12000.0,충청북도 음성군 맹동면 마산리 388번지 1호,,,2021-01-31,2020-12-08
음성군,기흥농장,닭,종계/산란계,21000.0,충청북도 음성군 생극면 송곡리 417번지 6호,,,2021-01-31,2020-12-08
음성군,낙원농장,오리,,7000.0,충청북도 음성군 대소면 수태리 125번지,,,2021-01-31,2020-12-08
음성군,농업회사법인 주식회사 에버그린(금왕지점),메추리,,1200000.0,충청북도 음성군 금왕읍 신평리 307번지 외 12필지,,,2021-01-31,2020-12-08
음성군,농업회사법인(주)동일농장 대소2지점,닭,종계/산란계,40000.0,충청북도 음성군 대소면 삼호리 394번지,,,2021-01-31,2020-12-08
음성군,농업회사법인주식회사 동일농장,닭,종계/산란계,41000.0,충청북도 음성군 대소면 삼호리 454번지,,,2021-01-31,2020-12-08
음성군,대길농장,닭,육계,100000.0,충청북도 음성군 맹동면 봉현리 681번지,,,2021-01-31,2020-12-08
음성군,대동농장,메추리,,40000.0,충청북도 음성군 소이면 금고리 527번지 1호,,,2021-01-31,2020-12-08
음성군,대박농장,닭,육계,45000.0,충청북도 음성군 맹동면 용촌리 69번지,,,2021-01-31,2020-12-08
음성군,대박제2농장,닭,육계,41000.0,충청북도 음성군 대소면 미곡리 401번지 1호 외1필지,,,2021-01-31,2020-12-08
음성군,두리농장,오리,,9000.0,충청북도 음성군 맹동면 신돈리 51번지 3호,,,2021-01-31,2020-12-08
음성군,류봉농장3,닭,육계,56000.0,충청북도 음성군 맹동면 봉현리 200번지 2호 외 1필지(200-1),,,2021-01-31,2020-12-08
음성군,만석농장,닭,종계/산란계,550.0,충청북도 음성군 원남면 보룡리 86번지,,,2021-01-31,2020-12-08
음성군,명성농장,오리,,17000.0,충청북도 음성군 맹동면 용촌리 604번지 1호,,,2021-01-31,2020-12-08
음성군,모란농장,오리,,5500.0,충청북도 음성군 삼성면 청용리 485번지,,,2021-01-31,2020-12-08
음성군,벧엘농장,닭,종계/산란계,5500.0,충청북도 음성군 생극면 임곡리 34번지 1호,,,2021-01-31,2020-12-08
음성군,복숭아농장,닭,육계,150.0,충청북도 음성군 음성읍 신천리 918번지,,,2021-01-31,2020-12-08
음성군,부광원,오리,,11900.0,"충청북도 음성군 맹동면 용촌리 200번지 5호 외 2필지(200-35, 200-39)",,,2021-01-31,2020-12-08
음성군,부윤2농장,오리,,15000.0,"충청북도 음성군 대소면 수태리 122번지 외 2필지(123, 124)",,,2021-01-31,2020-12-08
음성군,부윤농장,오리,,7000.0,충청북도 음성군 대소면 부윤리 산 73번지,,,2021-01-31,2020-12-08
음성군,삼용농장,오리,,12000.0,충청북도 음성군 원남면 삼용리 284번지,,,2021-01-31,2020-12-08
음성군,삼원농장 1,오리,,8800.0,충청북도 음성군 맹동면 마산리 464번지 외 1필지,,,2021-01-31,2020-12-08
음성군,상당농장,닭,육계,40000.0,충청북도 음성군 원남면 상당리 475번지 1호,,,2021-01-31,2020-12-08
음성군,상미양계장,닭,육계,50000.0,충청북도 음성군 원남면 마송리 76번지 2호,,,2021-01-31,2020-12-08
음성군,서원농장,닭,육계,80000.0,충청북도 음성군 금왕읍 호산리 925번지,,,2021-01-31,2020-12-08
음성군,석우농장,닭,종계/산란계,200000.0,충청북도 음성군 감곡면 상우리 3번지,,,2021-01-31,2020-12-08
음성군,수농장,오리,,12000.0,충청북도 음성군 대소면 삼정리 764번지 1호,,,2021-01-31,2020-12-08
음성군,아람농장,닭,육계,50000.0,충청북도 음성군 맹동면 봉현리 278번지,,,2021-01-31,2020-12-08
음성군,에덴농원,닭,육계,200.0,충청북도 음성군 금왕읍 오선리 390번지,,,2021-01-31,2020-12-08
음성군,열희농장,닭,육계,100000.0,충청북도 음성군 원남면 보천리 198번지,,,2021-01-31,2020-12-08
