시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜,coord_precision
음성군,-,닭,육계,55000.0,충청북도 음성군 소이면 중동리 371번지 2호,36.8924657690638,127.777687218808,2021-01-31,2020-12-08,approx_address_dong
음성군,건영농장,오리,,12000.0,충청북도 음성군 맹동면 마산리 388번지 1호,36.9366494962001,127.554983736816,2021-01-31,2021-01-14,exact
음성군,기흥농장,닭,종계/산란계,21000.0,충청북도 음성군 생극면 송곡리 417번지 6호,37.0572448189202,127.590531258944,2021-01-31,2020-12-08,approx_address
음성군,낙원농장,오리,,7000.0,충청북도 음성군 대소면 수태리 125번지,36.9401623864557,127.505212643988,2021-01-31,2021-01-14,exact
음성군,농업회사법인 주식회사 에버그린(금왕지점),메추리,,1200000.0,충청북도 음성군 금왕읍 신평리 307번지 외 12필지,36.9918150019303,127.542151677385,2021-01-31,2021-01-19,exact
음성군,농업회사법인(주)동일농장 대소2지점,닭,종계/산란계,40000.0,충청북도 음성군 대소면 삼호리 394번지,36.9558649937714,127.470465006663,2021-01-31,2021-01-14,exact
음성군,농업회사법인주식회사 동일농장,닭,종계/산란계,41000.0,충청북도 음성군 대소면 삼호리 454번지,36.9558649937714,127.470465006663,2021-01-31,2021-01-14,exact
음성군,대길농장,닭,육계,100000.0,충청북도 음성군 맹동면 봉현리 681번지,36.9429594116729,127.540404321725,2021-01-31,2021-01-14,exact
음성군,대동농장,메추리,,40000.0,충청북도 음성군 소이면 금고리 527번지 1호,36.9189677719651,127.746408006928,2021-01-31,2020-12-08,approx_address
음성군,대박농장,닭,육계,45000.0,충청북도 음성군 맹동면 용촌리 69번지,36.9321796421993,127.522512866118,2021-01-31,2021-01-14,exact
음성군,대박제2농장,닭,육계,41000.0,충청북도 음성군 대소면 미곡리 401번지 1호 외1필지,36.9430762737999,127.479618635259,2021-01-31,2021-01-14,exact
음성군,두리농장,오리,,9000.0,충청북도 음성군 맹동면 신돈리 51번지 3호,36.9190966316526,127.526432257216,2021-01-31,2021-01-14,exact
음성군,류봉농장3,닭,육계,56000.0,충청북도 음성군 맹동면 봉현리 200번지 2호 외 1필지(200-1),36.9429594116729,127.540404321725,2021-01-31,2021-01-14,exact
음성군,만석농장,닭,종계/산란계,550.0,충청북도 음성군 원남면 보룡리 86번지,36.8863576495064,127.654918601044,2021-01-31,2021-02-10,exact
음성군,명성농장,오리,,17000.0,충청북도 음성군 맹동면 용촌리 604번지 1호,36.9321796421993,127.522512866118,2021-01-31,2021-01-14,exact
음성군,모란농장,오리,,5500.0,충청북도 음성군 삼성면 청용리 485번지,36.9988702360699,127.468078553507,2021-01-31,2021-01-27,exact
음성군,벧엘농장,닭,종계/산란계,5500.0,충청북도 음성군 생극면 임곡리 34번지 1호,37.0677344986038,127.586664812112,2021-01-31,2020-12-08,approx_address
음성군,복숭아농장,닭,육계,150.0,충청북도 음성군 음성읍 신천리 918번지,36.9214444930346,127.666110336083,2021-01-31,2020-12-08,approx_address
음성군,부광원,오리,,11900.0,"충청북도 음성군 맹동면 용촌리 200번지 5호 외 2필지(200-35, 200-39)",36.9321796421993,127.522512866118,2021-01-31,2021-01-14,exact
음성군,부윤2농장,오리,,15000.0,"충청북도 음성군 대소면 수태리 122번지 외 2필지(123, 124)",36.9401623864557,127.505212643988,2021-01-31,2021-01-14,exact
음성군,부윤농장,오리,,7000.0,충청북도 음성군 대소면 부윤리 산 73번지,36.9436440084619,127.51862789133,2021-01-31,2020-12-08,approx_address
음성군,삼용농장,오리,,12000.0,충청북도 음성군 원남면 삼용리 284번지,36.8890149719747,127.608188578834,2021-01-31,2020-12-08,approx_address
음성군,삼원농장 1,오리,,8800.0,충청북도 음성군 맹동면 마산리 464번지 외 1필지,36.9366494962001,127.554983736816,2021-01-31,2021-01-14,exact
음성군,상당농장,닭,육계,40000.0,충청북도 음성군 원남면 상당리 475번지 1호,36.8980135073222,127.671848265261,2021-01-31,2020-12-08,approx_address
음성군,상미양계장,닭,육계,50000.0,충청북도 음성군 원남면 마송리 76번지 2호,36.8874226856089,127.670821011094,2021-01-31,2020-12-08,approx_address
음성군,서원농장,닭,육계,80000.0,충청북도 음성군 금왕읍 호산리 925번지,37.0385154808169,127.555732701501,2021-01-31,2020-12-08,approx_address
음성군,석우농장,닭,종계/산란계,200000.0,충청북도 음성군 감곡면 상우리 3번지,37.1248439622571,127.681448183511,2021-01-31,2020-12-08,approx_address
음성군,수농장,오리,,12000.0,충청북도 음성군 대소면 삼정리 764번지 1호,36.9548466701215,127.493143258412,2021-01-31,2021-01-14,exact
음성군,아람농장,닭,육계,50000.0,충청북도 음성군 맹동면 봉현리 278번지,36.9429594116729,127.540404321725,2021-01-31,2021-01-14,exact
음성군,에덴농원,닭,육계,200.0,충청북도 음성군 금왕읍 오선리 390번지,36.9716799175428,127.554396386971,2021-01-31,2020-12-08,approx_address
음성군,열희농장,닭,육계,100000.0,충청북도 음성군 원남면 보천리 198번지,36.8766559022298,127.633957040025,2021-01-31,2020-12-08,approx_address
음성군,왕봉농장,오리,,5000.0,충청북도 음성군 맹동면 봉현리 193번지 5호,36.9429594116729,127.540404321725,2021-01-31,2021-01-14,exact
음성군,용원농장,닭,육계,70000.0,충청북도 음성군 맹동면 봉현리 353번지 외 3필지,36.9429594116729,127.540404321725,2021-01-31,2021-01-14,exact
음성군,우리농장,오리,,10500.0,충청북도 음성군 대소면 미곡리 374번지 3호,36.9430762737999,127.479618635259,2021-01-31,2021-01-14,exact
