시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리)
가평군,광진,삼계,12463,,경기도 가평군 설악면 위곡리 373-3,127.5169496000,37.6522827000,74000
가평군,꼬꼬,육계,12409,경기도 가평군 가평읍 각담말길 115-10,경기도 가평군 가평읍 마장리 228-1번지,127.5146837000,37.8681227000,120000
가평군,다손,육계,12469,,경기도 가평군 설악면 천안1리126-1,127.4832836000,37.6347837000,45000
가평군,대기농산(유) 농업회사법인,산란계,12469,경기도 가평군 설악면 유명로 1090-246,경기도 가평군 설악면 천안리 3-4번지,127.4888898000,37.6362563000,170000
가평군,마장,웅추,12402,경기도 가평군 북면 화악지암길 223-16,경기도 가평군 북면 화악리 255번지,127.5749603000,37.9442793000,80000
가평군,무백,육계,12416,경기도 가평군 가평읍 석봉로3번길 160-58,경기도 가평군 가평읍 대곡리 594번지,127.4939184000,37.8267052000,35000
가평군,배취,육계,12463,경기도 가평군 설악면 한서로210번길 17-42,경기도 가평군 설악면 위곡리 801번지,127.5146897000,37.6680863000,25000
가평군,상원,육계,12411,경기도 가평군 가평읍 잎너비길 35-237,경기도 가평군 가평읍 읍내리 87번지,127.5115514000,37.8505681000,25000
가평군,상철,웅추,12402,경기도 가평군 북면 화악지암길 223-109,경기도 가평군 북면 화악리 270-3번지,127.5737600000,37.9435283000,85000
가평군,샘골,육계,12472,경기도 가평군 설악면 평촌길 136,경기도 가평군 설악면 방일리 605번지,127.4983335000,37.6116207000,45000
가평군,석순,육계,12424,경기도 가평군 가평읍 달전천벚꽃길 201,경기도 가평군 가평읍 하색리 191-5번지,127.4980801000,37.8069843000,20000
가평군,선달,웅추,12409,경기도 가평군 가평읍 각담말길 143,경기도 가평군 가평읍 마장리 203번지,127.5156825000,37.8695868000,90000
가평군,성주,육계,12472,경기도 가평군 설악면 양방가루재길 37-6,경기도 가평군 설악면 방일리 81-1번지,127.4959181000,37.6265959000,35000
가평군,안말,육계,12463,경기도 가평군 설악면 한서로 213-30,경기도 가평군 설악면 위곡리 728번지,127.5126644000,37.6702574000,30000
가평군,언덕,육계,12456,경기도 가평군 청평면 호반로 1233,경기도 가평군 청평면 고성리 438-6번지,127.5008311000,37.7160224000,65000
가평군,에덴2,육계,12472,경기도 가평군 설악면 유명로 1028-95,경기도 가평군 설악면 방일리 478-1번지,127.4900044000,37.6299810000,40000
가평군,에덴2,육계,12465,경기도 가평군 설악면 한서로23번길 24,경기도 가평군 설악면 신천리 125-2번지,127.4971999000,37.6764497000,44000
가평군,영기,옹추,12409,경기도 가평군 가평읍 각담말길 151-32,경기도 가평군 가평읍 마장리 209-2번지,127.5143860000,37.8694483000,100000
가평군,오석,삼계,12472,경기도 가평군 설악면 양방가루재길 89-31,경기도 가평군 설악면 방일리 13-4번지,127.4985308000,37.6311168000,76000
가평군,옥준,육계,12424,경기도 가평군 가평읍 달전천벚꽃길 173-29,경기도 가평군 가평읍 하색리 212번지,127.5003847000,37.8085963000,73000
가평군,우리,육계,12431,경기도 가평군 조종면 명지산로 224,경기도 가평군 조종면 상판리 358-1번지,127.3686232000,37.8932533000,70000
가평군,원진,웅추,12409,경기도 가평군 가평읍 각담말길 174,경기도 가평군 가평읍 마장리 208-1번지,127.5132943000,37.8710027000,105000
가평군,윤영,웅추,12409,,경기도 가평군 가평읍 각담말길 89,127.4521560000,37.8477015000,102000
가평군,이화,웅추,12409,경기도 가평군 가평읍 각담말길 134-17,경기도 가평군 가평읍 마장리 222번지,127.5159087000,37.8677840000,89000
가평군,인홍,육계,12464,경기도 가평군 설악면 한서로156번길 101-170,경기도 가평군 설악면 창의리 285-2번지,127.5036116000,37.6606469000,18000
가평군,일어나,육계,12470,경기도 가평군 설악면 엄소속골길 43-12,경기도 가평군 설악면 엄소리 399번지,127.4835593000,37.6494502000,70000
가평군,정자,육계,12442,경기도 가평군 상면 아랫벌길 22-48,경기도 가평군 상면 태봉리 28-1번지,127.3380650000,37.7954846000,43000
가평군,정회,육계,12408,경기도 가평군 가평읍 아랫마장길 29-37,경기도 가평군 가평읍 승안리 93-20번지,127.5011643000,37.8434862000,30000
가평군,주영,옹추,12402,경기도 가평군 북면 화악지암길 223-85,경기도 가평군 북면 화악리 269-1번지,127.5727082000,37.9428577000,90000
가평군,진성,육계,12464,경기도 가평군 설악면 한서로156번길 93,경기도 가평군 설악면 창의리 270-4번지,127.5038938000,37.6621683000,30000
가평군,창진,웅추,12402,,경기도 가평군 북면 화악1리 92-4,127.5798456000,37.9361652000,95000
가평군,창현,육계,12463,경기도 가평군 설악면 한서로210번길 103,경기도 가평군 설악면 위곡리 461-2번지,127.5174162000,37.6607857000,28000
가평군,태우,육계,12463,경기도 가평군 설악면 음동길 9,경기도 가평군 설악면 위곡리 894-2번지,127.5160014000,37.6561159000,36000
가평군,한흥,토종닭,12459,경기도 가평군 설악면 용문천길 70,경기도 가평군 설악면 회곡리 16번지,127.4691450000,37.6873574000,20000
가평군,해진,육계,12464,경기도 가평군 설악면 한서로156번길 23-22,경기도 가평군 설악면 창의리 156-1번지,127.5080789000,37.6676463000,18000
가평군,혁식,삼계,12463,경기도 가평군 설악면 한서로 320-5,경기도 가평군 설악면 위곡리 636-2번지,127.5245589000,37.6725298000,73000
가평군,호현,옹추,12402,경기도 가평군 북면 화악지암길 223-83,경기도 가평군 북면 화악리 269-2번지,127.5728157000,37.9435239000,80000
고양시,곽OO,산란계,,,경기도 고양시 일산동구 식사동 산12-3,126.8172172000,37.6810694000,12000
고양시,김OO,산란계,10260,경기도 고양시 일산동구 공릉천로71번길 5,경기도 고양시 일산동구 사리현동 885,126.8447595000,37.6993180000,1000
고양시,김OO,산란계,10397,,경기도 고양시 일산동구 장항동 634번지 59호,126.7497117000,37.6539058000,1500
고양시,김O득,육계,,,경기도 고양시 일산서구 대화동 1942-39,126.7381883000,37.6535201000,28000
고양시,남O길,육계,10220,경기도 고양시 일산서구 송포로113번길 191-41,경기도 고양시 일산서구 법곳동 748-7,126.7224608000,37.6682416000,47000
고양시,노O호,육계,10262,경기도 고양시 덕양구 통일로 969-106,경기도 고양시 덕양구 관산동 388-2,126.8531186000,37.7038247000,3000
고양시,박O섭,육계,10265,,경기도 고양시 덕양구 관산동 605-13,126.8675380000,37.7125994000,100
고양시,신O호,육계,10452,경기도 고양시 덕양구 대곡길 49,경기도 고양시 덕양구 내곡동 125-1,126.8021283000,37.6433302000,300
고양시,이O순,육계,10224,,경기도 고양시 일산서구 덕이동 1378,126.7307164000,37.6856856000,46000
고양시,전OO,산란계,10399,경기도 고양시 일산동구 장항로 360-75,경기도 고양시 일산동구 장항동 517-2번지,126.7645131000,37.6498282000,60000
고양시,진O일,육계,10289,경기도 고양시 일산동구 사리현로216번길 153,경기도 고양시 일산동구 사리현동 546,126.8392628000,37.6877691000,37500
고양시,황OO,산란계,10454,경기도 고양시 덕양구 대주로492번길 14,경기도 고양시 덕양구 주교동 1073,126.8247345000,37.6567729000,80000
과천시,농장1,산란계,13820,,경기도 과천시 주암동 343-2,127.0229987000,37.4520217000,240
과천시,농장10,산란계,13820,,경기도 과천시 주암동 441,127.0223304000,37.4463005000,20
과천시,농장11,산란계,13828,,경기도 과천시 문원동 50,127.0019782000,37.4191098000,74
과천시,농장12,산란계,13825,경기도 과천시 매봉로 45,경기도 과천시 문원동 937-1,126.9965903000,37.4123341000,19
과천시,농장13,산란계,13825,경기도 과천시 매봉로 49,경기도 과천시 문원동 938-1,126.9970534000,37.4124693000,19
과천시,농장14,산란계,13827,경기도 과천시 윗배랭이길 8,경기도 과천시 문원동 180,127.0058306000,37.4257772000,12
과천시,농장15,산란계,13820,,경기도 과천시 주암동 386,127.0200036000,37.4513014000,45
과천시,농장16,산란계,13824,경기도 과천시 갈현로 96-14,경기도 과천시 갈현동 132-15,126.9902200000,37.4097207000,500
과천시,농장17,산란계,13825,경기도 과천시 구리안로 71-1,경기도 과천시 문원동 480,126.9956975000,37.4167490000,100
과천시,농장18,산란계,13819,,경기도 과천시 주암동 59,127.0340792000,37.4639396000,28
과천시,농장2,산란계,13820,경기도 과천시 말두레로 173-4,경기도 과천시 주암동 385-1,127.0202184000,37.4517158000,40
