시군명,농장명,축종명,상세구분,사육두수(마리),소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,비고
가평군,광진,닭,육계,74000,12463,,경기도 가평군 설악면 위곡리 373-3,37.6522827000,127.5169496000,20181130,
가평군,다손,닭,육계,45000,12469,,경기도 가평군 설악면 천안리 126-1,37.6347837000,127.4832836000,20181130,
가평군,대기농산(유) 농업회사법인,닭,산란계,230000,12469,경기도 가평군 설악면 유명로 1090-246,경기도 가평군 설악면 천안리 3-4번지,37.6362563000,127.4888898000,20181130,
가평군,마장,닭,웅추,80000,12402,경기도 가평군 북면 화악지암길 223-16,경기도 가평군 북면 화악리 255번지,37.9442793000,127.5749603000,20181130,
가평군,무백,닭,육계,35000,12416,경기도 가평군 가평읍 석봉로3번길 160-58,경기도 가평군 가평읍 대곡리 594번지,37.8267052000,127.4939184000,20181130,
가평군,배취,닭,육계,25000,12463,경기도 가평군 설악면 한서로210번길 17-42,경기도 가평군 설악면 위곡리 801번지,37.6680863000,127.5146897000,20181130,
가평군,상원,닭,육계,25000,12411,경기도 가평군 가평읍 잎너비길 35-237,경기도 가평군 가평읍 읍내리 87번지,37.8505681000,127.5115514000,20181130,
가평군,상철,닭,웅추,85000,12402,경기도 가평군 북면 화악지암길 223-109,경기도 가평군 북면 화악리 270-3번지,37.9435283000,127.5737600000,20181130,
가평군,새벽숲,닭,산란계,600,12432,경기도 가평군 조종면 꽃동네길 19-26,경기도 가평군 조종면 운악리 530번지,37.8823658000,127.3522351000,20181130,
가평군,샘골,닭,육계,45000,12472,경기도 가평군 설악면 평촌길 136,경기도 가평군 설악면 방일리 605번지,37.6116207000,127.4983335000,20181130,
가평군,석순,닭,육계,20000,12424,경기도 가평군 가평읍 달전천벚꽃길 201,경기도 가평군 가평읍 하색리 191-5번지,37.8069843000,127.4980801000,20181130,
가평군,선달,닭,웅추,90000,12409,경기도 가평군 가평읍 각담말길 143,경기도 가평군 가평읍 마장리 203번지,37.8695868000,127.5156825000,20181130,
가평군,성주,닭,육계,35000,12472,경기도 가평군 설악면 양방가루재길 37-6,경기도 가평군 설악면 방일리 81-1번지,37.6265959000,127.4959181000,20181130,
가평군,승현,닭,육계,120000,12409,경기도 가평군 가평읍 각담말길 115-10,경기도 가평군 가평읍 마장리 228-1번지,37.8681227000,127.5146837000,20181130,
가평군,안말,닭,육계,30000,12463,경기도 가평군 설악면 한서로 213-30,경기도 가평군 설악면 위곡리 728번지,37.6702574000,127.5126644000,20181130,
가평군,언덕,닭,육계,65000,12456,경기도 가평군 청평면 호반로 1233,경기도 가평군 청평면 고성리 438-6번지,37.7160224000,127.5008311000,20181130,
가평군,에덴2,닭,육계,40000,12472,경기도 가평군 설악면 유명로 1028-95,경기도 가평군 설악면 방일리 478-1번지,37.6299810000,127.4900044000,20181130,
가평군,영기,닭,웅추,100000,12409,경기도 가평군 가평읍 각담말길 151-32,경기도 가평군 가평읍 마장리 209-2번지,37.8694483000,127.5143860000,20181130,
가평군,오석,닭,육계,50000,12472,경기도 가평군 설악면 양방가루재길 89-31,경기도 가평군 설악면 방일리 13-4번지,37.6311168000,127.4985308000,20181130,
가평군,옥준,닭,육계,73000,12424,경기도 가평군 가평읍 달전천벚꽃길 173-29,경기도 가평군 가평읍 하색리 212번지,37.8085963000,127.5003847000,20181130,
가평군,우리,닭,육계,70000,12431,경기도 가평군 조종면 명지산로 224,경기도 가평군 조종면 상판리 358-1번지,37.8932533000,127.3686232000,20181130,
가평군,원진,닭,웅추,105000,12409,경기도 가평군 가평읍 각담말길 174,경기도 가평군 가평읍 마장리 208-1번지,37.8710027000,127.5132943000,20181130,
가평군,윤영,닭,육계,102000,12409,경기도 가평군 가평읍 각담말길 89-16,경기도 가평군 가평읍 마장리 255,37.8648952000,127.5131044000,20181130,
