시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
강진군,가나안농장,오리,,12000.0,전라남도 강진군 작천면 갈동리 1087,,,2023-08-14
강진군,가나안농장,오리,,24000.0,전라남도 강진군 작천면 갈동로 167-40,,,2025-12-10
강진군,구곡농장,닭,,80000.0,전라남도 강진군 대구면 구곡길 180,,,2025-12-10
강진군,구곡농장,닭,,100000.0,전라남도 강진군 대구면 구수리 2,,,2023-08-14
강진군,구곡농장,닭,,70000.0,전라남도 강진군 대구면 구수리 1-1,,,2023-08-14
강진군,구곡농장,닭,,120000.0,전라남도 강진군 대구면 구곡길 196,,,2025-12-10
강진군,국화오리농장,오리,,14000.0,전라남도 강진군 신전면 신전대월길 45-108,,,2025-12-10
강진군,군동농장,닭,,25000.0,전라남도 강진군 군동면 호계리 1147-5,,,2023-08-14
강진군,김OO 농장,오리,,100000.0,전라남도 강진군 신전면 송천리 633-2,,,2025-12-10
강진군,김희성농장,오리,,43500.0,전라남도 강진군 신전면 송천리 633-2,,,2023-08-14
강진군,다복농장,닭,,90000.0,전라남도 강진군 칠량면 단월리 986,,,2023-08-14
강진군,다복농장,닭,,92000.0,"전라남도 강진군 칠량면 단월리 986, 986-1, 986-2, 974-1, 949",,,2025-12-10
강진군,다산농장,오리,,11000.0,전라남도 강진군 성전면 예향로 771-62,,,2025-12-10
강진군,다산농장,오리,,12000.0,전라남도 강진군 성전면 월남리 10-4,,,2023-08-14
강진군,대덕농장,오리,,10000.0,전라남도 강진군 신전면 벌정리 741,,,2023-08-14
강진군,대덕농장,오리,,10000.0,전라남도 강진군 신전면 백용운동길 49-125,,,2025-12-10
강진군,대벌농장,오리,,21000.0,전라남도 강진군 신전면 벌정리 1005-4,,,2023-08-14
강진군,대벌농장,오리,,21120.0,전라남도 강진군 신전면 대벌길 103,,,2025-12-10
강진군,대산농장,닭,,60000.0,전라남도 강진군 강진읍 지전로 178,,,2025-12-10
강진군,대산농장,닭,,50000.0,전라남도 강진군 강진읍 춘전리 666-1,,,2023-08-14
강진군,대원농장,닭,,23500.0,전라남도 강진군 군동면 까치내로 221-17,,,2025-12-10
강진군,대진농장,닭,,70000.0,전라남도 강진군 성전면 금당리 산 41-7,,,2023-08-14
강진군,대진농장,닭,,70000.0,전라남도 강진군 성전면 금당리 산41-7,,,2025-12-10
강진군,덕산농장,오리,,30000.0,"전라남도 강진군 신전면 신전로 648-125, 외6필지",,,2025-12-10
강진군,덕산농장,오리,,34500.0,전라남도 강진군 신전면 송천리 659,,,2023-08-14
강진군,도성농장,오리,,9000.0,전라남도 강진군 마량면 영동리 51-3,,,2023-08-14
강진군,도성농장,오리,,7200.0,"전라남도 강진군 마량면 영동리 51-5, 산83-6",,,2025-12-10
강진군,도암농장,오리,,18500.0,전라남도 강진군 도암면 석문리 692-6,,,2023-08-14
강진군,두리농원,닭,,160000.0,전라남도 강진군 도암면 계라리 546-16,,,2023-08-14
강진군,두리농원,닭,,150000.0,전라남도 강진군 도암면 백도로 2159-40,,,2025-12-10
강진군,리산영농조합법인,오리,,17500.0,전라남도 강진군 작천면 갈동리 391-1,,,2023-08-14
강진군,명주농장,닭,,60000.0,전라남도 강진군 칠량면 명주리 533-4,,,2023-08-14
강진군,명주농장,닭,,50000.0,전라남도 강진군 칠량면 칠관로 504,,,2025-12-10
강진군,모작골농장,닭,,80000.0,전라남도 강진군 작천면 갈동리 1300-1,,,2023-08-14
강진군,모작골농장,닭,,72000.0,전라남도 강진군 작천면 두원길 189,,,2025-12-10
강진군,부성축산,오리,,43000.0,전라남도 강진군 성전면 금당리 482,,,2023-08-14
강진군,부성축산,오리,,41000.0,전라남도 강진군 성전면 금당리 493-10,,,2023-08-14
강진군,부성축산영농조합법인,오리,,30000.0,전라남도 강진군 성전면 송계로 593-59,,,2025-12-10
강진군,부성축산영농조합법인,오리,,50550.0,전라남도 강진군 성전면 송계로 593-48,,,2025-12-10
강진군,블루힐농장,오리,,13000.0,"전라남도 강진군 신전면 백용운동길 49-135, 49-138",,,2025-12-10
강진군,블루힐농장,오리,,13000.0,전라남도 강진군 신전면 벌정리 741-7,,,2023-08-14
강진군,삼성농장,산란계,,152832.0,전라남도 강진군 도암면 월하2길 90,,,2025-12-10
강진군,삼성농장,닭,,60000.0,전라남도 강진군 도암면 석문리 765-6,,,2023-08-14
강진군,샬롬오리농장,오리,,25000.0,전라남도 강진군 작천면 갈동리 841 외 5필지,,,2025-12-10
강진군,샬롬오리농장,오리,,23000.0,전라남도 강진군 작천면 갈동리 841,,,2023-08-14
강진군,석문농장,오리,,23000.0,전라남도 강진군 도암면 석문리 1265,,,2023-08-14
강진군,석문농장,오리,,25000.0,전라남도 강진군 도암면 도암신리길 84-120,,,2025-12-10
강진군,솔치농장,오리,,8000.0,전라남도 강진군 성전면 명산리 616-23,,,2023-08-14
강진군,솔치농장,오리,,8000.0,전라남도 강진군 성전면 솔치로 380-37,,,2025-12-10
강진군,송천농장,닭,,85000.0,전라남도 강진군 신전면 송천리 394,,,2023-08-14
강진군,송천농장,닭,,85000.0,전라남도 강진군 신전면 운주로 376,,,2025-12-10
강진군,써니농장,닭,,50000.0,전라남도 강진군 칠량면 영동리 26-1,,,2023-08-14
강진군,써니농장,닭,,40000.0,전라남도 강진군 칠량면 삼흥길 121-342,,,2025-12-10
강진군,양명자연농장,오리,,21600.0,전라남도 강진군 신전면 영관리 183-12,,,2023-08-14
강진군,에덴농장,오리,,18000.0,전라남도 강진군 도암면 석문리 1267-1,,,2023-08-14
강진군,에덴농장,오리,,20000.0,전라남도 강진군 도암면 도암신리길 84-81,,,2025-12-10
강진군,영동마을농장,닭,,60000.0,전라남도 강진군 칠량면 영동리 48,,,2023-08-14
강진군,영수농장,닭,,100.0,전라남도 강진군 군동면 금천로 373,,,2025-12-10
강진군,영풍농장,닭,,60000.0,전라남도 강진군 성전면 영풍리 391-6,,,2023-08-14
강진군,영흥농장,닭,,60000.0,전라남도 강진군 성전면 영흥길 67-45,,,2025-12-10
강진군,오성농장,오리,,12000.0,전라남도 강진군 신전면 신전대월길 45-118,,,2025-12-10
강진군,오성농장,오리,,18500.0,전라남도 강진군 신전면 송천리 625,,,2023-08-14
강진군,원주농장,닭,,60000.0,전라남도 강진군 도암면 덕년리 237-28,,,2023-08-14
강진군,원주농장,닭,,54000.0,전라남도 강진군 도암면 만년길 187-4,,,2025-12-10
