시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
구례군,25시 농장,육용오리,,15000.0,전라남도 구례군 용방면 신도리 1157-19,,,2021-02-01
구례군,25시 농장,오리,,20000.0,전라남도 구례군 용방면 신도리 1157번지 19호,,,2024-02-28
구례군,25시 오리농장,오리,,17000.0,"전라남도 구례군 용방면 신도리 1157-19,1157-20",,,2024-02-28
구례군,강미경,오리,,12500.0,전라남도 구례군 용방면 신도리 190번지 2호,,,2024-02-28
구례군,광의농장,오리,,40000.0,전라남도 구례군 광의면 온당리 846번지 1호 846-1~3,,,2024-02-28
구례군,광의농장,오리,,12000.0,전라남도 구례군 용방면 중방리 686번지 23호,,,2024-02-28
구례군,광의농장,오리,,26000.0,전라남도 구례군 용방면 용정리 765번지 9호,,,2024-02-28
구례군,광의농장,육용오리,,25000.0,전라남도 구례군 용방면 용정리 765-7,,,2021-02-01
구례군,광의농장,육용오리,,18000.0,전라남도 구례군 광의면 온당리 846-1,,,2021-02-01
구례군,구례청계,육계,,1200.0,전라남도 구례군 산동면 둔사리 764번지 2호,,,2024-02-28
구례군,기남농장,오리,,1000.0,전라남도 구례군 용방면 용정리 산 69번지 1호,,,2024-02-28
구례군,기현1농장,오리,,40000.0,"전라남도 구례군 용방면 용정리 767-1,2",,,2024-02-28
구례군,기현2농장,오리,,9443.0,"전라남도 구례군 용방면 신도리 1144번지 7호 ,8",,,2024-02-28
구례군,김동주농장,육계,,62000.0,전라남도 구례군 문척면 중산리 470-1,,,2021-02-01
구례군,김동주농장,육계,,30000.0,"전라남도 구례군 문척면 중산리 470번지 1호 (중산리 470-3,8,9, 475-1, 684-1, 685-1,2)",,,2024-02-28
구례군,김인숙 농장,육용오리,,29000.0,전라남도 구례군 광의면 수월리 896-1,,,2021-02-01
구례군,김한규 농장,오리,,12000.0,전라남도 구례군 용방면 신도리 1147번지 7호,,,2024-02-28
구례군,냉천오리농장,육용오리,,13000.0,전라남도 구례군 마산면 광평리 559-1,,,2021-02-01
구례군,냉천오리농장,오리,,12100.0,전라남도 구례군 마산면 광평리 559번지 1호,,,2024-02-28
구례군,두동농장,오리,,20000.0,전라남도 구례군 용방면 용강리 420번지 23호,,,2024-02-28
구례군,두동농장,육용오리,,19000.0,전라남도 구례군 용방면 용강리 420-23,,,2021-02-01
구례군,둔기농원,육계,,1000.0,전라남도 구례군 산동면 둔사리 892번지 4호,,,2024-02-28
구례군,드림농장,육계,,91000.0,전라남도 구례군 마산면 냉천리 743-10,,,2021-02-01
구례군,드림농장,육계,,53224.0,"전라남도 구례군 마산면 냉천리 743번지 10,11",,,2024-02-28
구례군,들꽃마을공동체,종계/산란계,,500.0,전라남도 구례군 광의면 수월리 산 43번지 4호,,,2024-02-28
구례군,들꽃마을농장,종계/산란계,,300.0,전라남도 구례군 광의면 수월리 279번지 17호,,,2024-02-28
구례군,마산농장,육용오리,,10000.0,전라남도 구례군 마산면 마산리 329-2,,,2021-02-01
구례군,마산농장,오리,,8500.0,전라남도 구례군 마산면 마산리 329번지 2호,,,2024-02-28
구례군,명인농장,육용오리,,12000.0,전라남도 구례군 용방면 용정리 767-2,,,2021-02-01
구례군,명품오리,오리,,10000.0,전라남도 구례군 용방면 죽정리 212번지 1호,,,2024-02-28
구례군,명품오리영농조합법인,오리,,37000.0,전라남도 구례군 용방면 신도리 190번지 1호,,,2024-02-28
구례군,문수골농장,육계,,100.0,전라남도 구례군 구례읍 봉서리 474번지 12호,,,2024-02-28
구례군,문척오산 농장,오리,,15000.0,"전라남도 구례군 문척면 월전리 948-1,-2,-3,-4,-7,-10",,,2024-02-28
구례군,문척오산농장,육용오리,,13000.0,전라남도 구례군 문척면 월전리 948-1,,,2021-02-01
구례군,미운오리,오리,,0.0,전라남도 구례군 용방면 용강리 413번지 8호,,,2024-02-28
구례군,반석농장,육용오리,,16000.0,전라남도 구례군 용방면 신도리 1144-16,,,2021-02-01
구례군,반석농장,오리,,12000.0,전라남도 구례군 용방면 신도리 1144번지 16호 외5필지,,,2024-02-28
구례군,벧엘농장,육계,,30000.0,전라남도 구례군 토지면 금내리 1011-1,,,2021-02-01
구례군,벧엘농장,육계,,30000.0,전라남도 구례군 토지면 금내리 1011번지 1호,,,2024-02-28
구례군,봉서리농장,육계,,40000.0,전라남도 구례군 구례읍 봉서리 895번지 6호,,,2024-02-28
구례군,산태골농장,종계/산란계,,500.0,전라남도 구례군 산동면 둔사리 824번지,,,2024-02-28
구례군,서부농장,육계,,30000.0,전라남도 구례군 구례읍 계산리 156번지 1호,,,2024-02-28
구례군,성지농장,육계,,70000.0,전라남도 구례군 용방면 용강리 455,,,2021-02-01
구례군,성지농장,육계,,60000.0,전라남도 구례군 용방면 용강리 455번지,,,2024-02-28
구례군,성진농장,종계,,27600.0,전라남도 구례군 구례읍 원방리 652,,,2021-02-01
구례군,수락농장,종계/산란계,,100.0,전라남도 구례군 산동면 시상리 451번지,,,2024-02-28
구례군,신한농장,오리,,20000.0,전라남도 구례군 용방면 신도리 195번지 8호,,,2024-02-28
구례군,신한농장,육용오리,,18000.0,전라남도 구례군 용방면 신도리 195-8,,,2021-02-01
구례군,안촌농장,육계,,48960.0,전라남도 구례군 토지면 금내리 1143번지 10호,,,2024-02-28
구례군,엄갑섭농장,육계,,3000.0,전라남도 구례군 문척면 중산리 212번지,,,2024-02-28
구례군,오리천국,오리,,50000.0,"전라남도 구례군 용방면 신도리 733번지 2호 , 733-3, 734-1, 734-2, 734-6, 734-7, 734-9~13",,,2024-02-28
구례군,오리천국,육용오리,,44000.0,전라남도 구례군 용방면 신도리 733-2,,,2021-02-01
구례군,오리천국,오리,,20000.0,전라남도 구례군 용방면 죽정리 912-1~6,,,2024-02-28
구례군,오리천국,오리,,10000.0,전라남도 구례군 용방면 신도리 734-9~12,,,2024-02-28
구례군,온동농장,육용오리,,18000.0,전라남도 구례군 광의면 온당리 846-6,,,2021-02-01
구례군,온동농장,오리,,18000.0,전라남도 구례군 광의면 온당리 846번지 4호 846-5,,,2024-02-28
구례군,용두농장,오리,,11000.0,전라남도 구례군 토지면 용두리 517번지 8호,,,2024-02-28
구례군,용방농장,오리,,10000.0,전라남도 구례군 용방면 신도리 736번지 9호,,,2024-02-28
구례군,원동양계장,육계,,45500.0,전라남도 구례군 산동면 계천리 274,,,2021-02-01
구례군,원동양계장,육계,,28000.0,전라남도 구례군 산동면 계천리 274번지,,,2024-02-28
구례군,유산농장,오리,,10000.0,전라남도 구례군 광의면 수월리 896번지 1호,,,2024-02-28
구례군,이가농장,육용오리,,15000.0,전라남도 구례군 광의면 온당리 842-7,,,2021-02-01
구례군,이가농장,오리,,9500.0,"전라남도 구례군 광의면 온당리 842-7,8,9",,,2024-02-28
구례군,이평농장,육용오리,,21000.0,전라남도 구례군 용방면 중방리 686-21,,,2021-02-01
구례군,이평농장,오리,,12000.0,전라남도 구례군 용방면 중방리 687번지 20호 686-20~24,,,2024-02-28
구례군,임규태농장,종계/산란계,,200.0,전라남도 구례군 토지면 외곡리 940번지 외 1필지,,,2024-02-28
구례군,자라바위농장,"종계/산란계, 오리",,80.0,전라남도 구례군 마산면 마산리 147번지,,,2024-02-28
구례군,자연오리,육용오리,,10000.0,전라남도 구례군 용방면 신도리 1144-7,,,2021-02-01
구례군,자연오리,오리,,30000.0,"전라남도 구례군 용방면 신도리 1144-3, 1137-5.6.8",,,2024-02-28
구례군,자연오리,오리,,9417.0,"전라남도 구례군 용방면 신도리 1137번지 5, 6",,,2024-02-28
구례군,자연오리,육용오리,,11000.0,전라남도 구례군 용방면 신도리 1137-5,,,2021-02-01
구례군,점임농장,육용오리,,10000.0,전라남도 구례군 용방면 용강리 413-8,,,2021-02-01
구례군,제기암농장,육계,,300.0,전라남도 구례군 간전면 효곡리 12번지 1호,,,2024-02-28
구례군,주경농장,오리,,15000.0,전라남도 구례군 용방면 신도리 1151번지 18호,,,2024-02-28
구례군,주경오리농장,육용오리,,15000.0,전라남도 구례군 용방면 중방리 687-2,,,2021-02-01
구례군,주경오리농장,오리,,10000.0,"전라남도 구례군 용방면 중방리 687번지 2호 ,3호",,,2024-02-28
구례군,죽정리 농장,오리,,5000.0,전라남도 구례군 용방면 죽정리 158번지 1호,,,2024-02-28
구례군,죽정리농장,육용오리,,10000.0,전라남도 구례군 용방면 신도리 1151-18,,,2021-02-01
구례군,죽정리농장,오리,,16000.0,"전라남도 구례군 용방면 신도리 1151-17, 1151-18",,,2024-02-28
구례군,지리산오은숙유정란,종계/산란계,,300.0,전라남도 구례군 마산면 갑산리 317번지 14호,,,2024-02-28
구례군,지리산황토오리농장,오리,,40000.0,"전라남도 구례군 용방면 신지리 898-7, 방광리 897-4~8, 수월리 892-2~4",,,2024-02-28
구례군,지리산황토오리농장,육용오리,,35000.0,전라남도 구례군 광의면 방광리 897-4,,,2021-02-01
구례군,진현농장,육용오리,,19600.0,전라남도 구례군 용방면 신도리 1155-1,,,2021-02-01
구례군,진현농장,오리,,10000.0,전라남도 구례군 용방면 신도리 1155번지 1호 외3필지,,,2024-02-28
구례군,탑동농장,종계/산란계,,22.0,전라남도 구례군 산동면 탑정리 713번지 1호 외1필지,,,2024-02-28
구례군,태성농장,육계,,2000.0,"전라남도 구례군 토지면 오미리 527번지 2호 태성농장 526-1, 527-1, 527-7",,,2024-02-28
구례군,푸른농장,육용오리,,18000.0,전라남도 구례군 용방면 신도리 1157-12,,,2021-02-01
구례군,푸른농장,오리,,17000.0,"전라남도 구례군 용방면 신도리 1157번지 15호 ,1157-16",,,2024-02-28
구례군,한례농장,육계,,45000.0,전라남도 구례군 토지면 금내리 1143번지 11호,,,2024-02-28
구례군,한송농장,육계,,20000.0,전라남도 구례군 마산면 갑산리 141번지 14호,,,2024-02-28
구례군,한송농장,육계,,38400.0,전라남도 구례군 마산면 갑산리 141-14,,,2021-02-01
구례군,허상영농장,육계,,93000.0,"전라남도 구례군 구례읍 계산리 21,22,22-1,33-1,34,34-1,35,35-3",,,2024-02-28
구례군,허상영농장,육계,,90000.0,전라남도 구례군 구례읍 계산리 33-1,,,2021-02-01
구례군,현수농장,육용오리,,20000.0,전라남도 구례군 용방면 신도리 736-6,,,2021-02-01
구례군,현수농장,오리,,21000.0,"전라남도 구례군 용방면 신도리 736-6,7,8,9",,,2024-02-28
구례군,형기농장,오리,,7000.0,전라남도 구례군 용방면 신도리 1148번지 21호,,,2024-02-28
구례군,형기농장,육용오리,,10000.0,전라남도 구례군 용방면 신도리 1148-21,,,2021-02-01
