시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
나주시,○○,육우,,,전라남도 나주시 세지면 송제리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 봉황면 만봉리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 왕곡면 신원리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 공산면 동촌리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 동강면 장동리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 문평면 오룡리,,,2023-01-20
나주시,○○,한우,,,전라남도 나주시 공산면 금곡리,,,2023-01-20
나주시,○○ 농업실습교육원,한우,,,전라남도 나주시 봉황면 황용리,,,2023-01-20
나주시,○○farm,육계,,,전라남도 나주시 왕곡면 송죽리,,,2023-01-20
나주시,○○farm,육계,,,전라남도 나주시 세지면 교산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 반남면 청송리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다시면 죽산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 봉황면 장성리,,,2023-01-20
나주시,○○○,오리,,,전라남도 나주시 남평읍 우산리,,,2023-01-20
나주시,○○○,염소,,,전라남도 나주시 다도면 마산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 봉황면 덕곡리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 공산면 가송리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 계림리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 도산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다도면 송학리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 왕곡면 신포리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 봉황면 만봉리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 동강면 진천리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 유곡리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 반남면 흥덕리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 금안리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 노안면 학산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 동강면 옥정리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 세지면 송제리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 보산동,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 세지면 내정리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 공산면 남창리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 공산면 상방리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다시면 운봉리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 왕곡면 장산리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 다시면 영동리,,,2023-01-20
나주시,○○○,염소,,,전라남도 나주시 봉황면 송현리,,,2023-01-20
나주시,○○○,한우,,,전라남도 나주시 동강면 장동리,,,2023-01-20
