시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
담양군,(주)다**,산란계,,10000.0,전라남도 담양군 무정면 영천리,,,2021-01-31
담양군,가**장,육계,,34000.0,전라남도 담양군 수북면 풍수리,,,2021-01-31
담양군,가**장,육계,,34000.0,전라남도 담양군 수북면,,,2023-09-25
담양군,공**농장,육계,,3000.0,전라남도 담양군 무정면 오봉리,,,2021-01-31
담양군,공**농장,육계,,16000.0,전라남도 담양군 무정면,,,2023-09-25
담양군,금**원,육계,,70000.0,전라남도 담양군 무정면 평지리,,,2021-01-31
담양군,금**원,육계,,79500.0,전라남도 담양군 무정면,,,2023-09-25
담양군,김**,육계,,44000.0,전라남도 담양군 금성면,,,2023-09-25
담양군,김**,오리,,7000.0,전라남도 담양군 창평면 유곡리,,,2021-01-31
담양군,김**,육계,,15000.0,전라남도 담양군 봉산면 대추리,,,2021-01-31
담양군,김**,오리,,18000.0,전라남도 담양군 담양읍 반룡리,,,2021-01-31
담양군,김**,오리,,20100.0,전라남도 담양군 담양읍,,,2023-09-25
담양군,김**,육계,,50000.0,전라남도 담양군 금성면 봉황리,,,2021-01-31
담양군,김**농장,육계,,70000.0,전라남도 담양군 용면,,,2023-09-25
담양군,김**농장,육계,,1200.0,전라남도 담양군 무정면 동산리,,,2021-01-31
담양군,김**농장,육계,,90000.0,전라남도 담양군 용면 쌍태리,,,2021-01-31
담양군,농업회사법인(주)다**,산란계,,7080.0,전라남도 담양군 무정면,,,2023-09-25
담양군,다**원,오리,,15200.0,전라남도 담양군 용면,,,2023-09-25
담양군,다**원,오리,,20000.0,전라남도 담양군 용면 쌍태리,,,2021-01-31
담양군,다**장,오리,,20000.0,전라남도 담양군 대전면 대치리,,,2021-01-31
담양군,다**장,오리,,19000.0,전라남도 담양군 대전면,,,2023-09-25
담양군,대**장,육계,,12000.0,전라남도 담양군 봉산면 대추리,,,2021-01-31
담양군,대**장,육계,,40000.0,전라남도 담양군 봉산면,,,2023-09-25
담양군,무**산,오리,,14000.0,전라남도 담양군 대덕면 비차리,,,2021-01-31
담양군,물**,육계,,9.0,전라남도 담양군 용면,,,2023-09-25
담양군,보**장,육계,,80000.0,전라남도 담양군 무정면 정석리,,,2021-01-31
담양군,보**장,육계,,150000.0,전라남도 담양군 무정면,,,2023-09-25
담양군,서**산,산란계,,15000.0,전라남도 담양군 봉산면 기곡리,,,2021-01-31
담양군,서**산,산란계,,14000.0,전라남도 담양군 봉산면,,,2023-09-25
담양군,서**장,육계,,100000.0,전라남도 담양군 무정면 정석리,,,2021-01-31
담양군,서**장,육계,,150000.0,전라남도 담양군 무정면,,,2023-09-25
담양군,성**장,오리,,7716.0,전라남도 담양군 무정면 성도리,,,2021-01-31
담양군,성**장,육계,,500.0,전라남도 담양군 대전면,,,2023-09-25
담양군,성**장,오리,,12000.0,전라남도 담양군 무정면,,,2023-09-25
담양군,수**장,육계,,40000.0,전라남도 담양군 창평면 용수리,,,2021-01-31
담양군,신**산,"닭,오리",,2000.0,전라남도 담양군 용면 박곡길,,,2021-01-31
