시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
무안군,,,,,,,,2025-11-25
무안군,가온농장,오리,,,전라남도 무안군 일로읍 감돈리,,,2024-11-29
무안군,가온농장,오리,,20600.0,전라남도 무안군 일로읍 감돈리,,,2020-08-31
무안군,가입농장,오리,,,전라남도 무안군 현경면 가입리,,,2025-11-25
무안군,계절축산,육계,,,전라남도 무안군 일로읍 지장리,,,2024-11-29
무안군,계절축산,육계,,41000.0,전라남도 무안군 일로읍 지장리,,,2020-08-31
무안군,곰솔농장,육계,,78500.0,전라남도 무안군 망운면 송현리,,,2020-08-31
무안군,곰솔농장,육계,,,전라남도 무안군 망운면 송현리,,,2024-11-29
무안군,구로농장,육계,,45500.0,전라남도 무안군 청계면 해안로,,,2020-08-31
무안군,구로농장,육계,,,전라남도 무안군 청계면 구로리,,,2025-11-25
무안군,국민축산,오리,,,전라남도 무안군 해제면 천장리,,,2025-11-25
무안군,국민축산,오리,,30400.0,전라남도 무안군 해제면 해제지,,,2020-08-31
무안군,궁뜰,육계,,,전라남도 무안군 현경면 평산리,,,2024-11-29
무안군,궁뜰,육계,,29500.0,전라남도 무안군 현경면 함장로,,,2020-08-31
무안군,귀자농장,오리,,28000.0,전라남도 무안군 해제면 덕산리,,,2020-08-31
무안군,그레이트 팜,육계,,,전라남도 무안군 현경면 현화리,,,2024-11-29
무안군,그레이트 팜,육계,,50000.0,전라남도 무안군 현경면 성자동,,,2020-08-31
무안군,그린영농조합법인,종계/산란계,,,전라남도 무안군 해제면 광산리,,,2024-11-29
무안군,금동농장,육계,,,전라남도 무안군 삼향읍 왕산리,,,2020-08-31
무안군,금성농장,오리,,,전라남도 무안군 일로읍 감돈리,,,2024-11-29
무안군,금성농장,오리,,11700.0,전라남도 무안군 일로읍 감돈리,,,2020-08-31
무안군,금성농장,오리,,,전라남도 무안군 일로읍 지장리,,,2024-11-29
무안군,금성농장,육계,,,전라남도 무안군 청계면 서호리,,,2024-11-29
무안군,금성농장,오리,,11700.0,전라남도 무안군 일로읍 지장리,,,2020-08-31
무안군,금성농장,오리,,7000.0,전라남도 무안군 일로읍 감돈리,,,2020-08-31
무안군,금성농장,육계,,78100.0,전라남도 무안군 청계면 도대로,,,2020-08-31
무안군,김정기 농장,육계,,,전라남도 무안군 해제면 용학리,,,2025-11-25
무안군,남부유통,종계/산란계,,,전라남도 무안군 운남면 동암리,,,2024-11-29
무안군,남안농장,육계,,,전라남도 무안군 청계면 남안리,,,2025-11-25
무안군,남안농장,육계,,77000.0,전라남도 무안군 청계면 상천길,,,2020-08-31
무안군,내화농장,육계,,,전라남도 무안군 운남면 연리,,,2024-11-29
무안군,내화농장,육계,,,전라남도 무안군 운남면 연리 1,,,2025-11-25
무안군,내화농장,육계,,73800.0,전라남도 무안군 운남면 내화길,,,2020-08-31
무안군,내화삼계,육계,,65500.0,전라남도 무안군 운남면 운해로,,,2020-08-31
무안군,내화삼계,육계,,,전라남도 무안군 운남면 성내리,,,2025-11-25
무안군,농업회사법인(유)가람축산,오리,,,전라남도 무안군 청계면 송복길,,,2024-11-29
무안군,늘푸른농장,오리,,12000.0,전라남도 무안군 일로읍 지장리,,,2020-08-31
무안군,다온농장,육계,,,전라남도 무안군 일로읍 지장리,,,2025-11-25
무안군,닭사랑농장,육계,,,전라남도 무안군 현경면 동산리,,,2024-11-29
무안군,닭사랑농장,육계,,80000.0,전라남도 무안군 현경면 동산리,,,2020-08-31
무안군,대신농장,육계,,,전라남도 무안군 운남면 연리,,,2024-11-29
무안군,대신농장,육계,,77000.0,전라남도 무안군 운남면 양금로,,,2020-08-31
무안군,대신농장,육계,,,전라남도 무안군 운남면 연리 2,,,2025-11-25
무안군,대창농장,오리,,,전라남도 무안군 몽탄면 오갈치,,,2020-08-31
무안군,대풍농장,육계,,,전라남도 무안군 일로읍 감돈길,,,2020-08-31
무안군,덕진농장,육계,,,전라남도 무안군 운남면 동암리,,,2025-11-25
무안군,덕진농장,육계,,71800.0,전라남도 무안군 운남면 영해로,,,2020-08-31
무안군,데메테르M,종계/산란계,,,전라남도 무안군 운남면 연리,,,2024-11-29
무안군,데메테르M,종계+산란계,,,전라남도 무안군 운남면 연리 1,,,2025-11-25
무안군,도담농장,종계업,,,전라남도 무안군 무안읍 매곡리,,,2025-11-25
무안군,도원양계축산,육계,,,전라남도 무안군 망운면 피서리,,,2024-11-29
무안군,도원양계축산,육계,,33000.0,전라남도 무안군 망운면 피서길,,,2020-08-31
무안군,도율농장,종계+산란계,,,전라남도 무안군 운남면 동암리,,,2025-11-25
무안군,등림농장,육계,,,전라남도 무안군 일로읍 광암리,,,2024-11-29
무안군,매봉농장,육계,,,전라남도 무안군 일로읍 죽사동,,,2020-08-31
무안군,매봉농장,육계,,,전라남도 무안군 일로읍 지장리,,,2025-11-25
무안군,매봉축산,육계,,,전라남도 무안군 일로읍 죽사동,,,2020-08-31
무안군,매봉축산,육계,,,전라남도 무안군 일로읍 지장리,,,2024-11-29
무안군,모노랜드,육계,,94000.0,전라남도 무안군 현경면 해운로,,,2020-08-31
무안군,모노랜드,육계,,,전라남도 무안군 현경면 해운리,,,2024-11-29
무안군,목화농장,육계,,76000.0,전라남도 무안군 망운면 운해로,,,2020-08-31
무안군,목화농장,육계,,,전라남도 무안군 망운면 송현리,,,2025-11-25
무안군,무안농장,종오리업,,,전라남도 무안군 몽탄면 청용리,,,2024-11-29
무안군,무안농장,육계,,,전라남도 무안군 현경면 평산리,,,2025-11-25
무안군,민가농장,육계,,61000.0,전라남도 무안군 몽탄면 명산리,,,2020-08-31
무안군,민가농장,육계,,,전라남도 무안군 몽탄면 명산리,,,2024-11-29
무안군,바램 농장,육계,,,전라남도 무안군 해제면 양매리,,,2020-08-31
무안군,바솜농장,오리,,,전라남도 무안군 무안읍 신학리,,,2020-08-31
무안군,배로농장,종계/산란계,,,전라남도 무안군 청계면 남성리,,,2024-11-29
무안군,백련농장,육계,,,전라남도 무안군 청계면 복길리,,,2025-11-25
무안군,부부농장,육계,,70400.0,전라남도 무안군 일로읍 인의로,,,2020-08-31
무안군,부부농장,육계,,,전라남도 무안군 일로읍 의산리,,,2024-11-29
무안군,사계절농장,육계,,,전라남도 무안군 삼향읍 오룡산,,,2020-08-31
무안군,사계절농장,육계,,,전라남도 무안군 삼향읍 용포리,,,2024-11-29
무안군,산울농원,오리,,,전라남도 무안군 현경면 양학리,,,2025-11-25
무안군,산울농원,오리,,22000.0,전라남도 무안군 현경면 황토길,,,2020-08-31
무안군,삼신부화장,닭,,,전라남도 무안군 몽탄면 몽탄로,,,2024-11-29
무안군,삼신부화장,닭(부화업),,,전라남도 무안군 몽탄면 청용리,,,2025-11-25
무안군,상일축사,육계,,,전라남도 무안군 일로읍 감돈리,,,2025-11-25
무안군,상일축사,육계,,37000.0,전라남도 무안군 일로읍 감돈리,,,2020-08-31
무안군,상훈농장,오리,,,전라남도 무안군 현경면 장군로,,,2020-08-31
