시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
보성군,가○길농장,육용오리,,10000.0,전라남도 보성군 노동면 갱맹골길 45-85,,,2021-02-05
보성군,가○길농장,육용오리,,11000.0,전라남도 보성군 노동면 대련리 568,,,2023-02-02
보성군,가○팜,산란계,,850.0,전라남도 보성군 노동면 거석길 230-53,,,2021-02-05
보성군,가○팜,산란계,,850.0,"전라남도 보성군 노동면 거석리 486, 487",,,2023-02-02
보성군,가○팜,산란계,,500.0,전라남도 보성군 노동면 거석리 486 외 1필지,,,2026-02-24
보성군,건○농장,육용오리,,0.0,"전라남도 보성군 웅치면 대산리 71, 71-7, 71-8",,,2023-02-02
보성군,건○농장,육용오리,,17000.0,전라남도 보성군 웅치면 대산리 71-5 외 2필지,,,2026-02-24
보성군,구○수농장,산란계,,0.0,"전라남도 보성군 미력면 미력리 627, 628",,,2023-02-02
보성군,구○수농장,산란계,,44200.0,전라남도 보성군 미력면 미력리 627 외 1필지,,,2026-02-24
보성군,김○숙농장,육용오리,,17000.0,"전라남도 보성군 웅치면 용반리 709, 709-8",,,2023-02-02
보성군,김○숙농장,육용오리,,20000.0,전라남도 보성군 웅치면 용반리 709-7 외 1필지,,,2026-02-24
보성군,김○숙농장,육용오리,,16000.0,전라남도 보성군 웅치면 일림로 790-32,,,2021-02-05
보성군,낙○농장,종오리,,0.0,전라남도 보성군 겸백면 수남리 833,,,2021-02-05
보성군,낙○농장,육용오리,,20500.0,"전라남도 보성군 겸백면 수남리 833, 833-3",,,2023-02-02
보성군,낙○농장,육용오리,,22000.0,전라남도 보성군 겸백면 수남리 833 외 1필지,,,2026-02-24
보성군,낙○축산,육계,,700.0,"전라남도 보성군 조성면 은곡리 66-2, 67",,,2023-02-02
보성군,낙○축산,육계,,4800.0,전라남도 보성군 조성면 은곡리 66-2 외 1필지,,,2026-02-24
보성군,녹○골농장,육용오리,,15000.0,전라남도 보성군 보성읍 봉산리 1424-2 외 1필지,,,2026-02-24
보성군,녹○골농장,육용오리,,0.0,전라남도 보성군 보성읍 봉산리1424-2,,,2021-02-05
보성군,녹○골농장,육용오리,,4380.0,"전라남도 보성군 보성읍 봉산리 1424-2, 1424-3",,,2023-02-02
보성군,농업회사법인 주식회사 다○,종오리,,19000.0,전라남도 보성군 노동면 대련리 565-1,,,2026-02-24
보성군,누○팜,육계,,149700.0,전라남도 보성군 보성읍 옥암리 85,,,2023-02-02
보성군,누○팜,육계,,142000.0,전라남도 보성군 보성읍 재궁해경길 81-22,,,2021-02-05
보성군,누○팜,육계,,150000.0,전라남도 보성군 보성읍 옥암리 85-1,,,2026-02-24
보성군,대○농장,육용오리,,10800.0,전라남도 보성군 조성면 동촌리 480-22,,,2023-02-02
보성군,대○농장,육용오리,,0.0,전라남도 보성군 조성면 조성수촌길 14,,,2021-02-05
보성군,대○농장,종오리,,5300.0,전라남도 보성군 웅치면 대산길 118-46,,,2021-02-05
보성군,대○농장,육용오리,,12000.0,전라남도 보성군 조성면 동촌리 480-22,,,2026-02-24
보성군,데○테르B,산란계,,66300.0,전라남도 보성군 미력면 미력리 619-1,,,2026-02-24
보성군,바○팜,산란계,,50000.0,전라남도 보성군 미력면 미력리 619-1,,,2021-02-05
보성군,박○경농장,육계,,120000.0,전라남도 보성군 보성읍 쾌상리 1118-5,,,2021-02-05
보성군,박○경농장,육계,,113100.0,전라남도 보성군 보성읍 쾌상리 1118-5,,,2023-02-02
