시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
영광군,강운봉농장,육계,,40000.0,전라남도 영광군 염산면 옥실리 51,,,2024-08-23
영광군,강운봉농장,육계,,30000.0,전라남도 영광군 염산면 옥실리,,,2021-02-04
영광군,광대월농장,육계,,1000.0,전라남도 영광군 군남면 설매리,,,2021-02-04
영광군,금성농장,육계,,147000.0,전라남도 영광군 법성면 용덕로2길 58-69,,,2024-08-23
영광군,금성농장,육계,,140000.0,전라남도 영광군 법성면 용덕리,,,2021-02-04
영광군,금자농장,육계,,32000.0,전라남도 영광군 백수읍 천마리,,,2021-02-04
영광군,금호농장,육계,,86000.0,전라남도 영광군 영광읍 청보리로 166-54,,,2024-08-23
영광군,금호농장,육계,,150000.0,전라남도 영광군 영광읍 입석리,,,2021-02-04
영광군,농업회사법인 물무산 행복숲 주식회사,타조,,29.0,전라남도 영광군 묘량면 덕흥리,,,2021-02-04
영광군,농업회사법인(유)빛고을농장,육용종계,,50000.0,전라남도 영광군 영광읍 와룡리 100,,,2024-08-23
영광군,농업회사법인(주)부성,육계,,15000.0,전라남도 영광군 군남면 남창리,,,2021-02-04
영광군,농업회사법인브리딩팜(유),육용종계,,28000.0,전라남도 영광군 홍농읍 신석리 156-5,,,2024-08-23
영광군,농업회사법인주식회사형경,육계,,307000.0,전라남도 영광군 군남면 남창리 956,,,2024-08-23
영광군,다담농장,육계,,0.0,전라남도 영광군 홍농읍 월암리,,,2021-02-04
영광군,다담농장,육계,,78000.0,전라남도 영광군 홍농읍 월암리 1189-8,,,2024-08-23
영광군,다원농장,오리,,10000.0,전라남도 영광군 영광읍 와룡리,,,2021-02-04
영광군,대신농장,육계,,80000.0,전라남도 영광군 백수읍 천마리,,,2021-02-04
영광군,대신농장,육계,,84000.0,전라남도 영광군 백수읍 백수로 1095,,,2024-08-23
영광군,덕산농장,육계,,23000.0,전라남도 영광군 군서면 덕산리,,,2021-02-04
영광군,덕산농장,육계,,45000.0,전라남도 영광군 군서면 덕산리 157,,,2024-08-23
영광군,덕호농장,육용종계,,33100.0,전라남도 영광군 영광읍 덕호로 271-84,,,2024-08-23
영광군,덕호농장2,육계,,0.0,전라남도 영광군 영광읍 덕호리,,,2021-02-04
영광군,도원목장,종계/산란계,,1000.0,전라남도 영광군 법성면 대덕리,,,2021-02-04
영광군,두레농장,육계,,98000.0,전라남도 영광군 홍농읍 가곡리 654-1,,,2024-08-23
영광군,두우리농장,육계,,50.0,전라남도 영광군 염산면 두우리,,,2021-02-04
영광군,만곡양계,육계,,20000.0,전라남도 영광군 군서면 만곡리,,,2021-02-04
영광군,만금농장,육용종계,,35000.0,전라남도 영광군 군서면 서금길 90,,,2024-08-23
