시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
영암군,153농장,육계,,9300.0,전라남도 영암군 영암읍 농덕리,,,2015-07-02
영암군,가나안 농장,오리,,16000.0,전라남도 영암군 시종면 월롱리,,,2015-07-02
영암군,갈곡농장,육계,,35000.0,전라남도 영암군 신북면 갈곡리,,,2015-07-02
영암군,건숙농장,오리,,17000.0,전라남도 영암군 금정면 안노리,,,2015-07-02
영암군,건향오리,오리,,52000.0,전라남도 영암군 신북면 행정리,,,2015-07-02
영암군,겨레농장,오리,,25000.0,전라남도 영암군 군서면 도장리,,,2025-05-01
영암군,경균농장,오리,,25000.0,전라남도 영암군 도포면 영호리,,,2025-05-01
영암군,고산농장,육계,,37000.0,전라남도 영암군 서호면 성재리,,,2015-07-02
영암군,광주농장,오리,,7000.0,전라남도 영암군 영암읍 망호리,,,2015-07-02
영암군,귀봉농장,육계,,80000.0,전라남도 영암군 서호면 성재리,,,2015-07-02
영암군,그린농장,육계,,120000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02
영암군,그린농장,오리,,20000.0,전라남도 영암군 덕진면 장선리,,,2015-07-02
영암군,그린축산,오리,,30000.0,전라남도 영암군 시종면 월롱리,,,2015-07-02
영암군,금강농장,육계,,15000.0,전라남도 영암군 덕진면 금강리,,,2025-05-01
영암군,금산농장,육계,,55000.0,전라남도 영암군 시종면 신학리,,,2025-05-01
영암군,금정농장,산란계,,54000.0,전라남도 영암군 도포면 덕화리,,,2015-07-02
영암군,금지오리,오리,,12000.0,전라남도 영암군 시종면 금지리,,,2015-07-02
영암군,기를품은,육계,,120000.0,전라남도 영암군 학산면 용산리,,,2025-05-01
영암군,기영농장,육계,,35000.0,전라남도 영암군 시종면 신학리,,,2015-07-02
영암군,기포농장,육계,,400.0,전라남도 영암군 학산면 묵동리,,,2025-05-01
영암군,길록양계,육계,,57700.0,전라남도 영암군 서호면 태백리,,,2025-05-01
영암군,김두장,오리,,9000.0,전라남도 영암군 시종면 신학리,,,2015-07-02
영암군,김요한농장,육계,,60000.0,전라남도 영암군 시종면 옥야리,,,2025-05-01
영암군,나영농장,오리,,12900.0,전라남도 영암군 시종면 신흥리,,,2015-07-02
영암군,나영농장,오리,,16807.0,전라남도 영암군 시종면 신흥리,,,2025-05-01
영암군,나주뜰오리,오리,,26000.0,전라남도 영암군 신북면 월지리,,,2025-05-01
영암군,나주뜰오리,오리,,30000.0,전라남도 영암군 신북면 월지리,,,2015-07-02
영암군,남경축산,오리,,22000.0,전라남도 영암군 신북면 갈곡리,,,2015-07-02
영암군,남송농장,육계,,50000.0,전라남도 영암군 금정면 남송리,,,2025-05-01
영암군,낭주농장,육계,,58000.0,전라남도 영암군 영암읍 송평리,,,2015-07-02
영암군,낭주오리농장,오리,,15000.0,전라남도 영암군 도포면 원항리,,,2015-07-02
영암군,농계농장,오리,,6500.0,전라남도 영암군 영암읍 송평리,,,2015-07-02
영암군,농업회사 법인 주식회사 은강,오리,,35000.0,전라남도 영암군 군서면 양장리,,,2025-05-01
영암군,농업회사법인 조인팜스㈜,산란계,,125400.0,전라남도 영암군 신북면 행정리,,,2025-05-01
영암군,농업회사법인 주식회사 팜스,오리,,6000.0,전라남도 영암군 덕진면 금강리,,,2025-05-01
영암군,다미농장,산란계,,26000.0,전라남도 영암군 시종면 신학리,,,2025-05-01
영암군,다솔,오리,,50000.0,전라남도 영암군 시종면 옥야리,,,2015-07-02
영암군,달농장,육계,,85000.0,전라남도 영암군 도포면 원항리,,,2025-05-01
영암군,달농장,육계,,45000.0,전라남도 영암군 도포면 원항리,,,2025-05-01
영암군,닭실털보농장,오리,,63000.0,전라남도 영암군 신북면 유곡리,,,2015-07-02
영암군,닭실털보농장,육계,,55000.0,전라남도 영암군 신북면 유곡리,,,2025-05-01
영암군,덕신영농조합법인,오리,,14400.0,전라남도 영암군 덕진면 장선리,,,2015-07-02
영암군,덕암농장,육계,,40000.0,전라남도 영암군 영암읍 장암리,,,2015-07-02
영암군,덕진농장,오리,,16000.0,전라남도 영암군 덕진면 장선리,,,2025-05-01
영암군,동산농장,오리,,11500.0,전라남도 영암군 영암읍 송평리,,,2015-07-02
영암군,동산농장,오리,,8000.0,전라남도 영암군 영암읍 망호리,,,2025-05-01
영암군,든든농장,육계,,76000.0,전라남도 영암군 덕진면 노송리,,,2025-05-01
영암군,또르래농장,산란계,,25400.0,전라남도 영암군 도포면 덕화리,,,2025-05-01
영암군,만수자연농장,산란계,,1420.0,전라남도 영암군 시종면 만수리,,,2015-07-02
영암군,매일농장,육계,,185000.0,전라남도 영암군 군서면 도장리,,,2025-05-01
영암군,목림,오리,,17000.0,전라남도 영암군 신북면 학동리,,,2015-07-02
영암군,목림농장,오리,,17000.0,전라남도 영암군 신북면 학동리,,,2025-05-01
영암군,목원농장,오리,,18900.0,전라남도 영암군 시종면 신학리,,,2015-07-02
영암군,미담이네 농장1,육계,,50000.0,전라남도 영암군 서호면 몽해리,,,2025-05-01
영암군,미담이네농장,육계,,1650.0,전라남도 영암군 덕진면 장선리,,,2025-05-01
영암군,미류네 농장,육계,,50000.0,전라남도 영암군 서호면 몽해리,,,2015-07-02
영암군,미암농장,육계,,10000.0,전라남도 영암군 미암면 신포리,,,2025-05-01
영암군,미암농장,육계,,3000.0,전라남도 영암군 미암면 두억리,,,2015-07-02
영암군,미암메추리농장,메추리,,150000.0,전라남도 영암군 미암면 채지리,,,2015-07-02
영암군,민성양계장,육계,,55000.0,전라남도 영암군 학산면 금계리,,,2015-07-02
영암군,민우농장,육계,,70000.0,전라남도 영암군 신북면 갈곡리,,,2025-05-01
영암군,민중농장,육계,,27000.0,전라남도 영암군 시종면 봉소리,,,2025-05-01
영암군,박치완농장,육계,,50000.0,전라남도 영암군 서호면 성재리,,,2015-07-02
영암군,반석축산,육계,,100000.0,전라남도 영암군 서호면 금강리,,,2015-07-02
영암군,백순애농장,오리,,30000.0,전라남도 영암군 도포면 성산리,,,2015-07-02
영암군,백호축산,육계,,30000.0,전라남도 영암군 시종면 신학리,,,2025-05-01
