시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
장흥군,,오리,,16000.0,전라남도 장흥군 회진면 회진리 2166번지 1호 2166-2,,,2025-12-16
장흥군,,육계,,,전라남도 장흥군 안양면 모령리 623번지 3호,,,2025-07-30
장흥군,,오리,,,전라남도 장흥군 부산면 부춘리 561번지 1호,,,2025-07-30
장흥군,,육계,,500.0,전라남도 장흥군 장흥읍 평화리 35번지 4호 외 1필지,,,2025-12-16
장흥군,,오리,,,전라남도 장흥군 장평면 기동리 691번지,,,2025-07-30
장흥군,,오리,,,전라남도 장흥군 부산면 유량리 214번지 7호,,,2025-07-30
장흥군,,육계,,,전라남도 장흥군 장흥읍 성불리 344번지 1호,,,2025-07-30
장흥군,,육계,,38000.0,전라남도 장흥군 안양면 모령리 623번지 3호,,,2025-12-16
장흥군,,육계,,,전라남도 장흥군 용산면 상발리 693번지,,,2025-07-30
장흥군,,오리,,,전라남도 장흥군 회진면 회진리 2166번지 1호 2166-2,,,2025-07-30
장흥군,,오리,,,전라남도 장흥군 부산면 기동리 344번지 5호,,,2025-07-30
장흥군,,육계,,,전라남도 장흥군 장흥읍 우산리 141번지,,,2025-07-30
장흥군,,육계,,,전라남도 장흥군 장흥읍 평화리 35번지 4호 외 1필지,,,2025-07-30
장흥군,,육계,,,전라남도 장흥군 용산면 월송리 546번지,,,2025-07-30
장흥군,,오리,,10000.0,전라남도 장흥군 부산면 기동리 344번지 5호,,,2025-12-16
장흥군,,육계,,,전라남도 장흥군 관산읍 죽청리 269번지 4호,,,2025-07-30
장흥군,,육계,,44000.0,전라남도 장흥군 장동면 하산리 85번지 1호,,,2025-12-16
장흥군,,종계/산란계,,,전라남도 장흥군 장평면 병동리 635번지,,,2025-07-30
장흥군,,육계,,40000.0,전라남도 장흥군 용산면 월송리 546번지,,,2025-12-16
장흥군,,육계,,,전라남도 장흥군 장동면 하산리 85번지 1호,,,2025-07-30
장흥군,,육계,,,전라남도 장흥군 용산면 계산리 415번지 9호,,,2025-07-30
장흥군,,육계,,57000.0,전라남도 장흥군 관산읍 죽청리 269번지 4호,,,2025-12-16
장흥군,감나무재관광농원,육계,,,전라남도 장흥군 장동면 하산리 11번지,,,2025-07-30
장흥군,감나무재관광농원,육계,,815.0,전라남도 장흥군 장동면 하산리 11번지,,,2025-12-16
장흥군,거산농장,육계,,,"전라남도 장흥군 장평면 축내리 686-1, 686-2번지",,,2025-07-30
장흥군,계현농장,육계,,,"전라남도 장흥군 용산면 상금리 262번지 7호 , 18",,,2025-07-30
장흥군,곰치2농장,오리,,25000.0,전라남도 장흥군 장평면 청용리 896번지 외 2필지,,,2025-12-16
장흥군,곰치2농장,오리,,,전라남도 장흥군 장평면 청용리 896번지 외 2필지,,,2025-07-30
장흥군,곰치농장,오리,,,전라남도 장흥군 장평면 청용리 919번지 4호 외 1필지(919-3 번지),,,2025-07-30
장흥군,곰치농장,오리,,,전라남도 장흥군 장평면 청용리 896번지 4호,,,2025-07-30
장흥군,곰치농장,오리,,17000.0,전라남도 장흥군 장평면 청용리 896번지 4호,,,2025-12-16
장흥군,곰치농장,오리,,17000.0,전라남도 장흥군 장평면 청용리 919번지 4호 외 1필지(919-3 번지),,,2025-12-16
장흥군,금강농장,육계,,48000.0,전라남도 장흥군 장흥읍 사안리 411번지,,,2025-12-16
장흥군,금강농장,육계,,,전라남도 장흥군 장흥읍 사안리 411번지,,,2025-07-30
장흥군,김**농장,오리,,,전라남도 장흥군 장평면 청용리 919번지 3호,,,2025-07-30
장흥군,까르마농산,종계/산란계,,,전라남도 장흥군 장평면 축내리 694번지 3호,,,2025-07-30
장흥군,나평농장,육계,,61000.0,"전라남도 장흥군 장평면 기동리 401-5, 401-6, 401-7번지",,,2025-12-16
장흥군,나평농장,육계,,,전라남도 장흥군 장평면 기동리,,,2025-07-30
장흥군,남양 부화장,오리,,,전라남도 장흥군 장흥읍 사안리 411번지,,,2025-07-30
장흥군,농업회사법인한국원종오리(유),오리,,,전라남도 장흥군 안양면 당암리 8번지 2호,,,2025-07-30
장흥군,대덕농장,육계,,,전라남도 장흥군 대덕읍 신월리 1084번지 5호,,,2025-07-30
장흥군,대성농장,오리,,,전라남도 장흥군 부산면 호계리 172번지 외 4필지,,,2025-07-30
장흥군,대성농장,오리,,30000.0,전라남도 장흥군 부산면 호계리 172번지 외 4필지,,,2025-12-16
장흥군,대성축산1농장,오리,,15000.0,전라남도 장흥군 회진면 덕산리 2111번지 3호,,,2025-12-16
장흥군,대성축산1농장,오리,,,전라남도 장흥군 회진면 덕산리 2111번지 3호,,,2025-07-30
장흥군,대성축산2농장,오리,,10000.0,"전라남도 장흥군 회진면 덕산리 2110-2번지(오리사), 2111-5번지(퇴비사)",,,2025-12-16
장흥군,대성축산2농장,오리,,,"전라남도 장흥군 회진면 덕산리 2110-2번지(오리사), 2111-5번지(퇴비사)",,,2025-07-30
장흥군,대한농장,오리,,,전라남도 장흥군 부산면 기동리 345번지 5호,,,2025-07-30
장흥군,대한농장,오리,,10000.0,전라남도 장흥군 부산면 기동리 345번지 5호,,,2025-12-16
장흥군,덕암농장,오리,,20000.0,전라남도 장흥군 용산면 덕암리 439번지 8호 외 1필지,,,2025-12-16
장흥군,덕암농장,오리,,,전라남도 장흥군 용산면 덕암리 439번지 8호 외 1필지,,,2025-07-30
장흥군,마미농장,오리,,,전라남도 장흥군 부산면 기동리 345번지 4호,,,2025-07-30
장흥군,마미농장,오리,,9000.0,전라남도 장흥군 부산면 기동리 345번지 4호,,,2025-12-16
장흥군,마장골,오리,,19700.0,전라남도 장흥군 회진면 회진리 1331번지,,,2025-12-16
장흥군,마장골,오리,,,전라남도 장흥군 회진면 회진리 1331번지,,,2025-07-30
장흥군,명수농장,오리,,16000.0,전라남도 장흥군 장동면 북교리 782번지 6호,,,2025-12-16
장흥군,명수농장,오리,,,전라남도 장흥군 장동면 북교리 782번지 6호,,,2025-07-30
장흥군,모산농장,오리,,,전라남도 장흥군 용산면 계산리 336번지 1호,,,2025-07-30
장흥군,모산농장,오리,,,전라남도 장흥군 용산면 모산리 30번지 10호 외1필지,,,2025-07-30
장흥군,모산농장,오리,,18000.0,전라남도 장흥군 용산면 모산리 30번지 10호 외1필지,,,2025-12-16
장흥군,미애농장,오리,,,전라남도 장흥군 장평면 기동리 696번지,,,2025-07-30
장흥군,미애농장,오리,,3400.0,전라남도 장흥군 장평면 기동리 696번지,,,2025-12-16
장흥군,민성이슬마루오리농장,오리,,,전라남도 장흥군 부산면 기동리 342번지 1호,,,2025-07-30
장흥군,민성이슬마루오리농장,오리,,22000.0,전라남도 장흥군 부산면 기동리 342번지 1호,,,2025-12-16
장흥군,민주농장,육계,,70000.0,전라남도 장흥군 용산면 계산리 415번지 1호,,,2025-12-16
장흥군,민주농장,육계,,,전라남도 장흥군 용산면 계산리 415번지 1호,,,2025-07-30
장흥군,믿음오리농장,오리,,12000.0,전라남도 장흥군 장평면 기동리 712번지 1호,,,2025-12-16
장흥군,믿음오리농장,오리,,,전라남도 장흥군 장평면 기동리 712번지 1호,,,2025-07-30
장흥군,박**,오리,,,전라남도 장흥군 용산면 접정리 304번지 8호,,,2025-07-30
장흥군,박성진,오리,,11000.0,전라남도 장흥군 용산면 접정리 304번지 8호,,,2025-12-16
장흥군,벧엘농장,오리,,,전라남도 장흥군 장동면 북교리 350번지,,,2025-07-30
장흥군,벧엘농장,오리,,10000.0,전라남도 장흥군 장동면 북교리 350번지 2호,,,2025-12-16
장흥군,벧엘농장,오리,,,전라남도 장흥군 장동면 북교리 350번지 2호,,,2025-07-30
장흥군,벧엘농장,오리,,10000.0,전라남도 장흥군 장동면 북교리 350번지,,,2025-12-16
장흥군,봉림농장,육계,,85000.0,전라남도 장흥군 장평면 봉림리 17번지,,,2025-12-16
장흥군,봉림농장,육계,,,전라남도 장흥군 장평면 봉림리 16-1번지,,,2025-07-30
장흥군,부드리 오리농장,오리,,,"전라남도 장흥군 장평면 양촌리 88-14,88-16,88-17,88-18,88-19,88-20,88-23,88-24,-25,-26,-174",,,2025-07-30
장흥군,부드리 오리농장,오리,,15000.0,"전라남도 장흥군 장평면 양촌리 88-14,88-16,88-17,88-18,88-19,88-20,88-23,88-24,-25,-26,-174",,,2025-12-16
장흥군,부산농장,오리,,,전라남도 장흥군 부산면 기동리 344번지 1호 외 1필지,,,2025-07-30
장흥군,부산농장,오리,,9000.0,전라남도 장흥군 부산면 기동리 344번지 1호 외 1필지,,,2025-12-16
장흥군,사안농장,육계,,45000.0,"전라남도 장흥군 장흥읍 사안리 104, 105-1, 106, 189-1, 190, 433-5, 433-7번지",,,2025-12-16
장흥군,사안농장,육계,,,"전라남도 장흥군 장흥읍 사안리 104, 105-1, 106, 189-1, 190, 433-5, 433-7번지",,,2025-07-30
장흥군,사촌농장,오리,,,전라남도 장흥군 안양면 사촌리 33번지 1호,,,2025-07-30
장흥군,산들농장,오리,,22000.0,"전라남도 장흥군 부산면 용반리 76번지 1호 , 76-2, 76-3, 76-4",,,2025-12-16
장흥군,산들농장,오리,,,"전라남도 장흥군 부산면 용반리 76번지 1호 , 76-2, 76-3, 76-4",,,2025-07-30
장흥군,삼산양계장,육계,,65000.0,전라남도 장흥군 장흥읍 삼산리 산 92번지 5호,,,2025-12-16
장흥군,삼산양계장,육계,,,전라남도 장흥군 장흥읍 삼산리 산 92번지 5호,,,2025-07-30
장흥군,삼화농장,육계,,82000.0,전라남도 장흥군 회진면 회진리 1443번지 2호,,,2025-12-16
장흥군,삼화농장,육계,,,전라남도 장흥군 회진면 회진리 1443번지 2호,,,2025-07-30
장흥군,서재오리농장,오리,,,전라남도 장흥군 장평면 등촌리 443번지,,,2025-07-30
장흥군,석정농장,오리,,27000.0,전라남도 장흥군 장평면 기동리 959번지 1호 외 4필지,,,2025-12-16
장흥군,석정농장,오리,,,전라남도 장흥군 장평면 기동리 959번지 1호 외 4필지,,,2025-07-30
장흥군,소망농장,오리,,9000.0,전라남도 장흥군 장평면 기동리 712번지 8호,,,2025-12-16
장흥군,소망농장,오리,,,전라남도 장흥군 장평면 기동리 712번지 8호,,,2025-07-30
장흥군,송은농장,오리,,33000.0,전라남도 장흥군 용산면 상금리 88번지 1호,,,2025-12-16
장흥군,송은농장,오리,,,전라남도 장흥군 용산면 상금리 88번지 1호,,,2025-07-30
장흥군,수락양계장,육계,,71000.0,전라남도 장흥군 안양면 수락리 50번지 7호,,,2025-12-16
장흥군,수락양계장,육계,,,전라남도 장흥군 안양면 수락리 50번지 7호,,,2025-07-30
장흥군,수목농장,육계,,,전라남도 장흥군 장동면 반산리 9번지 2호,,,2025-07-30
장흥군,순복농장,오리,,,전라남도 장흥군 용산면 덕암리 461번지 1호 외 1필지,,,2025-07-30
장흥군,신기농장,오리,,,전라남도 장흥군 장평면 기동리 228번지 2호,,,2025-07-30
장흥군,신풍부화장,종계/산란계,,,전라남도 장흥군 유치면 조양리 1120번지 5호,,,2025-07-30
장흥군,여의동농장,육계,,,전라남도 장흥군 장평면 등촌리 297번지,,,2025-07-30
장흥군,여의동농장,육계,,250000.0,전라남도 장흥군 장평면 등촌리 297번지,,,2025-12-16
장흥군,영법돌나라한농복구회장흥지부,종계/산란계,,,전라남도 장흥군 유치면 운월리 241번지,,,2025-07-30
장흥군,영섭농장,오리,,11500.0,전라남도 장흥군 부산면 유량리 276번지 외 1필지,,,2025-12-16
장흥군,영섭농장,오리,,,전라남도 장흥군 부산면 유량리 276번지 외 1필지,,,2025-07-30
장흥군,영일농장,오리,,,전라남도 장흥군 장흥읍 덕제리 617번지 1호,,,2025-07-30
장흥군,영진오리농장,오리,,,전라남도 장흥군 장평면 청용리 919번지 5호,,,2025-07-30
장흥군,영진오리농장,오리,,15000.0,전라남도 장흥군 장평면 청용리 919번지 5호,,,2025-12-16
장흥군,오리가행복한농장,오리,,,전라남도 장흥군 회진면 덕산리 2110번지 2호 외 3필지,,,2025-07-30
장흥군,오성농장,오리,,,전라남도 장흥군 회진면 회진리 1362번지 3호,,,2025-07-30
장흥군,우리농장,오리,,,전라남도 장흥군 회진면 회진리 1355번지 외3필지,,,2025-07-30
장흥군,우리농장,오리,,12000.0,전라남도 장흥군 회진면 회진리 1355번지 외3필지,,,2025-12-16
장흥군,우산오리농장,오리,,13000.0,전라남도 장흥군 장평면 우산리 456번지 2호,,,2025-12-16
장흥군,우산오리농장,오리,,,전라남도 장흥군 장평면 우산리 456번지 2호,,,2025-07-30
장흥군,유형농장,오리,,,전라남도 장흥군 장흥읍 사안리 411번지,,,2025-07-30
장흥군,으뜸농장,오리,,34500.0,전라남도 장흥군 용산면 덕암리 459번지 2호 외 4필지,,,2025-12-16
장흥군,으뜸농장,오리,,,전라남도 장흥군 용산면 덕암리 459번지 2호 외 4필지,,,2025-07-30
장흥군,은비치농장,오리,,,"전라남도 장흥군 안양면 수문리 327번지 4호 , 사촌리 33-1, 33-2, 33-3, 33-4",,,2025-07-30
장흥군,은비치농장,오리,,58600.0,"전라남도 장흥군 안양면 수문리 327번지 4호 , 사촌리 33-1, 33-2, 33-3, 33-4",,,2025-12-16
장흥군,이레농장,오리,,,전라남도 장흥군 장동면 북교리 350번지 2호,,,2025-07-30
장흥군,인암농원,종계/산란계,,1500.0,전라남도 장흥군 유치면 조양리 859번지 2호,,,2025-12-16
장흥군,인암농원,종계/산란계,,,전라남도 장흥군 유치면 조양리 859번지 2호,,,2025-07-30
장흥군,임마누엘,오리,,,전라남도 장흥군 용산면 풍길리 41번지,,,2025-07-30
장흥군,장흥 장강 농장,육계,,,전라남도 장흥군 장흥읍 사안리 450번지,,,2025-07-30
장흥군,장흥 장강 농장,육계,,124000.0,전라남도 장흥군 장흥읍 사안리 450번지,,,2025-12-16
장흥군,장흥팜스농장,종계/산란계,,20000.0,"전라남도 장흥군 장평면 축내리 696번지 1호 , 694, 697-3, 694-2, 694-3",,,2025-12-16
장흥군,장흥팜스농장,종계/산란계,,,"전라남도 장흥군 장평면 축내리 696번지 1호 , 694, 697-3, 694-2, 694-3",,,2025-07-30
장흥군,주영농장,오리,,,전라남도 장흥군 안양면 당암리 410번지,,,2025-07-30
장흥군,주한농장,오리,,,전라남도 장흥군 부산면 유량리 392번지 393번지,,,2025-07-30
장흥군,주한농장,오리,,11500.0,전라남도 장흥군 부산면 유량리 392번지 393번지,,,2025-12-16
장흥군,천관농장,오리,,,전라남도 장흥군 대덕읍 연지리 산 82번지 1호,,,2025-07-30
장흥군,태양오리,오리,,,전라남도 장흥군 장평면 기동리 691번지,,,2025-07-30
장흥군,태양오리,오리,,10000.0,전라남도 장흥군 장평면 기동리 691번지,,,2025-12-16
장흥군,포곡농장,오리,,,전라남도 장흥군 용산면 모산리 573번지 1호,,,2025-07-30
장흥군,포곡농장,오리,,31500.0,전라남도 장흥군 용산면 모산리 573번지 1호,,,2025-12-16
장흥군,풍길 오리농장,오리,,,전라남도 장흥군 용산면 풍길리 산 72번지,,,2025-07-30
장흥군,풍길 오리농장,오리,,13000.0,전라남도 장흥군 용산면 풍길리 산 72번지,,,2025-12-16
장흥군,풍년오리농장,오리,,14000.0,전라남도 장흥군 부산면 기동리 345번지 6호,,,2025-12-16
장흥군,풍년오리농장,오리,,,전라남도 장흥군 부산면 기동리 345번지 6호,,,2025-07-30
장흥군,프란체스코농장,육계,,,전라남도 장흥군 유치면 신풍리 10번지,,,2025-07-30
장흥군,하람농장,오리,,,전라남도 장흥군 관산읍 용전리 233번지 외 1필지,,,2025-07-30
장흥군,한**농장,오리,,,"전라남도 장흥군 용산면 풍길리 581번지 8호 , 581-9, 589, 581-20, 582, 583, 584, 584-1, 585, 산248-1번지",,,2025-07-30
장흥군,한들농장,육계,,,전라남도 장흥군 대덕읍 신월리 1084번지 1호,,,2025-07-30
장흥군,한우리농장,오리,,32000.0,"전라남도 장흥군 용산면 풍길리 581번지 8호 , 581-9, 589, 581-20, 582, 583, 584, 584-1, 585, 산248-1번지",,,2025-12-16
장흥군,한일농장,육계,,,"전라남도 장흥군 용산면 상금리 262번지 7호 , 262-18",,,2025-07-30
장흥군,한일농장,육계,,128232.0,"전라남도 장흥군 용산면 상금리 262번지 7호 , 262-18",,,2025-12-16
장흥군,해오름 오리농장,오리,,17000.0,"전라남도 장흥군 장평면 양촌리 605-3, 605-4, 605-5번지",,,2025-12-16
장흥군,해오름 오리농장,오리,,,"전라남도 장흥군 장평면 양촌리 605-3, 605-4, 605-5번지",,,2025-07-30
장흥군,행복을 farm,종계/산란계,,,전라남도 장흥군 장평면 축내리 718번지,,,2025-07-30
장흥군,행복을 farm,종계/산란계,,300.0,전라남도 장흥군 장평면 축내리 718번지,,,2025-12-16
장흥군,현규농장,육계,,,전라남도 장흥군 대덕읍 잠두리 645번지 7호,,,2025-07-30
장흥군,현이농장,오리,,18400.0,전라남도 장흥군 장평면 등촌리 443번지,,,2025-12-16
장흥군,형제농장,오리,,27760.0,전라남도 장흥군 용산면 풍길리,,,2025-12-16
장흥군,형제농장,오리,,,전라남도 장흥군 용산면 풍길리,,,2025-07-30
장흥군,호반농원,오리,,,전라남도 장흥군 부산면 호계리 341번지 7호,,,2025-07-30
장흥군,회진오리1농장,오리,,14100.0,전라남도 장흥군 회진면 회진리 1357번지,,,2025-12-16
장흥군,회진오리1농장,오리,,,전라남도 장흥군 회진면 회진리 1357번지,,,2025-07-30
장흥군,회진오리2농장,오리,,,전라남도 장흥군 회진면 회진리 1334번지 외 2필지,,,2025-07-30
