시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
진도군,경미축산,육용오리,,,전라남도 진도군 고군면 내산로 131-57,,,2025-06-24
진도군,고○희,오리,,12000.0,전라남도 진도군 군내면 서부해안로 1610,,,2021-02-02
진도군,김○관,산란계,,360.0,전라남도 진도군 지산면 내삼당길 128-37,,,2021-02-02
진도군,김○환,오리,,8700.0,전라남도 진도군 진도읍 고막매길 76,,,2021-02-02
진도군,김○희,오리,,8000.0,전라남도 진도군 의신면 논수동길 70,,,2021-02-02
진도군,김행수농장,산란계,,,전라남도 진도군 의신면 창포리 759,,,2025-06-24
진도군,남산오리농장,육용오리,,,전라남도 진도군 진도읍 고막매길 76,,,2025-06-24
진도군,두레농장,육용오리,,,전라남도 진도군 고군면 오산리 2196-1,,,2025-06-24
진도군,박○근,오리,,18000.0,전라남도 진도군 고군면 오상길 86,,,2021-02-02
진도군,박○단,오리,,37000.0,전라남도 진도군 지산면 지산로 1308,,,2021-02-02
진도군,박○미,오리,,12000.0,전라남도 진도군 고군면 내산로 131-17,,,2021-02-02
진도군,박○선,오리,,8000.0,전라남도 진도군 고군면 지막리 418,,,2021-02-02
진도군,박○필,오리,,8100.0,전라남도 진도군 임회면 매실로 113,,,2021-02-02
진도군,박○홍,오리,,8600.0,전라남도 진도군 진도읍 포서길 9,,,2021-02-02
진도군,박종필농장,육용오리,,,전라남도 진도군 임회면 매실로 113,,,2025-06-24
진도군,박하농장,육용오리,,,전라남도 진도군 고군면 지막리 418,,,2025-06-24
진도군,보배농장,육용오리,,,전라남도 진도군 고군면 진도대로 582-27,,,2025-06-24
진도군,삼닭농장,육계,,,전라남도 진도군 지산면 삼당리 104,,,2025-06-24
진도군,상가양계,산란계,,,전라남도 진도군 군내면 오일시 2길 2,,,2025-06-24
진도군,양○백,산란계,,5000.0,전라남도 진도군 군내면 연산길 106,,,2021-02-02
진도군,오○석,오리,,8500.0,전라남도 진도군 의신면 죽엽돈지로 415,,,2021-02-02
진도군,음○관,산란계,,50.0,전라남도 진도군 조도면 창리길 40-5,,,2021-02-02
진도군,음문관농장,토종닭,,,전라남도 진도군 조도면 창유리 456,,,2025-06-24
진도군,이○명,육계,,500.0,전라남도 진도군 의신면 만길안길 147-48,,,2021-02-02
진도군,이○선,오리,,30000.0,전라남도 진도군 고군면 진도대로 582-27,,,2021-02-02
진도군,이○신,육계,,200.0,전라남도 진도군 임회면 십일시장길 6,,,2021-02-02
진도군,정현 농장,산란계,,,전라남도 진도군 지산면 길은리 775,,,2025-06-24
진도군,지산오리농장,육용오리,,,전라남도 진도군 지산면 지산로 1308,,,2025-06-24
진도군,창포오리농장,육용오리,,,전라남도 진도군 의신면 창포리 746-1,,,2025-06-24
진도군,최  ○,육계,,37000.0,전라남도 진도군 군내면 무조길 31,,,2021-02-02
진도군,포서오리농장,육용오리,,,전라남도 진도군 진도읍 포산리 1181-6,,,2025-06-24
진도군,행복오리농장,육용오리,,,전라남도 진도군 의신면 논수동길 70,,,2025-06-24
진도군,형욱이네 농장,육계,,,전라남도 진도군 의신면 만길리 750-5,,,2025-06-24
