시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
해남군,갈*리 닭 농장,육계,,60000.0,전라남도 해남군 문내면 석교리,,,2023-07-01
해남군,거*농장,육계,,87000.0,전라남도 해남군 산이면 상공리,,,2023-07-01
해남군,계*농장,육계,,45000.0,전라남도 해남군 산이면 진산리,,,2023-07-01
해남군,김*용농장,오리,,23000.0,전라남도 해남군 마산면 송석리,,,2023-07-01
해남군,남*미래창조농장,육계,,120000.0,전라남도 해남군 현산면 읍호리,,,2023-07-01
해남군,농*회사법인 ㈜*솔,종오리,,26000.0,전라남도 해남군 송지면 마봉리,,,2023-07-01
해남군,농*회사법인(유) 이*,육계,,135000.0,전라남도 해남군 마산면 송석리,,,2023-07-01
해남군,당*농장,육계,,75000.0,전라남도 해남군 화원면 월호리,,,2023-07-01
해남군,대*농장,육계,,28000.0,전라남도 해남군 삼산면 평활리,,,2023-07-01
해남군,도*농장,산란계,,29000.0,전라남도 해남군 산이면 금송리,,,2023-07-01
해남군,두*리축산,육계,,130000.0,전라남도 해남군 황산면 송호리,,,2023-07-01
해남군,명*산업농장,육계,,100000.0,전라남도 해남군 문내면 석교리,,,2023-07-01
해남군,무*개농장,육계,,42000.0,전라남도 해남군 황산면 일신리,,,2023-07-01
해남군,무*개농장 2,육계,,42000.0,전라남도 해남군 황산면 송호리,,,2023-07-01
해남군,반*농장,오리,,19000.0,전라남도 해남군 문내면 무고리,,,2023-07-01
해남군,산*농원,육계,,155000.0,전라남도 해남군 문내면 용암리,,,2023-07-01
해남군,섬*농장,육계,,70000.0,전라남도 해남군 황산면 원호리,,,2023-07-01
해남군,신*토종닭농장,육계,,500.0,전라남도 해남군 송지면 마봉리,,,2023-07-01
해남군,알*니양계,산란계,,1700.0,전라남도 해남군 해남읍 복평리,,,2023-07-01
해남군,예*향농원,육계,,49500.0,전라남도 해남군 문내면 석교리,,,2023-07-01
해남군,오*야농장,육계,,66000.0,전라남도 해남군 현산면 읍호리,,,2023-07-01
해남군,이*농장,오리,,15000.0,전라남도 해남군 북평면 동해리,,,2023-07-01
해남군,임*누엘농장,오리,,15000.0,전라남도 해남군 현산면 덕흥리,,,2023-07-01
해남군,임*누엘농장,육계,,85000.0,전라남도 해남군 화산면 관동리,,,2023-07-01
해남군,자*로하스,육계,,206000.0,전라남도 해남군 마산면 외호리,,,2023-07-01
해남군,찬*네 해피팜스,산란계,,2000.0,전라남도 해남군 마산면 외호리,,,2023-07-01
해남군,참*은농장,육계,,90000.0,전라남도 해남군 황산면 원호리,,,2023-07-01
해남군,천*인농장,오리,,8500.0,전라남도 해남군 옥천면 청신리,,,2023-07-01
해남군,해*농장,오리,,35000.0,전라남도 해남군 송지면 해원리,,,2023-07-01
해남군,해*농장,육계,,60000.0,전라남도 해남군 옥천면 신죽리,,,2023-07-01
해남군,해*축산,오리,,28000.0,전라남도 해남군 황산면 남리리,,,2023-07-01
해남군,현*축산,종계,,62000.0,전라남도 해남군 현산면 고현리,,,2023-07-01
해남군,형*농장,육계,,55000.0,전라남도 해남군 황산면 송호리,,,2023-07-01
해남군,형*종계농장,종계,,45000.0,전라남도 해남군 계곡면 잠두리,,,2023-07-01
해남군,호*농원,육계,,60000.0,전라남도 해남군 마산면 상등리,,,2023-07-01
