연번,사업장명칭,축종,사육두수,사업장소재지
1,탐진농장,오리,22000,전라남도 강진군 군동면 장산리 622
2,태시농장,오리,15000,전라남도 강진군 군동면 용소리 75-2
3,도성농장,오리,9000,전라남도 강진군 마량면 영동리 51-3
4,치영농장,오리,16600,전라남도 강진군 도암면 계라리 606-11
5,에덴농장,오리,18000,전라남도 강진군 도암면 석문리 1267-1
6,도암농장,오리,18500,전라남도 강진군 도암면 석문리 692-6
7,석문농장,오리,23000,전라남도 강진군 도암면 석문리 1265
8,호림농장,오리,43000,전라남도 강진군 도암면 석문리 692-7
9,대벌농장,오리,21000,전라남도 강진군 신전면 벌정리 1005-4
10,대덕농장,오리,10000,전라남도 강진군 신전면 벌정리 741
11,재원농장,오리,12000,전라남도 강진군 신전면 송천리 803-4
12,덕산농장,오리,34500,전라남도 강진군 신전면 송천리 659
13,오성농장,오리,18500,전라남도 강진군 신전면 송천리 625
14,김희성농장,오리,43500,전라남도 강진군 신전면 송천리 633-2
15,양명자연농장,오리,21600,전라남도 강진군 신전면 영관리 183-12
16,블루힐농장,오리,13000,전라남도 강진군 신전면 벌정리 741-7
17,다산농장,오리,12000,전라남도 강진군 성전면 월남리 10-4
18,솔치농장,오리,8000,전라남도 강진군 성전면 명산리 616-23
19,부성축산,오리,41000,전라남도 강진군 성전면 금당리 493-10
20,부성축산,오리,43000,전라남도 강진군 성전면 금당리 482
21,충훈농장,오리,11000,전라남도 강진군 작천면 내기리 384-7
22,샬롬오리농장,오리,23000,전라남도 강진군 작천면 갈동리 841
23,가나안농장,오리,12000,전라남도 강진군 작천면 갈동리 1087
24,리산영농조합법인,오리,17500,전라남도 강진군 작천면 갈동리 391-1
25,대산농장,닭,50000,전라남도 강진군 강진읍 춘전리 666-1
26,군동농장,닭,25000,전라남도 강진군 군동면 호계리 1147-5
27,다복농장,닭,90000,전라남도 강진군 칠량면 단월리 986
28,명주농장,닭,60000,전라남도 강진군 칠량면 명주리 533-4
29,초원농장,닭,60000,전라남도 강진군 칠량면 삼흥리 791
30,정균농장,닭,3000,전라남도 강진군 칠량면 단월리 755-20
31,흥인농장,닭,95000,전라남도 강진군 칠량면 영동리 26-2
32,준태농장,닭,70000,전라남도 강진군 칠량면 삼흥리 783
33,칠량농장,닭,9000,전라남도 강진군 칠량면 단월리 274-3
34,행복농장,닭,50000,전라남도 강진군 칠량면 단월리 749-6
35,써니농장,닭,50000,전라남도 강진군 칠량면 영동리 26-1
36,영동마을농장,닭,60000,전라남도 강진군 칠량면 영동리 48
37,구곡농장,닭,70000,전라남도 강진군 대구면 구수리 1-1
38,구곡농장,닭,100000,전라남도 강진군 대구면 구수리 2
39,황금닭농장,닭,70000,전라남도 강진군 마량면 영동리 8-5
40,두리농원,닭,160000,전라남도 강진군 도암면 계라리 546-16
41,장원농장,닭,85000,전라남도 강진군 도암면 덕년리 74-8
42,인성농장,닭,60000,전라남도 강진군 도암면 덕년리 74-3
43,원주농장,닭,60000,전라남도 강진군 도암면 덕년리 237-28
44,한일농장,닭,60000,전라남도 강진군 도암면 석문리 1257-1
45,삼성농장,닭,60000,전라남도 강진군 도암면 석문리 765-6
46,송천농장,닭,85000,전라남도 강진군 신전면 송천리 394
47,대진농장,닭,70000,전라남도 강진군 성전면 금당리 산 41-7
48,영풍농장,닭,60000,전라남도 강진군 성전면 영풍리 391-6
49,처인농장,닭,55000,전라남도 강진군 성전면 월평리 695
50,모작골농장,닭,80000,전라남도 강진군 작천면 갈동리 1300-1
51,종점농장,닭,50000,전라남도 강진군 옴천면 기좌리 117-1
