연번,사업장명칭,축종,사육두수,사업장소재지,데이터기준일
1,대원농장,닭,23500,전라남도 강진군 군동면 까치내로 221-17,2025-12-10
2,부성축산영농조합법인,오리,30000,전라남도 강진군 성전면 송계로 593-59,2025-12-10
3,종점농장,닭,30000,전라남도 강진군 옴천면 뱁새재로 202,2025-12-10
4,정균농장,닭,12000,전라남도 강진군 칠량면 칠관로 381-12,2025-12-10
5,구곡농장,닭,80000,전라남도 강진군 대구면 구곡길 180,2025-12-10
6,대산농장,닭,60000,전라남도 강진군 강진읍 지전로 178,2025-12-10
7,윤태농원,오리,10000,전라남도 강진군 군동면 금천로 172-9,2025-12-10
8,행복농장,닭,13500,전라남도 강진군 칠량면 칠관로 359-27,2025-12-10
9,초원농장,닭,100000,전라남도 강진군 칠량면 삼흥길 121-53,2025-12-10
10,칠량농장,닭,7000,전라남도 강진군 칠량면 칠관로 405-38,2025-12-10
11,원주농장,닭,54000,전라남도 강진군 도암면 만년길 187-4,2025-12-10
12,태양농장,닭,86000,"전라남도 강진군 마량면 마량영동로 412-38, 412-42",2025-12-10
13,탐진농장,오리,25000,전라남도 강진군 군동면 군장로 488-26,2025-12-10
14,장원농장,닭,50000,전라남도 강진군 도암면 만년길 216,2025-12-10
15,영흥농장,닭,60000,전라남도 강진군 성전면 영흥길 67-45,2025-12-10
16,국화오리농장,오리,14000,전라남도 강진군 신전면 신전대월길 45-108,2025-12-10
17,대벌농장,오리,21120,전라남도 강진군 신전면 대벌길 103,2025-12-10
18,송천농장,닭,85000,전라남도 강진군 신전면 운주로 376,2025-12-10
19,명주농장,닭,50000,전라남도 강진군 칠량면 칠관로 504,2025-12-10
20,한일농장,닭,23000,전라남도 강진군 도암면 도암신리길 112-78,2025-12-10
21,태시농장,오리,16000,전라남도 강진군 군동면 석동길 67-58,2025-12-10
22,샬롬오리농장,오리,25000,전라남도 강진군 작천면 갈동리 841 외 5필지 ,2025-12-10
23,대덕농장,오리,10000,전라남도 강진군 신전면 백용운동길 49-125,2025-12-10
24,블루힐농장,오리,13000,"전라남도 강진군 신전면 백용운동길 49-135, 49-138",2025-12-10
25,덕산농장,오리,30000,"전라남도 강진군 신전면 신전로 648-125, 외6필지",2025-12-10
26,처인농장,닭,60000,전라남도 강진군 성전면 해남로 2067,2025-12-10
27,효OO네농장,닭,10200,전라남도 강진군 성전면 월산윗길 32-12,2025-12-10
28,영수농장,닭,100,전라남도 강진군 군동면 금천로 373,2025-12-10
29,가나안농장,오리,24000,전라남도 강진군 작천면 갈동로 167-40,2025-12-10
30,호림농장,오리,50000,전라남도 강진군 도암면 도암신리길 112-90,2025-12-10
31,석문농장,오리,25000,전라남도 강진군 도암면 도암신리길 84-120,2025-12-10
32,치영농장,오리,20000,전라남도 강진군 도암면 해강로 724-63,2025-12-10
33,오성농장,오리,12000,전라남도 강진군 신전면 신전대월길 45-118,2025-12-10
34,두리농원,닭,150000,전라남도 강진군 도암면 백도로 2159-40,2025-12-10
35,에덴농장,오리,20000,전라남도 강진군 도암면 도암신리길 84-81,2025-12-10
36,흥인농장,닭,40000,전라남도 강진군 칠량면 삼흥길 121-404,2025-12-10
37,준태농장,닭,30000,전라남도 강진군 칠량면 삼흥길 121-129,2025-12-10
38,다산농장,오리,11000,전라남도 강진군 성전면 예향로 771-62,2025-12-10
39,인성농장,닭,62000,전라남도 강진군 도암면 만년길 216,2025-12-10
40,도성농장,오리,7200,"전라남도 강진군 마량면 영동리 51-5, 산83-6",2025-12-10
41,김OO 농장,오리,100000,전라남도 강진군 신전면 송천리 633-2  ,2025-12-10
42,최강농장,오리,14500,전라남도 강진군 작천면 피토골길 8-16,2025-12-10
43,구곡농장,닭,120000,전라남도 강진군 대구면 구곡길 196,2025-12-10
44,삼성농장,산란계,152832,전라남도 강진군 도암면 월하2길 90,2025-12-10
45,써니농장,닭,40000,전라남도 강진군 칠량면 삼흥길 121-342,2025-12-10
46,대진농장,닭,70000,전라남도 강진군 성전면 금당리 산41-7,2025-12-10
47,부성축산영농조합법인,오리,50550,전라남도 강진군 성전면 송계로 593-48,2025-12-10
48,모작골농장,닭,72000,전라남도 강진군 작천면 두원길 189,2025-12-10
49,솔치농장,오리,8000,전라남도 강진군 성전면 솔치로 380-37,2025-12-10
50,다복농장,닭,92000,"전라남도 강진군 칠량면 단월리 986, 986-1, 986-2, 974-1, 949",2025-12-10
