연번,농장명,축종,사육수,주소,데이터기준일자
1,냉천오리농장,오리,12100,전라남도 구례군 마산면 광평리 559번지 1호  ,2024-02-28
2,한례농장,육계,45000,전라남도 구례군 토지면 금내리 1143번지 11호  ,2024-02-28
3,봉서리농장,육계,40000,전라남도 구례군 구례읍 봉서리 895번지 6호  ,2024-02-28
4,서부농장,육계,30000,전라남도 구례군 구례읍 계산리 156번지 1호  ,2024-02-28
5,허상영농장,육계,93000,"전라남도 구례군 구례읍 계산리 21,22,22-1,33-1,34,34-1,35,35-3 ",2024-02-28
6,김동주농장,육계,30000,"전라남도 구례군 문척면 중산리 470번지 1호 (중산리 470-3,8,9, 475-1, 684-1, 685-1,2) ",2024-02-28
7,엄갑섭농장,육계,3000,전라남도 구례군 문척면 중산리 212번지  ,2024-02-28
8,벧엘농장,육계,30000,전라남도 구례군 토지면 금내리 1011번지 1호  ,2024-02-28
9,성지농장,육계,60000,전라남도 구례군 용방면 용강리 455번지  ,2024-02-28
10,드림농장,육계,53224,"전라남도 구례군 마산면 냉천리 743번지 10,11 ",2024-02-28
11,원동양계장,육계,28000,전라남도 구례군 산동면 계천리 274번지  ,2024-02-28
12,명품오리,오리,10000,전라남도 구례군 용방면 죽정리 212번지 1호  ,2024-02-28
13,김한규 농장,오리,12000,전라남도 구례군 용방면 신도리 1147번지 7호  ,2024-02-28
14,용방농장,오리,10000,전라남도 구례군 용방면 신도리 736번지 9호  ,2024-02-28
15,태성농장,육계,2000,"전라남도 구례군 토지면 오미리 527번지 2호 태성농장 526-1, 527-1, 527-7 ",2024-02-28
16,마산농장,오리,8500,전라남도 구례군 마산면 마산리 329번지 2호  ,2024-02-28
17,미운오리,오리,0,전라남도 구례군 용방면 용강리 413번지 8호  ,2024-02-28
18,주경농장,오리,15000,전라남도 구례군 용방면 신도리 1151번지 18호  ,2024-02-28
19,기현1농장,오리,40000,"전라남도 구례군 용방면 용정리 767-1,2 ",2024-02-28
20,강미경,오리,12500,전라남도 구례군 용방면 신도리 190번지 2호  ,2024-02-28
21,명품오리영농조합법인,오리,37000,전라남도 구례군 용방면 신도리 190번지 1호  ,2024-02-28
22,죽정리농장,오리,16000,"전라남도 구례군 용방면 신도리 1151-17, 1151-18 ",2024-02-28
23,오리천국,오리,50000,"전라남도 구례군 용방면 신도리 733번지 2호 , 733-3, 734-1, 734-2, 734-6, 734-7, 734-9~13 ",2024-02-28
24,둔기농원,육계,1000,전라남도 구례군 산동면 둔사리 892번지 4호  ,2024-02-28
25,주경오리농장,오리,10000,"전라남도 구례군 용방면 중방리 687번지 2호 ,3호 ",2024-02-28
26,죽정리 농장,오리,5000,전라남도 구례군 용방면 죽정리 158번지 1호  ,2024-02-28
27,유산농장,오리,10000,전라남도 구례군 광의면 수월리 896번지 1호  ,2024-02-28
28,문척오산 농장,오리,15000,"전라남도 구례군 문척면 월전리 948-1,-2,-3,-4,-7,-10 ",2024-02-28
29,두동농장,오리,20000,전라남도 구례군 용방면 용강리 420번지 23호  ,2024-02-28
30,광의농장,오리,26000,전라남도 구례군 용방면 용정리 765번지 9호  ,2024-02-28
31,용두농장,오리,11000,전라남도 구례군 토지면 용두리 517번지 8호  ,2024-02-28
32,신한농장,오리,20000,전라남도 구례군 용방면 신도리 195번지 8호  ,2024-02-28
33,제기암농장,육계,300,전라남도 구례군 간전면 효곡리 12번지 1호  ,2024-02-28
34,현수농장,오리,21000,"전라남도 구례군 용방면 신도리 736-6,7,8,9 ",2024-02-28
35,기남농장,오리,1000,전라남도 구례군 용방면 용정리 산 69번지 1호  ,2024-02-28
36,25시 농장,오리,20000,전라남도 구례군 용방면 신도리 1157번지 19호  ,2024-02-28
37,광의농장,오리,40000,전라남도 구례군 광의면 온당리 846번지 1호 846-1~3 ,2024-02-28
38,한송농장,육계,20000,전라남도 구례군 마산면 갑산리 141번지 14호  ,2024-02-28
39,진현농장,오리,10000,전라남도 구례군 용방면 신도리 1155번지 1호 외3필지 ,2024-02-28
40,자연오리,오리,9417,"전라남도 구례군 용방면 신도리 1137번지 5, 6 ",2024-02-28
41,자라바위농장,"종계/산란계, 오리",80,전라남도 구례군 마산면 마산리 147번지  ,2024-02-28
