연번,사업장명,주사육업종,사업장소재지,등록일자,데이터기준일자
11,○○농장,종계/산란계,전라남도 나주시 봉황면 덕림리,2004-11-23,2023-01-20
12,○○농장,종계/산란계,전라남도 나주시 왕곡면 신원리,2004-11-23,2023-01-20
13,○○농장,종계/산란계,전라남도 나주시 공산면 가송리,2004-12-17,2023-01-20
36,○○팜,오리,전라남도 나주시 노안면 오정리,2005-03-14,2023-01-20
40,○○농장,오리,전라남도 나주시 산포면 내기리,2005-03-23,2023-01-20
41,○○농장,오리,전라남도 나주시 산포면 화지리,2005-03-23,2023-01-20
43,○○농장,오리,전라남도 나주시 산포면 등수리,2005-03-23,2023-01-20
44,○○농장,종계/산란계,전라남도 나주시 공산면 복용리,2005-04-06,2023-01-20
45,○○농장,종계/산란계,전라남도 나주시 공산면 복용리,2005-04-06,2023-01-20
46,○○농장,종계/산란계,전라남도 나주시 공산면 복용리,2005-04-06,2023-01-20
47,○○농장,종계/산란계,전라남도 나주시 공산면 복용리,2005-04-06,2023-01-20
48,○○양계장,종계/산란계,전라남도 나주시 공산면 복용리,2005-04-06,2023-01-20
49,○○팜,종계/산란계,전라남도 나주시 공산면 복용리,2005-04-06,2023-01-20
51,○○농원,육계,전라남도 나주시 공산면 금곡리,2005-04-06,2023-01-20
60,○○축산,육계,전라남도 나주시 다시면 문동리,2005-04-15,2023-01-20
61,○○농장,육계,전라남도 나주시 다시면 문동리,2005-04-15,2023-01-20
64,○○농장,종계/산란계,전라남도 나주시 봉황면 신동리,2005-04-28,2023-01-20
65,○○농장,종계/산란계,전라남도 나주시 봉황면 욱곡리,2005-04-28,2023-01-20
69,○○농장,육계,전라남도 나주시 동강면 곡천리,2005-05-23,2023-01-20
71,○○농장,육계,전라남도 나주시 공산면 가송리,2005-05-23,2023-01-20
72,○○농장,육계,전라남도 나주시 동강면 곡천리,2005-05-23,2023-01-20
73,○○농장,육계,전라남도 나주시 동강면 곡천리,2005-05-23,2023-01-20
74,○○농원,종계/산란계,전라남도 나주시 봉황면 옥산리,2005-05-30,2023-01-20
75,○○농장,오리,전라남도 나주시 남평읍 우산리,2005-05-30,2023-01-20
76,○○농장,육계,전라남도 나주시 남평읍 상곡리,2005-05-30,2023-01-20
77,○○농장,육계,전라남도 나주시 공산면 동촌리,2005-05-30,2023-01-20
78,○○농장,육계,전라남도 나주시 남평읍 오계리,2005-05-30,2023-01-20
79,○○농장,종계/산란계,전라남도 나주시 봉황면 송현리,2005-05-30,2023-01-20
80,○○농장,육계,전라남도 나주시 남평읍 풍림리,2005-05-30,2023-01-20
83,○○○,오리,전라남도 나주시 남평읍 우산리,2005-05-30,2023-01-20
85,○○농장,육계,전라남도 나주시 봉황면 와우리,2005-05-30,2023-01-20
86,○○농장,육계,전라남도 나주시 남평읍 오계리,2005-05-30,2023-01-20
87,○○농장,종계/산란계,전라남도 나주시 봉황면 신동리,2005-05-30,2023-01-20
88,○○농장,육계,전라남도 나주시 반남면 덕산리,2005-05-30,2023-01-20
89,○○농장,육계,전라남도 나주시 반남면 덕산리,2005-05-30,2023-01-20
90,○○농장,오리,전라남도 나주시 공산면 상방리,2005-05-30,2023-01-20
91,○○농장,육계,전라남도 나주시 공산면 상방리,2005-05-30,2023-01-20
92,○○농장,오리,전라남도 나주시 공산면 남창리,2005-05-30,2023-01-20
93,○○농장,오리,전라남도 나주시 안창동,2005-05-30,2023-01-20
94,○○농장,오리,전라남도 나주시 공산면 남창리,2005-05-30,2023-01-20
96,○○농장,종계/산란계,전라남도 나주시 공산면 남창리,2005-05-30,2023-01-20
97,○○농장,오리,전라남도 나주시 공산면 남창리,2005-05-30,2023-01-20
98,○○농장,오리,전라남도 나주시 왕곡면 송죽리,2005-05-30,2023-01-20
100,○○농장,육계,전라남도 나주시 봉황면 옥산리,2005-05-30,2023-01-20
101,○○축산,육계,전라남도 나주시 공산면 복용리,2005-05-30,2023-01-20
103,○○농장,육계,전라남도 나주시 봉황면 옥산리,2005-06-07,2023-01-20
110,○○농장,육계,전라남도 나주시 반남면 흥덕리,2005-06-07,2023-01-20
119,○○농장,종계/산란계,전라남도 나주시 다도면 덕동리,2005-06-15,2023-01-20
124,○○농장,육계,전라남도 나주시 반남면 흥덕리,2005-06-15,2023-01-20
125,○○농장,오리,전라남도 나주시 반남면 흥덕리,2005-06-15,2023-01-20
133,○○농산,오리,전라남도 나주시 봉황면 황용리,2005-06-20,2023-01-20
144,○○농장,육계,전라남도 나주시 남평읍 교원리,2005-07-08,2023-01-20
152,○○농장,육계,전라남도 나주시 봉황면 용전리,2005-07-08,2023-01-20
179,○○농장,육계,전라남도 나주시 관정동 ,2005-07-18,2023-01-20
180,○○농장,육계,전라남도 나주시 봉황면 유곡리,2005-07-18,2023-01-20
181,○○농장,육계,전라남도 나주시 봉황면 유곡리,2005-07-18,2023-01-20
205,○○농장,오리,전라남도 나주시 봉황면 황용리,2005-07-21,2023-01-20
206,○○농장,육계,전라남도 나주시 봉황면 유곡리,2005-07-21,2023-01-20
220,○○농장,육계,전라남도 나주시 봉황면 유곡리,2005-07-21,2023-01-20
224,○○농장,육계,전라남도 나주시 문평면 국동리,2005-07-26,2023-01-20
238,○○농장,오리,전라남도 나주시 남평읍 교원리,2005-07-26,2023-01-20
246,○○농장,육계,전라남도 나주시 반남면 흥덕리,2005-08-03,2023-01-20
286,○○농장,육계,전라남도 나주시 동수동 93번,2005-08-08,2023-01-20
287,○○농장,오리,전라남도 나주시 오량동 ,2005-08-08,2023-01-20
306,○○농장,오리,전라남도 나주시 왕곡면 덕산리,2005-08-11,2023-01-20
307,○○농장,육계,전라남도 나주시 금천면 월산리,2005-08-11,2023-01-20
317,○○농장,오리,전라남도 나주시 왕곡면 신가리,2005-08-11,2023-01-20
318,○○농장,육계,전라남도 나주시 다시면 동곡리,2005-08-11,2023-01-20
319,○○농장,오리,전라남도 나주시 다시면 동곡리,2005-08-11,2023-01-20
323,○○농장,육계,전라남도 나주시 산포면 매성리,2005-08-11,2023-01-20
336,○○농장,육계,전라남도 나주시 금천면 죽촌리,2005-08-23,2023-01-20
337,○○농장,육계,전라남도 나주시 금천면 월산리,2005-08-23,2023-01-20
339,○○농장,오리,전라남도 나주시 왕곡면 장산리,2005-08-23,2023-01-20
352,○○농장,종계/산란계,전라남도 나주시 다시면 청정리,2005-08-30,2023-01-20
353,○○축산,오리,전라남도 나주시 다시면 문동리,2005-08-30,2023-01-20
354,행복한 토종닭,육계,전라남도 나주시 다시면 가운리,2005-08-30,2023-01-20
358,○○팜,종계/산란계,전라남도 나주시 석현동 ,2005-08-30,2023-01-20
363,○○농장,육계,전라남도 나주시 문평면 옥당리,2005-09-13,2023-01-20
366,○○농장,육계,전라남도 나주시 공산면 중포리,2005-09-13,2023-01-20
390,○○농장,오리,전라남도 나주시 반남면 대안리,2005-10-18,2023-01-20
394,○○농장,오리,전라남도 나주시 세지면 성산리,2005-11-01,2023-01-20
398,○○농장,육계,전라남도 나주시 세지면 성산리,2005-11-01,2023-01-20
402,○○농장,육계,전라남도 나주시 문평면 북동리,2005-11-01,2023-01-20
407,○○농장,육계,전라남도 나주시 평산동 ,2005-11-08,2023-01-20
408,○○농장,육계,전라남도 나주시 반남면 청송리,2005-11-08,2023-01-20
420,○○양계장,종계/산란계,전라남도 나주시 봉황면 장성리,2005-11-28,2023-01-20
430,○○농장,오리,전라남도 나주시 남평읍 평산리,2005-12-13,2023-01-20
432,○○농장,오리,전라남도 나주시 남평읍 풍림리,2005-12-13,2023-01-20
435,○○농장,오리,전라남도 나주시 반남면 흥덕리,2005-12-13,2023-01-20
