연번,농장명,축종, 사육수(규모) ,전화번호,주소,데이터기준일
1,김**,육계,"44,000",개인정보,전라남도 담양군 금성면,2023-09-25
2,농업회사법인(주)다**,산란계,"7,080",개인정보,전라남도 담양군 무정면,2023-09-25
3,외**원,육계,"90,000",개인정보,전라남도 담양군 창평면,2023-09-25
4,김**농장,육계,"70,000",개인정보,전라남도 담양군 용면,2023-09-25
5,청**농장,산란계,"1,800",개인정보,전라남도 담양군 월산면,2023-09-25
6,주식회사에**드,산란계,"95,500",개인정보,전라남도 담양군 담양읍,2023-09-25
7,서**장,육계,"150,000",개인정보,전라남도 담양군 무정면,2023-09-25
8,창**장,육계,"1,000",개인정보,전라남도 담양군 창평면,2023-09-25
9,인**장,육계,"40,000",개인정보,전라남도 담양군 창평면,2023-09-25
10,한**농장,육계,"64,700",개인정보,전라남도 담양군 창평면,2023-09-25
11,물**,육계,9,개인정보,전라남도 담양군 용면,2023-09-25
12,서**산,산란계,"14,000",개인정보,전라남도 담양군 봉산면,2023-09-25
13,청**,산란계,"26,000",개인정보,전라남도 담양군 월산면,2023-09-25
14,대**장,육계,"40,000",개인정보,전라남도 담양군 봉산면,2023-09-25
15,코**농장,육계,"65,000",개인정보,전라남도 담양군 창평면,2023-09-25
16,보**장,육계,"150,000",개인정보,전라남도 담양군 무정면,2023-09-25
17,가**장,육계,"34,000",개인정보,전라남도 담양군 수북면,2023-09-25
18,성**장,육계,500,개인정보,전라남도 담양군 대전면,2023-09-25
19,금**원,육계,"79,500",개인정보,전라남도 담양군 무정면,2023-09-25
20,공**농장,육계,"16,000",개인정보,전라남도 담양군 무정면,2023-09-25
21,초**장,육계,"62,900",개인정보,전라남도 담양군 수북면,2023-09-25
22,옻**장,육계,15,개인정보,전라남도 담양군 가사문학면,2023-09-25
23,애**장,육계,"90,000",개인정보,전라남도 담양군 봉산면,2023-09-25
24,신**산,육계,200,개인정보,전라남도 담양군 용면,2023-09-25
25,혜**장,오리,"10,500",개인정보,전라남도 담양군 무정면,2023-09-25
26,다**원,오리,"15,200",개인정보,전라남도 담양군 용면,2023-09-25
27,이**농장,오리,"12,000",개인정보,전라남도 담양군 무정면,2023-09-25
28,성**장,오리,"12,000",개인정보,전라남도 담양군 무정면,2023-09-25
29,유**농장,오리,"9,350",개인정보,전라남도 담양군 가사문학면,2023-09-25
30,월**황오리농장,오리,65,개인정보,전라남도 담양군 대덕면,2023-09-25
31,신**산,오리,150,개인정보,전라남도 담양군 용면,2023-09-25
32,양**농장,오리,"16,000",개인정보,전라남도 담양군 용면,2023-09-25
33,김**,오리,"20,100",개인정보,전라남도 담양군 담양읍,2023-09-25
34,다**장,오리,"19,000",개인정보,전라남도 담양군 대전면,2023-09-25
35,지**장,오리,"13,500",개인정보,전라남도 담양군 용면,2023-09-25
