농장명,소재지,상세소재지,축종,데이터 기준일자
배로농장,청계면,남성리,종계+산란계,2025-11-25
그레이트 팜,현경면,현화리,육계,2025-11-25
샤론농장,운남면,동암리,종계+산란계,2025-11-25
한림농장,청계면,도대리,종계+산란계,2025-11-25
유한농장,운남면,연리 1,육계,2025-11-25
장곡제일농장,삼향읍,지산리,오리,2025-11-25
금동농장,삼향읍,왕산리,육계,2025-11-25
저동농장,운남면,연리 7,육계,2025-11-25
장곡농장,삼향읍,지산리,육계,2025-11-25
가입농장,현경면,가입리,오리,2025-11-25
내화농장,운남면,연리 1,육계,2025-11-25
청룡양계 1농장,현경면,현화리,육계,2025-11-25
닭사랑농장,현경면,동산리,육계,2025-11-25
은수농장,현경면,현화리,오리,2025-11-25
청룡양계 2농장,현경면,현화리,육계,2025-11-25
내화삼계,운남면,성내리,육계,2025-11-25
으뜸농원,해제면,만풍리,육계,2025-11-25
추억농장,해제면,산길리,육계,2025-11-25
매봉농장,일로읍,지장리,육계,2025-11-25
그린영농조합법인,해제면,광산리,종계+산란계,2025-11-25
민가농장,몽탄면,명산리,육계,2025-11-25
서원농장,일로읍,복룡리,육계,2025-11-25
상일축사,일로읍,감돈리,육계,2025-11-25
계절축산,일로읍,지장리,육계,2025-11-25
태두농장,일로읍,지장리,오리,2025-11-25
일광농장,일로읍,광암리,육계,2025-11-25
구로농장,청계면,구로리,육계,2025-11-25
우일농장,청계면,강정리,종계+산란계,2025-11-25
연희농장,해제면,양매리,육계,2025-11-25
도원양계축산,망운면,피서리,육계,2025-11-25
서영축산,망운면,피서리,육계,2025-11-25
목화농장,망운면,송현리,육계,2025-11-25
성하농장,현경면,수양리,오리,2025-11-25
우리축산,현경면,송정리,육계,2025-11-25
오리골농장,현경면,외반리,오리,2025-11-25
신일농장,현경면,평산리,육계,2025-11-25
모노랜드,현경면,해운리,육계,2025-11-25
유정농장,무안읍,신학리,육계,2025-11-25
운남농장,운남면,하묘리,종계+산란계,2025-11-25
신촌농장,망운면,목동리,육계,2025-11-25
곰솔농장,망운면,송현리,육계,2025-11-25
희성농장,삼향읍,지산리,오리,2025-11-25
금성농장,청계면,서호리,육계,2025-11-25
전남양계장,청계면,청수리,육계,2025-11-25
바솜농장,무안읍,신학리,오리,2025-11-25
산울농원,현경면,양학리,오리,2025-11-25
수반농장,무안읍,매곡리,오리,2025-11-25
야곱농장,현경면,현화리,오리,2025-11-25
수암농장,현경면,가입리,육계,2025-11-25
학골농장,망운면,피서리,오리,2025-11-25
햇빛촌 농원,운남면,연리 1,육계,2025-11-25
대신농장,운남면,연리 2,육계,2025-11-25
덕진농장,운남면,동암리,육계,2025-11-25
현철농장,일로읍,광암리,육계,2025-11-25
서호농장,청계면,서호리,육계,2025-11-25
금성농장,일로읍,감돈리,오리,2025-11-25
오리농장,일로읍,지장리,오리,2025-11-25
죽산농장,일로읍,죽산리,오리,2025-11-25
은택농장,무안읍,교촌리,육계,2025-11-25
요안농장,일로읍,복룡리,오리,2025-11-25
홍서농장,일로읍,감돈리,육계,2025-11-25
송정오리농장,현경면,송정리,오리,2025-11-25
유진농장,현경면,오류리,오리,2025-11-25
에그린농장,삼향읍,왕산리,종계+산란계,2025-11-25
해운양계,현경면,해운리,육계,2025-11-25
하날농장,청계면,복길리,종계+산란계,2025-11-25
우정축산,운남면,하묘리,육계,2025-11-25
정식 농장,망운면,피서리,오리,2025-11-25
부부농장,일로읍,의산리,육계,2025-11-25
금성농장,일로읍,감돈리,오리,2025-11-25
가온농장,일로읍,감돈리,오리,2025-11-25
푸른농장,운남면,성내리,육계,2025-11-25
어민농장,청계면,복길리,육계,2025-11-25
국민축산,해제면,천장리,오리,2025-11-25
여울농장,청계면,사마리,육계,2025-11-25
으뜸농원,해제면,만풍리,육계,2025-11-25
은혜농장,일로읍,광암리,육용오리,2025-11-25
백련농장,청계면,복길리,육계,2025-11-25
남안농장,청계면,남안리,육계,2025-11-25
진은농장,일로읍,복룡리,오리,2025-11-25
샛별농장,삼향읍,맥포리,육계,2025-11-25
양또농장,망운면,피서리,오리,2025-11-25
도율농장,운남면,동암리,종계+산란계,2025-11-25
평산오리농장,현경면,평산리,오리,2025-11-25
무안농장,현경면,평산리,육계,2025-11-25
유화꼬꼬농장,무안읍,성암리,육계,2025-11-25
화설농장,무안읍,신학리,육계,2025-11-25
청금축산,일로읍,지장리,오리,2025-11-25
창구농장,운남면,동암리,육계,2025-11-25
다온농장,일로읍,지장리,육계,2025-11-25
쾌청농장,몽탄면,당호리,육계,2025-11-25
금성농장,일로읍,지장리,오리,2025-11-25
데메테르M,운남면,연리 1,종계+산란계,2025-11-25
수영농장,현경면,마산리,오리,2025-11-25
을연농장,운남면,연리 7,육계,2025-11-25
친환경양계영농조합법인,해제면,용학리,육계,2025-11-25
김정기 농장,해제면,용학리,육계,2025-11-25
현대부화장,삼향읍,용포리,닭(부화업),2025-11-25
제이엔티,청계면,청수리,닭(부화업),2025-11-25
은수네 부화장,현경면,현화리,오리(부화업),2025-11-25
삼신부화장,몽탄면,청용리,닭(부화업),2025-11-25
친환경양계영농조합법인,망운면,목동리,오리(부화업),2025-11-25
제이엔티,청계면,청수리,오리(부화업),2025-11-25
은수네농장,몽탄면,해운리,종오리업,2025-11-25
은수농장,현경면,해운리,종오리업,2025-11-25
은수네농장,현경면,해운리,종오리업,2025-11-25
도담농장,무안읍,매곡리,종계업,2025-11-25
평산농장,현경면,평산리,종오리업,2025-11-25
슬산오리농장,해제면,덕산리,종오리업,2025-11-25
무안농장,몽탄면,청용리,종오리업,2025-11-25
유진농장,현경면,오류리,종오리업,2025-11-25
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
