연번,농장명,축종,사육수수,상세주소
1,정○원,산란계,8000 ,전라남도 보성군 벌교읍 월정길 158-21
2,가○팜,산란계,850 ,전라남도 보성군 노동면 거석길 230-53
3,연○농장,산란계,22000 ,전라남도 보성군  노동면 대련로 333
4,자○농장1,산란계,4400 ,전라남도 보성군 노동면  대련로 333
5,자○농장2,산란계,60000 ,전라남도 보성군  미력면 용산길 168-30
6,바○팜,산란계,50000 ,전라남도 보성군 미력면 미력리 619-1
7,을○농장,산란계,24000 ,전라남도 보성군 미력면 송재로 939-73
8,누○팜,육계,142000 ,전라남도 보성군 보성읍 재궁해경길 81-22
9,박○경농장,육계,120000 ,전라남도 보성군 보성읍 쾌상리 1118-5
10,영○농장,육계,0 ,전라남도 보성군 벌교읍 남하로 392
11,일○농장,육계,150000 ,전라남도 보성군 벌교읍 영등길 230-27
12,봉○농장,육계,0 ,전라남도 보성군 회천면 충의로 792
13,하○농장 1,육계,93000 ,전라남도 보성군 복내면 한치길 314-57
14,하○농장 2,육계,64000 ,전라남도 보성군 복내면 한치길 314-57
15,송○수농장,종오리,3500 ,전라남도 보성군 웅치면 유봉길 176-34
16,대○농장,종오리,5300 ,전라남도 보성군 웅치면 대산길 118-46
17,제○디팜 보성농장,종오리,22000 ,전라남도 보성군 노동면 평동로 1388-187
18,낙○농장,종오리,0 ,전라남도 보성군 겸백면 수남리 833
19,용○농장,육용오리,8000 ,전라남도 보성군 벌교읍 칠동리 1248-6
20,조○농장,육용오리,0 ,전라남도 보성군 조성면 조성리 542-3
21,푸○메농장,육용오리,40000 ,전라남도 보성군 득량면 도촌길 234-281
22,즐○운농장,육용오리,0 ,전라남도 보성군 웅치면 해룡길 28-61
23,녹○골농장,육용오리,0 ,전라남도 보성군 보성읍 봉산리1424-2 
24,수농장,육용오리,0 ,전라남도 보성군 겸백면 수남리 837-1
25,장○추농장,육용오리,0 ,전라남도 보성군 득량면 비봉리 378
26,김○숙농장,육용오리,16000 ,전라남도 보성군 웅치면 일림로 790-32
27,혜○농장,육용오리,12500 ,전라남도 보성군 보성읍 쾌상리207-7
28,소○농장,육용오리,30000 ,전라남도 보성군 노동면 대련리 565-1
29,가○길농장,육용오리,10000 ,전라남도 보성군 노동면 갱맹골길 45-85
30,샘○오리농장,육용오리,0 ,전라남도 보성군 조성면 동촌리 273
31,제2죽○농장,육용오리,0 ,전라남도 보성군 득량면 마천길 214-14
32,죽○농장,육용오리,0 ,전라남도 보성군 득량면 정흥리 550-27
33,이○님농장,육용오리,0 ,전라남도 보성군 조성면 용전리 598-2
34,대○농장,육용오리,0 ,전라남도 보성군 조성면 조성수촌길 14
35,해○농장,육용오리,15500 ,전라남도 보성군 웅치면 대산리 71-5
36,제○농장,육용오리,0 ,전라남도 보성군 웅치면 대산길  118-42
