연번,농장명,축종,사육수수,상세주소
1,낙○축산,육계,700,"전라남도 보성군 조성면 은곡리 66-2, 67 "
2,봉○농장,육계,0,전라남도 보성군 회천면 화죽리 417
3,죽○농장,육용오리,14000,전라남도 보성군 득량면 정흥리 550
4,제2죽○농장,육용오리,5000,"전라남도 보성군 득량면 마천리 1081, 1086"
5,조○농장,육용오리,17000,전라남도 보성군 조성면 조성리 542
6,샘○오리농장,육용오리,22000,전라남도 보성군 조성면 동촌리 273
7,월○유기농장(정심원),산란계,6600,"전라남도 보성군 벌교읍 마동리 128-1, 130, 131, 131-2, 135"
8,이○님농장,육용오리,10500,"전라남도 보성군 조성면 용전리 598-2, 598-3, 598-4 "
9,영○농장,육계,7000,"전라남도 보성군 벌교읍 영등리 984-24, 984-31"
10,자○농장,산란계,116700,"전라남도 보성군 미력면 화방리 798, 798-2, 산224-2 "
11,즐○운 농장,육용오리,8000,전라남도 보성군 웅치면 대산리 79
12,대○농장,육용오리,10800,전라남도 보성군 조성면 동촌리 480-22 
13,제○농장,육용오리,13900,전라남도 보성군 웅치면 대산리 43 
14,김○숙농장,육용오리,17000,"전라남도 보성군 웅치면 용반리 709, 709-8 "
15,연○농장,산란계,17290,전라남도 보성군 노동면 대련리 307
16,혜○농장,육용오리,13600,"전라남도 보성군 보성읍 쾌상리 207-7, 207-8, 207-9 "
17,녹○골농장,육용오리,4380,"전라남도 보성군 보성읍 봉산리 1424-2, 1424-3 "
18,일○농장,육계,150100,전라남도 보성군 벌교읍 영등리 131
19,누○팜,육계,149700,전라남도 보성군 보성읍 옥암리 85
20,수농장,육용오리,8000,전라남도 보성군 겸백면 수남리 837
21,자○농장,산란계,4300,"전라남도 보성군 노동면 대련리 307, 307-2 "
22,가○팜,산란계,850,"전라남도 보성군 노동면 거석리 486, 487 "
23,하○농장1,육계,101700,전라남도 보성군 복내면 동교리 169
24,하○농장2,육계,64500,전라남도 보성군 복내면 동교리 174
25,구○수농장,산란계,0,"전라남도 보성군 미력면 미력리 627, 628 "
26,건○농장,육용오리,0,"전라남도 보성군 웅치면 대산리 71, 71-7, 71-8 "
27,가○길농장,육용오리,11000,전라남도 보성군 노동면 대련리 568
28,소○농장,육용오리,32000,전라남도 보성군 노동면 대련리 565
29,바○팜,산란계,50000,전라남도 보성군 미력면 미력리 619-1 
30,박○경농장,육계,113100,전라남도 보성군 보성읍 쾌상리 1118-5 
31,용○농장,육용오리,8000,전라남도 보성군 벌교읍 칠동리 1248-6 
32,푸○메농장,육용오리,40000,전라남도 보성군 득량면 도촌리 806
33,낙○농장,육용오리,20500,"전라남도 보성군 겸백면 수남리 833, 833-3 "
34,제○디팜 보성농장,종오리,12000,"전라남도 보성군 노동면 대련리 23, 24, 24-2, 25"
35,신○보성종축장,종계,18000,전라남도 보성군 보성읍 옥암리 709
36,송○수농장,종오리,4000,전라남도 보성군 웅치면 유산리 1082
37,제○농장,종오리,6300,전라남도 보성군 웅치면 대산리 48
38,부○농장,종오리,5000,"전라남도 보성군 득량면 비봉리 296, 297, 300, 378, 830-1"
