연번,농장명,축종,사육수수,상세주소
1,낙○축산,육계,4800,전라남도 보성군 조성면 은곡리 66-2 외 1필지
2,봉○농장,육계,92000,전라남도 보성군 회천면 화죽리 417-10 외 7필지 
3,죽○농장,육용오리,16000,전라남도 보성군 득량면 정흥리 550-26  
4,제2죽○농장,육용오리,6500,전라남도 보성군 득량면 마천리 1081 외 1필지
5,조○농장,육용오리,17000,전라남도 보성군 조성면 조성리 542-3  
6,샘○오리농장,육용오리,23000,전라남도 보성군 조성면 동촌리 273
7,월○유기농장(정심원),산란계,9000,전라남도 보성군 벌교읍 마동리 135-8 외 4필지
8,이○님농장,육용오리,9000,전라남도 보성군 조성면 용전리 598-2 외 2필지
9,영○농장,육계,68000,전라남도 보성군 벌교읍 영등리 984-24 외 1필지
10,자○농장,산란계,52000,전라남도 보성군 미력면 화방리 798-1 외 2필지 
11,즐○운 농장,육용오리,8000,전라남도 보성군 웅치면 대산리 79-3 외 3필지 
12,대○농장,육용오리,12000,전라남도 보성군 조성면 동촌리 480-22 
14,제○농장,육용오리,13500,전라남도 보성군 웅치면 대산리 43 
15,김○숙농장,육용오리,20000,전라남도 보성군 웅치면 용반리 709-7 외 1필지 
16,연○농장,산란계,18500,전라남도 보성군 노동면 대련리 307-1  
17,혜○농장,육용오리,13000,전라남도 보성군 보성읍 쾌상리 207-7 외 2필지
18,녹○골농장,육용오리,15000,전라남도 보성군 보성읍 봉산리 1424-2 외 1필지
19,일○농장,육계,160000,전라남도 보성군 벌교읍 영등리 131
20,누○팜,육계,150000,전라남도 보성군 보성읍 옥암리 85-1  
21,수○장,육용오리,12000,전라남도 보성군 겸백면 수남리 837-1  
22,자○농장,산란계,4200,전라남도 보성군 노동면 대련리 307-1 외 2필지
23,가○팜,산란계,500,전라남도 보성군 노동면 거석리 486 외 1필지
24,하○농장1,육계,105000,전라남도 보성군 복내면 동교리 169
25,하○농장2,육계,74000,전라남도 보성군 복내면 동교리 174-1
26,구○수농장,산란계,44200,전라남도 보성군 미력면 미력리 627 외 1필지
27,건○농장,육용오리,17000,전라남도 보성군 웅치면 대산리 71-5 외 2필지 
28,농업회사법인 주식회사 다○,종오리,19000,전라남도 보성군 노동면 대련리 565-1  
29,데○테르B,산란계,66300,전라남도 보성군 미력면 미력리 619-1 
30,박○경농장,육계,120000,전라남도 보성군 보성읍 쾌상리 1118-5 
31,제○농장,육용오리,8700,전라남도 보성군 벌교읍 칠동리 1248-6  
32,푸○메농장,육용오리,49000,전라남도 보성군 득량면 도촌리 806-1  
33,낙○농장,육용오리,22000,전라남도 보성군 겸백면 수남리 833 외 1필지
34,케○비농장,육용오리,8000,전라남도 보성군 웅치면 유산리 1082-6 외 2필지 
35,제○디팜 보성농장,종오리,17000,전라남도 보성군 노동면 대련리 24 외 3필지
36,주식회사 다○팜 농업회사,종오리,8380,전라남도 보성군 보성읍 옥암리 709 외 16필지
37,제○농장,종오리,8000,전라남도 보성군 웅치면 대산리 48-1
38,부○농장,종오리,6000,전라남도 보성군 득량면 비봉리 296 외 2필지
