사업장명칭,주사육업종,사업장소재지(지번),사육두수
다원농장,오리,영광군 영광읍 와룡리,10000
만년농장,오리,영광군 법성면 화천리,13000
성실오리농장,오리,영광군 묘량면 영양리,0
원흥농장,오리,영광군 대마면 원흥리,15000
천마농장,오리,영광군 백수읍 천마리,14071
천정농장,오리,영광군 백수읍 천정리,16000
해덕농장,오리,영광군 군남면 대덕리,20000
강운봉농장,육계,영광군 염산면 옥실리,30000
광대월농장,육계,영광군 군남면 설매리,1000
금성농장,육계,영광군 법성면 용덕리,140000
금자농장,육계,영광군 백수읍 천마리,32000
금호농장,육계,영광군 영광읍 입석리,150000
농업회사법인(주)부성,육계,영광군 군남면 남창리,15000
다담농장,육계,영광군 홍농읍 월암리,0
대신농장,육계,영광군 백수읍 천마리,80000
덕산농장,육계,영광군 군서면 덕산리,23000
덕호농장2,육계,영광군 영광읍 덕호리,0
두우리농장,육계,영광군 염산면 두우리,50
만곡양계,육계,영광군 군서면 만곡리,20000
문주농장,육계,영광군 대마면 원흥리,56000
반석농장,육계,영광군 홍농읍 월암리,100000
백삼프로농장,육계,영광군 군서면 만곡리,51000
백억농장,육계,영광군 군서면 보라리,50000
범진농장,육계,영광군 영광읍 덕호리,20000
법성포농장,육계,영광군 법성면 신장리,53000
보원농장,육계,영광군 군서면 만곡리,160000
봉구농장,육계,영광군 영광읍 양평리,46000
샬롬농장,육계,영광군 묘량면 운당리,100000
성산농장,육계,영광군 영광읍 남천리,100
성천농장,육계,영광군 염산면 옥실리,50000
소영농장,육계,영광군 군서면 만금리,90000
송림농장,육계,영광군 영광읍 송림리,85000
송암농장,육계,영광군 군남면 대덕리,0
송학농장,육계,영광군 군서면 송학리,70000
순남축산,육계,영광군 군서면 가사리,38000
승빈농원,육계,영광군 영광읍 입석리,60000
아름농장,육계,영광군 백수읍 장산리,140000
양성농장,육계,영광군 백수읍 양성리,35000
양성농장,육계,영광군 백수읍 양성리,30000
양평농장,육계,영광군 영광읍 양평리,200000
에덴농장,육계,영광군 백수읍 논산리,50
에덴농장,육계,영광군 홍농읍 가곡리,100000
에덴농장,육계,영광군 법성면 용성리,0
영광농장,육계,영광군 영광읍 송림리,30
영광베드로농장,육계,영광군 홍농읍 진덕리,15000
오송농장,육계,영광군 군서면 남계리,43000
와룡농장,육계,영광군 영광읍 와룡리,75000
원기농장,육계,영광군 묘량면 운당리,52000
월계농장,육계,영광군 법성면 월산리,80000
월성농장,육계,영광군 묘량면 덕흥리,25000
월암축산,육계,영광군 염산면 오동리,75000
유일농산,육계,영광군 백수읍 논산리,30000
이레농장,육계,영광군 군서면 송학리,95000
장재기농장,육계,영광군 영광읍 와룡리,30000
진농장,육계,영광군 염산면 옥실리,29000
창조농장,육계,영광군 묘량면 덕흥리,200000
채움농장,육계,영광군 홍농읍 월암리,93000
청솔농장,육계,영광군 군남면 설매리,35000
초원농장,육계,영광군 영광읍 양평리,130000
태균농장,육계,영광군 백수읍 논산리,60000
태원농장,육계,영광군 군서면 남계리,54000
한우리 그린농장,육계,영광군 군서면 마읍리,60000
현자농장,육계,영광군 영광읍 학정리,100000
혜은농장,육계,영광군 염산면 옥실리,95000
도원목장,종계/산란계,영광군 법성면 대덕리,1000
보배농장,종계/산란계,영광군 영광읍 와룡리,70000
신대농장,종계/산란계,영광군 영광읍 입석리,65000
어울림농장,종계/산란계,영광군 백수읍 길용리,12000
자유란,종계/산란계,영광군 묘량면 영양리,500
장군농장,종계/산란계,영광군 법성면 용성리,30
진학농장,종계/산란계,영광군 군남면 용암리,500
한아름농장,종계/산란계,영광군 군서면 만곡리,500
농업회사법인 물무산 행복숲 주식회사,타조,영광군 묘량면 덕흥리,29
