사업장명칭,주사육업종,사업장 소재지,사육두수
성실오리농장,육용오리,묘량면 묘량로 141,48000
천마농장,육용오리,백수읍 천마리 761-10,13500
천정농장,육용오리,백수읍 성지로8길 71-26,16000
원흥농장,육용오리,대마면 원흥리 805-1,16000
해덕농장,육용오리,군남면 대덕리 13,20500
농업회사법인(유)빛고을농장,육용종계,영광읍 와룡리 100,50000
형제농장,육용종계,영광읍 와룡리 101-4,34000
덕호농장,육용종계,영광읍 덕호로 271-84,33100
만금농장,육용종계,군서면 서금길 90,35000
농업회사법인브리딩팜(유),육용종계,홍농읍 신석리 156-5,28000
옥당농장,육용종계,법성면 용성월산로 82-54,80000
백신농장,육용종계,영광읍 우평리 754-9,63000
보배농장,산란계,영광읍 와룡로7길 48,100660
신대농장,산란계,영광읍 입석길 175,65000
어울림농장,산란계,백수읍 길용길2길 49-10,2500
자유란,산란계,묘량면 영양리 423-3,1400
영광농장,산란중추,영광읍 학정리 951-2,80000
영광종계장,토종닭,군서면 만금리 80-1,55000
최송농장,토종닭,군서면 남계리 21-14,40000
혜은농장,토종닭,염산면 옥실리 101,45000
양평농장,육계,영광읍 와룡로 321-33,142500
초원농장,육계,영광읍 양평리 631-3,130000
와룡농장,육계,영광읍 와룡로 434,75000
승빈농원,육계,영광읍 입석길 195-61,60000
금호농장,육계,영광읍 청보리로 166-54,86000
송림농장,육계,영광읍 송림리 763,77000
현자농장,육계,영광읍 함영로9길 35-10,140000
왕호농장,육계,영광읍 덕호로 271-112,240000
장재기농장,육계,영광읍 와룡리 1120-4,53000
유일농장,육계,백수읍 논산리 546-22,38000
태균농장,육계,백수읍 논산리 546-28,50000
양성농장,육계,백수읍 양성리 273-5,50000
아름농장,육계,백수읍 장산로 240-83,143000
대신농장,육계,백수읍 백수로 1095,84000
문주농장,육계,대마면 원흥리 43-5,95000
하늘네농장,육계,묘량면 덕송로 94-81,53000
원기농장,육계,묘량면 운당리 산22-4,66000
창조농장,육계,묘량면 덕흥리 505-15,124000
풍산그린양계,육계,묘량면 묘량로 612,42200
순남축산,육계,군서면 가사리 72,60000
태원농장,육계,군서면 남계리 398-13,80000
덕산농장,육계,군서면 덕산리 157,45000
한우리 그린농장,육계,군서면 군서로 192-128,58000
백삼프로농장,육계,군서면 서금길1길 54,66000
보원농장,육계,군서면 성지로 852-86,150000
소영농장,육계,군서면 만금리 3-14,90000
백억농장,육계,군서면 함영로7길 162,60000
정암균,육계,군서면 송학리 656-2,55000
오송농장,육계,군서면 남계리 129,51000
이레농장,육계,군서면 관산로 195-30,100000
송암농장,육계,군남면 광암로 21,65000
농업회사법인주식회사형경,육계,군남면 남창리 956,307000
월암축산영농조합법인,육계,염산면 오동길 1길 176-206,73000
진농장,육계,염산면 향화로 332-37,29000
성천농장,육계,염산면 옥실리 228,42000
강운봉농장,육계,염산면 옥실리 51,40000
금성농장,육계,법성면 용덕로2길 58-69,147000
월계농장,육계,법성면 월산리 878,74000
에덴농장,육계,법성면 용성월산로 82-22,175000
영광베드로농장,육계,홍농읍 진덕리 222-23,75000
반석농장,육계,홍농읍 월암리 526-1,83000
에덴농장,육계,홍농읍 가곡리 46-2,77000
채움농장,육계,홍농읍 월암리 1189-2,90000
다담농장,육계,홍농읍 월암리 1189-8,78000
두레농장,육계,홍농읍 가곡리 654-1,98000
새희망농장,육계,법성면 용성월산로 328-15,120000
빛고을농장,육계,법성면 덕흥리 337-5,140000
