사업장명칭,사업장소재지(지번),주사육업종,사육두수,데이터기준일자
미암메추리농장,전라남도 영암군 미암면 채지리 ,메추리,150000,2025-05-01
태양농장,전라남도 영암군 삼호읍 동호리,산란계,64904,2025-05-01
참살이농장,전라남도 영암군 서호면 태백리,산란계,92000,2025-05-01
주안농장,전라남도 영암군 미암면 신한리,산란계,31320,2025-05-01
옥주농장,전라남도 영암군 삼호읍 난전리,산란계,36000,2025-05-01
또르래농장,전라남도 영암군 도포면 덕화리,산란계,25400,2025-05-01
다미농장,전라남도 영암군 시종면 신학리,산란계,26000,2025-05-01
농업회사법인 조인팜스㈜,전라남도 영암군 신북면 행정리,산란계,125400,2025-05-01
유산장농원,전라남도 영암군 미암면 채지리 ,오리,12000,2025-05-01
해종축산,전라남도 영암군 도포면 원항리 ,오리,15000,2025-05-01
범천농장,전라남도 영암군 도포면 영호리 ,오리,27000,2025-05-01
삼성농장,전라남도 영암군 군서면 도장리 ,오리,14000,2025-05-01
원앙골농장,전라남도 영암군 신북면 학동리 ,오리,28900,2025-05-01
허니농장,전라남도 영암군 신북면 월평리 ,오리,15500,2025-05-01
태평농장,전라남도 영암군 신북면 모산리 ,오리,18000,2025-05-01
낭주오리농장,전라남도 영암군 도포면 원항리 ,오리,15000,2025-05-01
희규축산,전라남도 영암군 군서면 도장리 ,오리,8000,2025-05-01
우리농장,전라남도 영암군 영암읍 송평리 ,오리,13500,2025-05-01
원광2농장,전라남도 영암군 신북면 월지리 ,오리,26130,2025-05-01
그린축산,전라남도 영암군 시종면 월롱리 ,오리,30000,2025-05-01
성진농장,전라남도 영암군 시종면 봉소리 ,오리,30000,2025-05-01
가나안 농장,전라남도 영암군 시종면 월롱리 ,오리,16000,2025-05-01
나영농장,전라남도 영암군 시종면 신흥리 ,오리,16807,2025-05-01
철진축산,전라남도 영암군 덕진면 금강리 ,오리,15000,2025-05-01
농업회사법인 주식회사 팜스,전라남도 영암군 덕진면 금강리 ,오리,6000,2025-05-01
일광농장,전라남도 영암군 신북면 월지리 ,오리,11000,2025-05-01
정미농장,전라남도 영암군 덕진면 노송리 ,오리,8100,2025-05-01
우송농장,전라남도 영암군 시종면 월롱리 ,오리,18000,2025-05-01
용현농장,전라남도 영암군 시종면 와우리 ,오리,18000,2025-05-01
겨레농장,전라남도 영암군 군서면 도장리 ,오리,25000,2025-05-01
새로나농장,전라남도 영암군 신북면 갈곡리 ,오리,40000,2025-05-01
희망농장,전라남도 영암군 도포면 원항리 ,오리,15000,2025-05-01
태광농장,전라남도 영암군 군서면 도장리 ,오리,20000,2025-05-01
코스모스농원,전라남도 영암군 학산면 묵동리 ,오리,10000,2025-05-01
우도농장,전라남도 영암군 덕진면 용산리 ,오리,35000,2025-05-01
오현농장,전라남도 영암군 신북면 월지리 ,오리,45000,2025-05-01
향월농장,전라남도 영암군 덕진면 장선리 ,오리,60000,2025-05-01
해랑농장,전라남도 영암군 신북면 모산리 ,오리,12000,2025-05-01
애경농장,전라남도 영암군 신북면 장산리 ,오리,18000,2025-05-01
건숙농장,전라남도 영암군 금정면 안노리 ,오리,17000,2025-05-01
알파덕,전라남도 영암군 신북면 양계리 ,오리,21000,2025-05-01
하은농장,전라남도 영암군 도포면 구학리 ,오리,25000,2025-05-01
진웅농장,전라남도 영암군 시종면 봉소리 ,오리,45565,2025-05-01
우주농장,전라남도 영암군 도포면 성산리 ,오리,30000,2025-05-01
태평농장,전라남도 영암군 시종면 신연리 ,오리,20000,2025-05-01
신흥농장,전라남도 영암군 시종면 신흥리 ,오리,15000,2025-05-01
희망축사,전라남도 영암군 시종면 신연리 ,오리,20000,2025-05-01
일광농장,전라남도 영암군 시종면 신연리 ,오리,35000,2025-05-01
하우리농장,전라남도 영암군 신북면 월지리 ,오리,38000,2025-05-01
성진농장,전라남도 영암군 신북면 행정리 ,오리,16000,2025-05-01
원광1농장,전라남도 영암군 신북면 월지리 ,오리,15000,2025-05-01
사랑농장,전라남도 영암군 도포면 구학리 ,오리,13900,2025-05-01
형암농장,전라남도 영암군 시종면 봉소리 ,오리,8000,2025-05-01
성현축산,전라남도 영암군 시종면 옥야리 ,오리,48000,2025-05-01
에덴농장,전라남도 영암군 시종면 신학리 ,오리,12000,2025-05-01
신연농장,전라남도 영암군 시종면 신연리 ,오리,10000,2025-05-01
선미농장,전라남도 영암군 덕진면 노송리 ,오리,13000,2025-05-01
오리천국,전라남도 영암군 시종면 신학리 ,오리,50000,2025-05-01
홍이농장,전라남도 영암군 신북면 월지리 ,오리,10000,2025-05-01
목림농장,전라남도 영암군 신북면 학동리 ,오리,17000,2025-05-01
월지농장,전라남도 영암군 신북면 월지리 ,오리,8500,2025-05-01
하정팜(farm),전라남도 영암군 시종면 신학리 ,오리,20000,2025-05-01
경균농장,전라남도 영암군 도포면 영호리 ,오리,25000,2025-05-01
성윤농장,전라남도 영암군 시종면 봉소리 ,오리,68900,2025-05-01
성환농장,전라남도 영암군 덕진면 노송리 ,오리,8000,2025-05-01
목원농장,전라남도 영암군 시종면 신학리 ,오리,18900,2025-05-01
선일농장,전라남도 영암군 덕진면 노송리 ,오리,14200,2025-05-01
영민농장,전라남도 영암군 영암읍 송평리 ,오리,8000,2025-05-01
연진농장,전라남도 영암군 신북면 학동리 ,오리,22000,2025-05-01
승준농장,전라남도 영암군 서호면 금강리 ,오리,14000,2025-05-01
하우리덕,전라남도 영암군 신북면 월지리 ,오리,30000,2025-05-01
주현농장,전라남도 영암군 덕진면 용산리 ,오리,15000,2025-05-01
학동농장,전라남도 영암군 신북면 학동리 ,오리,19300,2025-05-01
나주뜰오리,전라남도 영암군 신북면 월지리 ,오리,26000,2025-05-01
승승농장,전라남도 영암군 시종면 신학리 ,오리,9400,2025-05-01
영진농장,전라남도 영암군 신북면 월지리 ,오리,18000,2025-05-01
농업회사 법인 주식회사 은강,전라남도 영암군 군서면 양장리 ,오리,35000,2025-05-01
유피월롱농장,전라남도 영암군 시종면 월롱리 ,오리,23000,2025-05-01
상록농장,전라남도 영암군 도포면 성산리 ,오리,34000,2025-05-01
현수농장,전라남도 영암군 덕진면 노송리 ,오리,12000,2025-05-01
장수농장,전라남도 영암군 도포면 구학리 ,오리,34000,2025-05-01
덕진농장,전라남도 영암군 덕진면 장선리 ,오리,16000,2025-05-01
동산농장,전라남도 영암군 영암읍 망호리 ,오리,8000,2025-05-01
우리영농조합법인 농장,전라남도 영암군 시종면 신학리 ,오리,10000,2025-05-01
닭실털보농장,전라남도 영암군 신북면 유곡리 ,육계,55000,2025-05-01
장천양계장,전라남도 영암군 서호면 장천리 ,육계,70000,2025-05-01
민성양계장,전라남도 영암군 학산면 금계리 ,육계,55000,2025-05-01
진양계장,전라남도 영암군 군서면 양장리 ,육계,60000,2025-05-01
화산농장,전라남도 영암군 삼호읍 서창리 ,육계,41000,2025-05-01
지영농장,전라남도 영암군 시종면 신학리 ,육계,100000,2025-05-01
애니피아,전라남도 영암군 금정면 세류리 ,육계,45000,2025-05-01
부희축산,전라남도 영암군 학산면 묵동리 ,육계,90000,2025-05-01
이레농장,전라남도 영암군 시종면 와우리 ,육계,65000,2025-05-01
일움농장,전라남도 영암군 시종면 금지리 ,육계,67000,2025-05-01
남송농장,전라남도 영암군 금정면 남송리 ,육계,50000,2025-05-01
기를품은,전라남도 영암군 학산면 용산리 ,육계,120000,2025-05-01
박치완농장,전라남도 영암군 서호면 성재리 ,육계,50000,2025-05-01
귀봉농장,전라남도 영암군 서호면 성재리 ,육계,80000,2025-05-01
순광농장,전라남도 영암군 서호면 쌍풍리 ,육계,55020,2025-05-01
장구섬농장,전라남도 영암군 시종면 신학리 ,육계,140000,2025-05-01
김요한농장,전라남도 영암군 시종면 옥야리 ,육계,60000,2025-05-01
길록양계,전라남도 영암군 서호면 태백리 ,육계,57700,2025-05-01
성용농장,전라남도 영암군 서호면 소산리 ,육계,60020,2025-05-01
미담이네 농장1,전라남도 영암군 서호면 몽해리 ,육계,50000,2025-05-01
금강농장,전라남도 영암군 덕진면 금강리 ,육계,15000,2025-05-01
미담이네농장,전라남도 영암군 덕진면 장선리 ,육계,1650,2025-05-01
달농장,전라남도 영암군 도포면 원항리 ,육계,45000,2025-05-01
순화농장,전라남도 영암군 시종면 신학리 ,육계,70000,2025-05-01
달농장,전라남도 영암군 도포면 원항리 ,육계,85000,2025-05-01
코코농장 2,전라남도 영암군 시종면 신학리 ,육계,33000,2025-05-01
태흥농장,전라남도 영암군 신북면 월지리 ,육계,60000,2025-05-01
행복농장,전라남도 영암군 시종면 와우리 ,육계,25000,2025-05-01
우리농장,전라남도 영암군 도포면 구학리 ,육계,80000,2025-05-01
해맑은농장,전라남도 영암군 도포면 봉호리 ,육계,176224,2025-05-01
벧엘농장,전라남도 영암군 신북면 학동리 ,육계,90000,2025-05-01
낭주농장,전라남도 영암군 영암읍 송평리 ,육계,58000,2025-05-01
태성농장,전라남도 영암군 삼호읍 산호리 ,육계,500,2025-05-01
기포농장,전라남도 영암군 학산면 묵동리 ,육계,400,2025-05-01
벧엘농장,전라남도 영암군 시종면 월롱리 ,육계,150000,2025-05-01
평안농장,전라남도 영암군 삼호읍 삼포리 ,육계,150,2025-05-01
그린농장,전라남도 영암군 덕진면 노송리 ,육계,120000,2025-05-01
민우농장,전라남도 영암군 신북면 갈곡리 ,육계,70000,2025-05-01
형제농장,전라남도 영암군 도포면 구학리 ,육계,110000,2025-05-01
영신농장,전라남도 영암군 덕진면 노송리 ,육계,85000,2025-05-01
태산농장,전라남도 영암군 시종면 봉소리 ,육계,80000,2025-05-01
영신농장2,전라남도 영암군 덕진면 노송리 ,육계,70000,2025-05-01
민중농장,전라남도 영암군 시종면 봉소리 ,육계,27000,2025-05-01
햇살농장 태양광,전라남도 영암군 시종면 금지리 ,육계,100000,2025-05-01
수지농장,전라남도 영암군 시종면 만수리 ,육계,62000,2025-05-01
성실농장,전라남도 영암군 도포면 구학리 ,육계,160000,2025-05-01
든든농장,전라남도 영암군 덕진면 노송리 ,육계,76000,2025-05-01
태석농장,전라남도 영암군 영암읍 송평리 ,육계,70000,2025-05-01
코코농장 1,전라남도 영암군 시종면 신학리 ,육계,30000,2025-05-01
학산농장,전라남도 영암군 학산면 용산리 ,육계,60000,2025-05-01
형제농장,전라남도 영암군 시종면 신학리 ,육계,200000,2025-05-01
애니피아,전라남도 영암군 금정면 세류리 ,육계,95000,2025-05-01
삼성농장,전라남도 영암군 군서면 도장리 ,육계,14036,2025-05-01
유피갈곡농장,전라남도 영암군 신북면 갈곡리 ,육계,48000,2025-05-01
초계축산,전라남도 영암군 시종면 만수리 ,육계,60000,2025-05-01
화산농장,전라남도 영암군 삼호읍 서창리 ,육계,98000,2025-05-01
백호축산,전라남도 영암군 시종면 신학리 ,육계,30000,2025-05-01
주안농장,전라남도 영암군 시종면 신학리 ,육계,68000,2025-05-01
미암농장,전라남도 영암군 미암면 신포리 ,육계,10000,2025-05-01
월출농장,전라남도 영암군 시종면 신학리 ,육계,20000,2025-05-01
매일농장,전라남도 영암군 군서면 도장리 ,육계,185000,2025-05-01
신원농장,전라남도 영암군 덕진면 노송리 ,육계,150000,2025-05-01
승호농장,전라남도 영암군 시종면 옥야리 ,육계,100000,2025-05-01
성민농장,전라남도 영암군 신북면 학동리 ,육계,80000,2025-05-01
지명농장,전라남도 영암군 시종면 신학리 ,육계,69000,2025-05-01
금산농장,전라남도 영암군 시종면 신학리 ,육계,55000,2025-05-01
뿌리농장,전라남도 영암군 시종면 옥야리 ,육계,106000,2025-05-01
삼한농장,전라남도 영암군 신북면 월평리 ,육계,34000,2025-05-01
지훈농장,전라남도 영암군 시종면 신학리 ,육계,120000,2025-05-01
