번호,농장명,축종,사육수,지번주소,도로명주소
1,봉림농장,육계,85000,전라남도 장흥군 장평면 봉림리 17번지  ,
2,삼산양계장,육계,65000,전라남도 장흥군 장흥읍 삼산리 산 92번지 5호  ,전라남도 장흥군 장흥읍 기산외기길 11-127
3,민주농장,육계,70000,전라남도 장흥군 용산면 계산리 415번지 1호  ,전라남도 장흥군 용산면 계산율리길 79
4,,육계,40000,전라남도 장흥군 용산면 월송리 546번지  ,전라남도 장흥군 용산면 조선백자길 385-96
5,한일농장,육계,128232,"전라남도 장흥군 용산면 상금리 262번지 7호 , 262-18 ",전라남도 장흥군 용산면 접정남포로 248-4
6,,육계,44000,전라남도 장흥군 장동면 하산리 85번지 1호  ,전라남도 장흥군 장동면 흥성로 1230-41
7,한우리농장,오리,32000,"전라남도 장흥군 용산면 풍길리 581번지 8호 , 581-9, 589, 581-20, 582, 583, 584, 584-1, 585, 산248-1번지 ",
8,민성이슬마루오리농장,오리,22000,전라남도 장흥군 부산면 기동리 342번지 1호  ,
9,대성축산1농장,오리,15000,전라남도 장흥군 회진면 덕산리 2111번지 3호  ,
10,산들농장,오리,22000,"전라남도 장흥군 부산면 용반리 76번지 1호 , 76-2, 76-3, 76-4 ",
11,,육계,57000,전라남도 장흥군 관산읍 죽청리 269번지 4호  ,전라남도 장흥군 관산읍 죽청1길 47-39
12,수락양계장,육계,71000,전라남도 장흥군 안양면 수락리 50번지 7호  ,
13,사안농장,육계,45000,"전라남도 장흥군 장흥읍 사안리 104, 105-1, 106, 189-1, 190, 433-5, 433-7번지 ",
14,송은농장,오리,33000,전라남도 장흥군 용산면 상금리 88번지 1호  ,전라남도 장흥군 용산면 송전길 64
15,포곡농장,오리,31500,전라남도 장흥군 용산면 모산리 573번지 1호  ,전라남도 장흥군 용산면 모산포곡로 290
16,풍길 오리농장,오리,13000,전라남도 장흥군 용산면 풍길리 산 72번지  ,전라남도 장흥군 용산면 접정남포로 732
17,현이농장,오리,18400,전라남도 장흥군 장평면 등촌리 443번지  ,
18,부드리 오리농장,오리,15000,"전라남도 장흥군 장평면 양촌리 88-14,88-16,88-17,88-18,88-19,88-20,88-23,88-24,-25,-26,-174 ",
19,대성농장,오리,30000,전라남도 장흥군 부산면 호계리 172번지 외 4필지 ,전라남도 장흥군 부산면 흥성로 838-250 (외 4필지)
20,곰치농장,오리,17000,전라남도 장흥군 장평면 청용리 919번지 4호 외 1필지(919-3 번지) ,전라남도 장흥군 장평면 곰치로 1032-111
21,영진오리농장,오리,15000,전라남도 장흥군 장평면 청용리 919번지 5호  ,전라남도 장흥군 장평면 곰치로 1032-113
22,감나무재관광농원,육계,815,전라남도 장흥군 장동면 하산리 11번지  ,
23,믿음오리농장,오리,12000,전라남도 장흥군 장평면 기동리 712번지 1호  ,전라남도 장흥군 장평면 제산기동로 189
