축산업 사업장 명칭,주사육업종,사업장소재지
천금농장,돼지,전라남도 장흥군 용산면 풍길리 447번지 10호  
야베스 축산,돼지,전라남도 장흥군 관산읍 신동리 620번지  
대상농장,돼지,전라남도 장흥군 관산읍 죽청리 110번지 1호  
판호농장,돼지,"전라남도 장흥군 관산읍 죽청리 133번지 , 134번지 "
형제농장,돼지,"전라남도 장흥군 관산읍 하발리 880, 880-1, 880-2, 880-3, 881, 881-1, 883, 883-1, 964-1번지 "
오**농장,돼지,전라남도 장흥군 회진면 대리 441번지  
,돼지,전라남도 장흥군 관산읍 송촌리  
용천농장,돼지,전라남도 장흥군 부산면 지천리 230번지  
산호농장,돼지,전라남도 장흥군 장흥읍 행원리 1130번지 4호  
정남진축산,돼지,전라남도 장흥군 용산면 상금리 164번지 외 5필지 
야베스축산2농장,돼지,"전라남도 장흥군 용산면 상금리 219번지 4호 , 150-29, 219-3, 218번지 "
,돼지,전라남도 장흥군 유치면 대천리 20번지  
,돼지,전라남도 장흥군 관산읍 신동리 35번지  
진승농장,돼지,전라남도 장흥군 관산읍 외동리  
소산농장,돼지,전라남도 장흥군 관산읍 지정리 139번지 2호  
,돼지,전라남도 장흥군 대덕읍 가학리 590번지 4호  
,돼지,전라남도 장흥군 대덕읍 신월리 486번지 2호  
,돼지,전라남도 장흥군 대덕읍 잠두리 296번지  
,돼지,전라남도 장흥군 용산면 접정리 639번지 1호  
,돼지,전라남도 장흥군 안양면 신촌리 377번지  
,돼지,전라남도 장흥군 회진면 덕산리 795번지  
제궁영농조합법인,돼지,전라남도 장흥군 용산면 운주리 191번지 1호  
,돼지,전라남도 장흥군 안양면 기산리 184번지 1호  
,돼지,전라남도 장흥군 장동면 배산리 179번지  
건강축사,돼지,"전라남도 장흥군 관산읍 하발리 993번지 16호 ,993번지 "
도담농장,돼지,전라남도 장흥군 대덕읍 옹암리 340번지 3호  
운월농장,돼지,전라남도 장흥군 유치면 운월리 310번지  
흑돼지농장,돼지,전라남도 장흥군 장흥읍 축내리 189번지 1호  
,돼지,전라남도 장흥군 유치면 운월리 산 142번지 1호  
백**농장,돼지,전라남도 장흥군 장평면 등촌리 256번지  
석동농장,돼지,전라남도 장흥군 장흥읍 영전리 593번지 3호  
농업회사법인 퍼스트팜 주식회사,돼지,전라남도 장흥군 대덕읍 신리 89번지 12호  
대산사슴농장,사슴,전라남도 장흥군 장동면 용곡리 산 88번지  
만년농장,산양,전라남도 장흥군 장동면 만년리 128번지  
신흥농장,산양,전라남도 장흥군 장흥읍 연산리 411번지 1호  
하늘먹은흑염소농장,산양,전라남도 장흥군 유치면 반월리 385번지 1호 외 1필지(384번지) 
다산흑염소농장,산양,전라남도 장흥군 장평면 제산리 산 11번지  
(주)탐진흑염소,산양,전라남도 장흥군 용산면 풍길리 207번지 2호  
산골흑염소농장,산양,전라남도 장흥군 안양면 수락리 522번지  
장흥농장,산양,전라남도 장흥군 용산면 상금리 150번지 5호  
원섭농장,산양,전라남도 장흥군 부산면 유량리 220번지 15호  
성환목장,염소,전라남도 장흥군 장흥읍 덕제리 473번지  
선암산 흑염소농장,염소,전라남도 장흥군 장평면 복흥리 594번지 1호  
홍가네,염소,전라남도 장흥군 장평면 기동리 63번지 5호  
마**,염소,전라남도 장흥군 장흥읍 덕제리 638번지 12호  
