순번,농장명,축종,사육두수,주소
1,산*농원,육계,155000 ,전라남도 해남군 문내면 용암리
2,갈*리 닭 농장,육계,60000 ,전라남도 해남군 문내면 석교리
3,예*향농원,육계,49500 ,전라남도 해남군 문내면 석교리
4,해*농장,육계,60000 ,전라남도 해남군 옥천면 신죽리
5,호*농원,육계,60000 ,전라남도 해남군 마산면 상등리
6,형*농장,육계,55000 ,전라남도 해남군 황산면 송호리
7,계*농장,육계,45000 ,전라남도 해남군 산이면 진산리
8,거*농장,육계,87000 ,전라남도 해남군 산이면 상공리
9,두*리축산,육계,130000 ,전라남도 해남군 황산면 송호리
10,신*토종닭농장,육계,500 ,전라남도 해남군 송지면 마봉리
11,무*개농장,육계,42000 ,전라남도 해남군 황산면 일신리
12,섬*농장,육계,70000 ,전라남도 해남군 황산면 원호리
13,농*회사법인(유) 이*,육계,135000 ,전라남도 해남군 마산면 송석리
14,무*개농장 2,육계,42000 ,전라남도 해남군 황산면 송호리
15,당*농장,육계,75000 ,전라남도 해남군 화원면 월호리
16,임*누엘농장,육계,85000 ,전라남도 해남군 화산면 관동리
17,남*미래창조농장,육계,120000 ,전라남도 해남군 현산면 읍호리
18,대*농장,육계,28000 ,전라남도 해남군 삼산면 평활리
19,오*야농장,육계,66000 ,전라남도 해남군 현산면 읍호리
20,참*은농장,육계,90000 ,전라남도 해남군 황산면 원호리
21,자*로하스,육계,206000 ,전라남도 해남군 마산면 외호리
22,명*산업농장,육계,100000 ,전라남도 해남군 문내면 석교리
23,현*축산,종계,62000 ,전라남도 해남군 현산면 고현리
24,형*종계농장,종계,45000 ,전라남도 해남군 계곡면 잠두리
25,도*농장,산란계,29000 ,전라남도 해남군 산이면 금송리 
26,찬*네 해피팜스,산란계,2000 ,전라남도 해남군 마산면 외호리 
27,알*니양계,산란계,1700 ,전라남도 해남군 해남읍 복평리
28,임*누엘농장,오리,15000 ,전라남도 해남군 현산면 덕흥리
29,천*인농장,오리,8500 ,전라남도 해남군 옥천면 청신리
30,해*축산,오리,28000 ,전라남도 해남군 황산면 남리리
31,해*농장,오리,35000 ,전라남도 해남군 송지면 해원리
32,김*용농장,오리,23000 ,전라남도 해남군 마산면 송석리
33,이*농장,오리,15000 ,전라남도 해남군 북평면 동해리
34,반*농장,오리,19000 ,전라남도 해남군 문내면 무고리
35,농*회사법인 ㈜*솔,종오리,26000 ,전라남도 해남군 송지면 마봉리
