연번,농장명,축종,사육수,주소,데이터기준일자,비고
1,지리산황토오리농장,육용오리,35000,전라남도 구례군 광의면 방광리 897-4,2021-02-16,
2,김인숙 농장,육용오리,29000,전라남도 구례군 광의면 수월리 896-1,2021-02-16,
3,이가농장,육용오리,15000,전라남도 구례군 광의면 온당리 842-7,2021-02-16,
4,광의농장,육용오리,18000,전라남도 구례군 광의면 온당리 846-1,2021-02-16,
5,온동농장,육용오리,18000,전라남도 구례군 광의면 온당리 846-6,2021-02-16,
6,마산농장,육용오리,10000,전라남도 구례군 마산면 마산리 329-2,2021-02-16,
7,문척오산농장,육용오리,13000,전라남도 구례군 문척면 월전리 948-1,2021-02-16,
8,푸른농장,육용오리,18000,전라남도 구례군 용방면 신도리 1157-12,2021-02-16,
9,오리천국,육용오리,44000,전라남도 구례군 용방면 신도리 733-2,2021-02-16,
10,점임농장,육용오리,10000,전라남도 구례군 용방면 용강리 413-8,2021-02-16,
11,두동농장,육용오리,19000,전라남도 구례군 용방면 용강리 420-23,2021-02-16,
12,광의농장,육용오리,25000,전라남도 구례군 용방면 용정리 765-7,2021-02-16,
13,명인농장,육용오리,12000,전라남도 구례군 용방면 용정리 767-2,2021-02-16,
14,주경오리농장,육용오리,15000,전라남도 구례군 용방면 중방리 687-2,2021-02-16,
15,이평농장,육용오리,21000,전라남도 구례군 용방면 중방리 686-21,2021-02-16,
16,냉천오리농장,육용오리,13000,전라남도 구례군 마산면 광평리 559-1,2021-02-16,휴지기
17,자연오리,육용오리,11000,전라남도 구례군 용방면 신도리 1137-5,2021-02-16,휴지기
18,신한농장,육용오리,18000,전라남도 구례군 용방면 신도리 195-8,2021-02-16,휴지기
19,자연오리,육용오리,10000,전라남도 구례군 용방면 신도리 1144-7,2021-02-16,휴지기
20,형기농장,육용오리,10000,전라남도 구례군 용방면 신도리 1148-21,2021-02-16,휴지기
21,진현농장,육용오리,19600,전라남도 구례군 용방면 신도리 1155-1,2021-02-16,휴지기
22,죽정리농장,육용오리,10000,전라남도 구례군 용방면 신도리 1151-18,2021-02-16,휴지기
23,25시 농장,육용오리,15000,전라남도 구례군 용방면 신도리 1157-19,2021-02-16,휴지기
24,현수농장,육용오리,20000,전라남도 구례군 용방면 신도리 736-6,2021-02-16,휴지기
25,반석농장,육용오리,16000,전라남도 구례군 용방면 신도리 1144-16,2021-02-16,휴지기
26,허상영농장,육계,90000,전라남도 구례군 구례읍 계산리 33-1,2021-02-16,
27,성진농장,종계,27600,전라남도 구례군 구례읍 원방리 652,2021-02-16,
28,한송농장,육계,38400,전라남도 구례군 마산면 갑산리 141-14,2021-02-16,
29,드림농장,육계,91000,전라남도 구례군 마산면 냉천리 743-10,2021-02-16,
30,김동주농장,육계,62000,전라남도 구례군 문척면 중산리 470-1,2021-02-16,
31,원동양계장,육계,45500,전라남도 구례군 산동면 계천리 274,2021-02-16,
32,성지농장,육계,70000,전라남도 구례군 용방면 용강리 455,2021-02-16,
33,벧엘농장,육계,30000,전라남도 구례군 토지면 금내리 1011-1,2021-02-16,
