연번,농장명,축종,사육수(규모),전화번호,농장주소,데이터기준일
1,풀**장,오리," 15,000 ",개인정보, 가사문학면 구산리,2021-01-31
2,김**,육계," 50,000 ",개인정보, 금성면 봉황리,2021-01-31
3,주식회사 에**드,산란계," 121,000 ",개인정보, 담양읍 삼만리,2021-01-31
4,김**,오리," 18,000 ",개인정보, 담양읍 반룡리,2021-01-31
5,무**산,오리," 14,000 ",개인정보, 대덕면 비차리,2021-01-31
6,월****리농장,오리, 120 ,개인정보, 대덕면 입석리,2021-01-31
7,다**장,오리," 20,000 ",개인정보, 대전면 대치리,2021-01-31
8,금**원,육계," 70,000 ",개인정보, 무정면 평지리,2021-01-31
9,(주)다**,산란계," 10,000 ",개인정보, 무정면 영천리,2021-01-31
10,청**장,오리," 13,000 ",개인정보, 무정면 안평리,2021-01-31
11,이** 농장,오리," 14,000 ",개인정보, 무정면 성도리,2021-01-31
12,서**장,육계," 100,000 ",개인정보, 무정면 정석리,2021-01-31
13,공**농장,육계," 3,000 ",개인정보, 무정면 오봉리,2021-01-31
14,보**장,육계," 80,000 ",개인정보, 무정면 정석리,2021-01-31
15,혜**장,오리," 10,000 ",개인정보, 무정면 봉안리,2021-01-31
16,김**농장,육계," 1,200 ",개인정보, 무정면 동산리,2021-01-31
17,성**장,오리," 7,716 ",개인정보, 무정면 성도리,2021-01-31
18,김**,육계," 15,000 ",개인정보, 봉산면 대추리,2021-01-31
19,애**장,육계," 70,000 ",개인정보, 봉산면 대추리,2021-01-31
20,대**장,육계," 12,000 ",개인정보, 봉산면 대추리,2021-01-31
21,서**산,산란계," 15,000 ",개인정보, 봉산면 기곡리,2021-01-31
22,초**장,육계," 54,000 ",개인정보, 수북면 두정리,2021-01-31
23,유**산,오리," 3,000 ",개인정보, 수북면 두정리,2021-01-31
24,가**장,육계," 34,000 ",개인정보, 수북면 풍수리,2021-01-31
25,김**농장,육계," 90,000 ",개인정보, 용면 쌍태리,2021-01-31
26,다**원,오리," 20,000 ",개인정보, 용면 쌍태리,2021-01-31
27,지**장,오리," 12,000 ",개인정보, 용면 쌍태리,2021-01-31
28,양** 농장,오리," 15,000 ",개인정보, 용면 쌍태리,2021-01-31
29,신**산,"닭,오리"," 2,000 ",개인정보, 용면 박곡길,2021-01-31
30,조**,산란계," 5,100 ",개인정보, 월산면 오성리,2021-01-31
31,청** 농장,산란계," 1,600 ",개인정보, 월산면 중월리,2021-01-31
32,청**,산란계," 35,332 ",개인정보, 월산면 월평리,2021-01-31
33,인**장,육계," 80,000 ",개인정보, 창평면 광덕리,2021-01-31
34,외**원,육계," 100,000 ",개인정보, 창평면 외동리,2021-01-31
35,코** 농장,육계," 50,000 ",개인정보, 창평면 유천리 ,2021-01-31
36,한**농장,육계," 40,000 ",개인정보, 창평면 외동리,2021-01-31
37,김**,오리," 7,000 ",개인정보, 창평면 유곡리,2021-01-31
38,창**장,육계," 2,000 ",개인정보, 창평면 장화리,2021-01-31
39,수**장,육계," 40,000 ",개인정보, 창평면 용수리,2021-01-31
