농장명,소재지,상세소재지,축종, 사육두수 
화설농장,무안읍,창포로,육계,26500
수반농장,무안읍,매곡리,오리,14000
은택농장,무안읍,교촌리,육계,300
신재농장,무안읍,몽탄로,오리,
황금농장,무안읍,함장로,닭,
유정농장,무안읍,황토길,육계,
바솜농장,무안읍,신학리,오리,
홍서농장,일로읍,국사로,육계,78200
부부농장,일로읍,인의로,육계,70400
승화농장,일로읍,삼일로,육계,50000
현철농장,일로읍,광암리,육계,42000
계절축산,일로읍,지장리,육계,41000
상일축사,일로읍,감돈리,육계,37000
가온농장,일로읍,감돈리,오리,20600
요안농장,일로읍,복룡리,오리,17800
재인농장,일로읍,복룡리,오리,16000
일광농장,일로읍,광암리,육계,14975
진성농장,일로읍,지장리,오리,14000
청금축산,일로읍,지장리,오리,14000
죽산농장,일로읍,죽산리,오리,13500
늘푸른농장,일로읍,지장리,오리,12000
금성농장,일로읍,감돈리,오리,11700
금성농장,일로읍,지장리,오리,11700
서원농장,일로읍,복룡리,오리,10500
오리농장,일로읍,문화로,오리,8000
금성농장,일로읍,감돈리,오리,7000
한국 농장,일로읍,일로로,오리,
매봉농장,일로읍,죽사동,육계,
매봉농장,일로읍,죽사동,육계,
매봉축산,일로읍,죽사동,육계,
매봉축산,일로읍,죽사동,육계,
영산강 청둥오리,일로읍,구정리,오리,
등림농장,일로읍,광암리,육계,
대풍농장,일로읍,감돈길,육계,
외갓집청정농장,일로읍,지장리,육계,
샛별농장,삼향읍,맥포리,육계,80000
장곡농장,삼향읍,장곡길,육계,28600
장곡제일농장,삼향읍,장곡길,오리,12500
짹별농장,삼향읍,금동길,육계,30
금동농장,삼향읍,왕산리,육계,
사계절농장,삼향읍,오룡산,육계,
희성농장,삼향읍,지산리,오리,
민가농장,몽탄면,명산리,육계,61000
아리농장,몽탄면,당호리,육계,38500
신흥농장,몽탄면,당호리,오리,
대창농장,몽탄면,오갈치,오리,
신흥농장,몽탄면,신흥동,오리,
금성농장,청계면,도대로,육계,78100
전남양계장,청계면,남청길,육계,77000
남안농장,청계면,상천길,육계,77000
구로농장,청계면,해안로,육계,45500
어민농장,청계면,복길로,육계,600
여울농장,청계면,사마리,육계,500
형제농장,청계면,복길로,육계,
청수농장,청계면,남청길,육계,
서호농장,청계면,서호리,육계,
청계농장,청계면,서호리,육계,
백련농장,청계면,복길리,육계,
수암농장,현경면,가입리,육계,175500
모노랜드,현경면,해운로,육계,94000
닭사랑농장,현경면,동산리,육계,80000
우리축산,현경면,현해로,육계,73000
청룡양계장,현경면,현화로,육계,72000
신일농장,현경면,지망길,육계,70200
해운양계,현경면,장군로,육계,57800
그레이트 팜,현경면,성자동,육계,50000
청룡양계장,현경면,현화로,육계,32000
궁뜰,현경면,함장로,육계,29500
산울농원,현경면,황토길,오리,22000
향남농장,현경면,마산리,오리,18800
오리골농장,현경면,현해로,오리,18700
성하농장,현경면,팔방길,오리,16300
송정오리농장,현경면,송정리,오리,14400
야곱농장,현경면,장군로,오리,12000
평산오리농장,현경면,평산리,오리,8800
유진농장,현경면,오류리,오리,6500
은수농장,현경면,해운리,오리,3996
은수네농장,현경면,해운리,오리,2759
상훈농장,현경면,장군로,오리,
우카축산유통,현경면,함장로,오리,
가입농장,현경면,가입리,오리,
은수농장,현경면,현화리,오리,
현경농장,현경면,양학리,육계,
이오순농장,현경면,장군로,육계,
곰솔농장,망운면,송현리,육계,78500
목화농장,망운면,운해로,육계,76000
서영축산,망운면,운해로,육계,62500
신촌농장,망운면,신촌길,육계,35000
도원양계축산,망운면,피서길,육계,33000
수월농장,망운면,피서리,오리,28000
학골농장,망운면,피서리,오리,
윤주농장,망운면,조산길,오리,
연희농장,해제면,배나무,육계,87000
으뜸농원,해제면,만송로,육계,58800
으뜸농원,해제면,만송로,육계,58800
국민축산,해제면,해제지,오리,30400
귀자농장,해제면,덕산리,오리,28000
바램 농장,해제면,양매리,육계,
추억농장,해제면,산길리,육계,
저동농장,운남면,연리,육계,90000
대신농장,운남면,양금로,육계,77000
내화농장,운남면,내화길,육계,73800
덕진농장,운남면,영해로,육계,71800
내화삼계,운남면,운해로,육계,65500
우정축산,운남면,하묘리,육계,61000
유한농장,운남면,연리,육계,
햇빛촌 농원,운남면,신월로,육계,
푸른농장,운남면,원성내,육계,
창구농장,운남면,동암리,육계,
