시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
고창군,강현농장,오리,,20000.0,전라북도 고창군 아산면 성산리 1335번지 1호,,,2024-02-06
고창군,건흥농장,종계,,27500.0,전라북도 고창군 고창읍 신월리 30번지 7호,,,2024-02-06
고창군,고수농장,오리,,20000.0,전라북도 고창군 고수면 인성리 21번지 17호,,,2024-02-06
고창군,고수농장,산란계,,34000.0,전라북도 고창군 고수면 예지리 281번지 3호,,,2024-02-06
고창군,고창농원,산란계,,70000.0,전라북도 고창군 신림면 법지리 429번지 6호,,,2024-02-06
고창군,고창농장,육계,,75000.0,전라북도 고창군 대산면 춘산리 866번지 3호,,,2024-02-06
고창군,공음농장,종계,,40000.0,전라북도 고창군 공음면 칠암리 370번지 4호,,,2024-02-06
고창군,광산농장,산란계,,32000.0,전라북도 고창군 고수면 장두리 547번지 6호,,,2024-02-06
고창군,광주현대농장,육계,,45000.0,전라북도 고창군 흥덕면 송암리 686번지 2호,,,2024-02-06
고창군,괴치양계장,육계,,75000.0,전라북도 고창군 성송면 괴치리 1011번지,,,2024-02-06
고창군,구동양계장,육계,,55000.0,전라북도 고창군 성내면 신성리 98-50,,,2024-02-06
고창군,그린농장,육계,,80000.0,전라북도 고창군 흥덕면 오호리 195번지 2호,,,2024-02-06
고창군,길원농장,메추리,,100000.0,전라북도 고창군 아산면 반암리 826번지 2호,,,2024-02-06
고창군,김병불농장,오리,,15000.0,전라북도 고창군 아산면 학전리 1028번지,,,2024-02-06
고창군,나사로 농장 Ⅱ,육계,,100000.0,전라북도 고창군 아산면 성산리 1315번지 2호,,,2024-02-06
고창군,나주농장,육계,,160000.0,전라북도 고창군 고수면 인성리 15번지 3호,,,2024-02-06
고창군,남매농장,육계,,46000.0,전라북도 고창군 부안면 사창리 257번지 2호,,,2024-02-06
고창군,남산농장,산란계,,16000.0,전라북도 고창군 아산면 남산리 688번지,,,2024-02-06
고창군,농심농장,오리,,20000.0,전라북도 고창군 대산면 춘산리 1085번지,,,2024-02-06
고창군,농업회사법인 유한회사 금계농장,육계,,120000.0,전라북도 고창군 대산면 중산리 1808번지,,,2024-02-06
고창군,농업회사법인(주)햇빛농산,육계,,105000.0,전라북도 고창군 성송면 암치리 232번지 1호,,,2024-02-06
고창군,늘푸른양계장,육계,,80000.0,전라북도 고창군 무장면 교흥리 47번지 2호,,,2024-02-06
고창군,다운 농장,오리,,12000.0,전라북도 고창군 대산면 덕천리 1152번지,,,2024-02-06
고창군,다원농장,육계,,70000.0,전라북도 고창군 흥덕면 사포리 24번지 1호,,,2024-02-06
고창군,대림농장,육계,,110000.0,전라북도 고창군 성내면 옥제리 126번지,,,2024-02-06
고창군,대산농장,산란계,,50000.0,전라북도 고창군 대산면 율촌리 625-10,,,2024-02-06
고창군,대산농장,오리,,20000.0,전라북도 고창군 부안면 운양리 717번지,,,2024-02-06
고창군,대성 농장,오리,,11600.0,전라북도 고창군 고수면 인성리 714번지,,,2024-02-06
고창군,대성농장,종계,,24000.0,전라북도 고창군 무장면 신촌리 19번지,,,2024-02-06
고창군,대흥농장,육계,,90000.0,전라북도 고창군 성내면 대흥리 산 5번지 27호,,,2024-02-06
고창군,대흥농장,오리,,18000.0,전라북도 고창군 무장면 옥산리 181번지 13호,,,2024-02-06
고창군,덕림농장,오리,,22000.0,전라북도 고창군 무장면 목우리 1150번지,,,2024-02-06
고창군,덕암농장,산란계,,48000.0,전라북도 고창군 공음면 덕암리 1161번지,,,2024-02-06
고창군,덕암농장,오리,,20000.0,전라북도 고창군 고창읍 덕산리 690번지,,,2024-02-06
고창군,덕천농장,육계,,95000.0,전라북도 고창군 대산면 중산리 1618번지,,,2024-02-06
고창군,도널드농장,오리,,15000.0,전라북도 고창군 해리면 사반리 1241번지 1호,,,2024-02-06
고창군,동호농장,육계,,150000.0,전라북도 고창군 해리면 동호리 278번지 12호 외 13필지,,,2024-02-06
고창군,두리농장,육계,,220000.0,전라북도 고창군 무장면 덕림리 136번지 1호,,,2024-02-06
고창군,마리아 농장,산란계,,50000.0,전라북도 고창군 대산면 율촌리 625번지 19호,,,2024-02-06
고창군,매사농장,오리,,12000.0,전라북도 고창군 아산면 학전리 254번지,,,2024-02-06
고창군,명사십리 52,오리,,2100.0,전라북도 고창군 해리면 라성리 1233번지,,,2024-02-06
고창군,명사십리52,오리,,8300.0,전라북도 고창군 해리면 라성리 1308번지,,,2024-02-06
고창군,목우농장,오리,,60000.0,전라북도 고창군 무장면 목우리 1085번지 및 1088외 9필,,,2024-02-06
고창군,목원농장,육계,,40000.0,전라북도 고창군 고수면 인성리 513번지 2호,,,2024-02-06
고창군,미월농장,종계,,25000.0,전라북도 고창군 무장면 신촌리 750번지,,,2024-02-06
고창군,바른농장계란,산란계,,40000.0,전라북도 고창군 부안면 선운리 628번지,,,2024-02-06
고창군,백양농장,육계,,120000.0,전라북도 고창군 무장면 백양리 67번지 8호,,,2024-02-06
고창군,번창 농장,육계,,85000.0,전라북도 고창군 신림면 도림리 4번지,,,2024-02-06
고창군,벧엘농장,종계,,34000.0,전라북도 고창군 아산면 학전리 796번지 1호,,,2024-02-06
고창군,북산양계장,육계,,48000.0,전라북도 고창군 부안면 수동리 753번지,,,2024-02-06
고창군,사창 축산,오리,,10000.0,전라북도 고창군 부안면 사창리 503번지,,,2024-02-06
고창군,산들농장,종계,,55000.0,전라북도 고창군 무장면 옥산리 447번지,,,2024-02-06
고창군,산우 농장,육계,,74000.0,전라북도 고창군 대산면 해룡리 211번지,,,2024-02-06
고창군,상갑 양계장,산란계,,34000.0,전라북도 고창군 아산면 상갑리 212번지 1호,,,2024-02-06
고창군,상갑오늘란,산란계,,34000.0,전라북도 고창군 아산면 상갑리 212번지 1호,,,2024-02-06
고창군,상복 농장,육계,,32000.0,전라북도 고창군 아산면 중월리 255번지,,,2024-02-06
고창군,상성 농장,오리,,28000.0,전라북도 고창군 흥덕면 사천리 813번지,,,2024-02-06
고창군,서현농장,오리,,12000.0,전라북도 고창군 흥덕면 용반리 816번지 4호,,,2024-02-06
고창군,성경 농장,육계,,63000.0,전라북도 고창군 해리면 광승리 417번지 2호,,,2024-02-06
고창군,성남농장,육계,,60000.0,전라북도 고창군 대산면 성남리 291번지,,,2024-02-06
고창군,성산농장,산란계,,92200.0,전라북도 고창군 아산면 성산리 549번지 18호,,,2024-02-06
고창군,성산농장,육계,,86000.0,전라북도 고창군 아산면 구암리 419번지,,,2024-02-06
고창군,성송농장,산란중추,,70000.0,전라북도 고창군 성송면 향산리 594번지 1호,,,2024-02-06
고창군,성식농장,종계,,20000.0,전라북도 고창군 고창읍 율계리 320번지 1호,,,2024-02-06
고창군,성연농장,육계,,55000.0,전라북도 고창군 성내면 대흥리 305번지 1호,,,2024-02-06
고창군,성은농장,육계,,60000.0,전라북도 고창군 흥덕면 교운리 7번지 1호,,,2024-02-06
고창군,성은농장,육계,,60000.0,전라북도 고창군 아산면 성산리 376번지,,,2024-02-06
고창군,성호농장,육계,,95000.0,전라북도 고창군 무장면 만화리 360번지 5호,,,2024-02-06
고창군,세계농장,산란계,,60000.0,전라북도 고창군 부안면 사창리 266번지 1호,,,2024-02-06
고창군,소리개농장,오리,,10000.0,전라북도 고창군 해리면 동호리 135번지,,,2024-02-06
고창군,소반농장,종계,,24000.0,전라북도 고창군 공음면 선동리 1350번지,,,2024-02-06
고창군,소봉 농장,산란계,,35000.0,전라북도 고창군 무장면 신촌리 517번지 1호 520-2,,,2024-02-06
고창군,솔설별농장,육계,,85000.0,전라북도 고창군 부안면 검산리 581번지 3호,,,2024-02-06
고창군,송강농장,육계,,27000.0,전라북도 고창군 아산면 중월리 528번지,,,2024-02-06
고창군,송암 양계장,육계,,80000.0,전라북도 고창군 무장면 고라리 125번지 3호,,,2024-02-06
고창군,송화 농장,오리,,34000.0,전라북도 고창군 무장면 목우리 861번지 2호,,,2024-02-06
고창군,수앙양계장,육계,,100000.0,전라북도 고창군 부안면 수앙리 341번지,,,2024-02-06
고창군,수연농장,오리,,20000.0,전라북도 고창군 대산면 춘산리 1072번지,,,2024-02-06
고창군,승리농장,육계,,50000.0,전라북도 고창군 아산면 중월리 580번지 2호,,,2024-02-06
고창군,신림농장,산란계,,42000.0,전라북도 고창군 신림면 송용리 446번지 13호,,,2024-02-06
고창군,신원농장,육계,,100000.0,전라북도 고창군 공음면 건동리 503번지 1호,,,2024-02-06
고창군,신촌농장,종계,,15000.0,전라북도 고창군 무장면 신촌리 562번지 2호,,,2024-02-06
고창군,아름농장,육계,,90000.0,전라북도 고창군 해리면 사반리 1383번지,,,2024-02-06
고창군,아산농장,육계,,70000.0,전라북도 고창군 아산면 목동리 565번지 1호,,,2024-02-06
고창군,야곱농장,오리,,31000.0,전라북도 고창군 아산면 성산리 1333번지 3호,,,2024-02-06
고창군,에그몽,산란계,,57000.0,전라북도 고창군 고수면 인성리 528번지 1호,,,2024-02-06
고창군,에덴양계장,육계,,80000.0,전라북도 고창군 성내면 옥제리 75번지 7호,,,2024-02-06
고창군,엔학고래목장,오리,,10000.0,전라북도 고창군 고창읍 내동리 25번지,,,2024-02-06
고창군,엘림농장,오리,,12000.0,전라북도 고창군 흥덕면 오호리 227번지 6호,,,2024-02-06
고창군,영미농장,오리,,15000.0,전라북도 고창군 고수면 인성리 448번지 4호,,,2024-02-06
고창군,영윤농장,육계,,50000.0,전라북도 고창군 상하면 용대리 산 12번지 1호,,,2024-02-06
고창군,영해농장,육계,,190000.0,전라북도 고창군 해리면 사반리 940번지,,,2024-02-06
고창군,예지농장,오리,,20000.0,전라북도 고창군 아산면 학전리 1030번지,,,2024-02-06
고창군,오산양계장,육계,,150000.0,전라북도 고창군 고수면 장두리 596번지 1호,,,2024-02-06
고창군,오송농장,종계,,30000.0,전라북도 고창군 성송면 괴치리 472번지,,,2024-02-06
