축산업종류,사업장명칭,주사육업종,사업장소재지,사육두수,데이터기준일자
가축사육업,계상농장,오리,전라북도 부안군 행안면 대초리 875번지 1호  ,14000,2022-12-05
가축사육업,민재농장,오리,"전라북도 부안군 계화면 양산리 2452번지 7호 외3필지(2452-8,9, 2453-9) ",45000,2022-12-05
가축사육업,청솔농장,오리,전라북도 부안군 주산면 사산리 1204번지 3호 외 1필(1204-4) ,15000,2022-12-05
가축사육업,평화농장,육계,전라북도 부안군 보안면 남포리 472번지  ,58000,2022-12-05
가축사육업,유정농장,육계,전라북도 부안군 상서면 감교리 803번지  ,90000,2022-12-05
가축사육업,우슬재 황토촌,육계,전라북도 부안군 상서면 통정리 690번지  ,30000,2022-12-05
가축사육업,김을식양계장,육계,전라북도 부안군 줄포면 장동리 산 138번지 1호 외 2필지 ,35000,2022-12-05
가축사육업,동송농장,오리,전라북도 부안군 줄포면 장동리 575번지 3호 외 7필 ,12000,2022-12-05
가축사육업,난산육계농장,육계,전라북도 부안군 줄포면 난산리 714번지 6호  ,27500,2022-12-05
가축사육업,정인농장,오리,전라북도 부안군 줄포면 신리 747번지 외 6필지 ,56000,2022-12-05
가축사육업,노병옥농장,오리,전라북도 부안군 보안면 영전리 188번지 1호  ,12650,2022-12-05
가축사육업,신흥농장,육계,전라북도 부안군 부안읍 신흥리 산 82번지 1호  ,20000,2022-12-05
가축사육업,천애농장,오리,전라북도 부안군 계화면 양산리 2458번지 3호  ,10000,2022-12-05
가축사육업,명진농장,오리,전라북도 부안군 줄포면 장동리 189번지 3호  ,28000,2022-12-05
가축사육업,팜렛잇고,육계,전라북도 부안군 부안읍 내요리 194번지 1호 외 2필(191. 1943) ,100000,2022-12-05
가축사육업,대동농장,육계,"전라북도 부안군 줄포면 대동리 659번지 3호 2필지(659-7, -8) ",95000,2022-12-05
가축사육업,신원식농장,오리,전라북도 부안군 줄포면 파산리 248번지  ,6000,2022-12-05
가축사육업,석불산토종닭 농장,육계,전라북도 부안군 하서면 언독리 1077번지 13호  ,25000,2022-12-05
가축사육업,연정농장,육계,"전라북도 부안군 줄포면 장동리 41번지 16호 외 2필(51-35, 51-54) ",70000,2022-12-05
가축사육업,장수농장,육계,전라북도 부안군 줄포면 줄포리 40번지 30호 외 1필지(31-22) ,45000,2022-12-05
가축사육업,상운농장,육계,전라북도 부안군 보안면 월천리 830번지  ,60000,2022-12-05
가축사육업,윤봉길양계장,육계,전라북도 부안군 줄포면 신리 109번지  ,30000,2022-12-05
가축사육업,김인수농장,오리,전라북도 부안군 줄포면 우포리 496번지 1호  ,10028,2022-12-05
가축사육업,햇빛농장,육계,전라북도 부안군 줄포면 파산리 769번지 6호  ,46500,2022-12-05
가축사육업,줄포농장,오리,전라북도 부안군 줄포면 우포리 46번지  ,10000,2022-12-05
가축사육업,신금섭농장,오리,전라북도 부안군 줄포면 우포리 54번지  ,10000,2022-12-05
가축사육업,거령농장,육계,전라북도 부안군 백산면 하청리 529번지 2호  ,54000,2022-12-05
가축사육업,남포농장,육계,전라북도 부안군 보안면 남포리 468번지  ,75000,2022-12-05
가축사육업,줄포대성농장,육계,전라북도 부안군 줄포면 장동리 84번지 14호  ,80000,2022-12-05
가축사육업,해와달농장,오리,전라북도 부안군 줄포면 대동리 517번지 2호 외 3필 ,13000,2022-12-05
가축사육업,미운오리농장,오리,전라북도 부안군 줄포면 난산리 706번지 39호 외 1필(706-40) ,20000,2022-12-05
가축사육업,동촌 농장,육계,전라북도 부안군 하서면 청호리 657번지 1호  ,1000,2022-12-05
가축사육업,상운농장,육계,전라북도 부안군 보안면 월천리 830번지 외 9필 ,60000,2022-12-05
가축사육업,해바라기농장,오리,"전라북도 부안군 줄포면 줄포리 36번지 15호 외 2필지 34-1, 36-20) ",20000,2022-12-05
가축사육업,만해농장,육계,전라북도 부안군 보안면 남포리 597번지 1호  ,25000,2022-12-05
가축사육업,연중농장,오리,전라북도 부안군 줄포면 대동리 639번지 8호  ,10000,2022-12-05
가축사육업,천금오리농장,오리,전라북도 부안군 줄포면 파산리 483번지 3호  ,14000,2022-12-05
가축사육업,김종열농장,육계,전라북도 부안군 동진면 증산리 102번지 5호  ,5000,2022-12-05
