농장명,축종,사육규모,농장주소
신태인농장,육계,58000,전라북도 정읍시 신태인읍
팔팔농장,육계,75000,전라북도 정읍시 신태인읍 백산리 28
영춘농장,육계,45000,전라북도 정읍시 신태인읍 백산리 832-1
오복농장,육계,62000,전라북도 정읍시 신태인읍 백산리 832-5
내석농장,육용오리,8000,전라북도 정읍시 신태인읍 백산리 1359
엘림타조농장,타조,40,전라북도 정읍시 신태인읍 산전3길 3
마정농장,육계,100000,전라북도 정읍시 북면 마정리 1951
풀꽃농장,육계,58000,전라북도 정읍시 북면 마정리 448-3
용소골양계장,토종닭,45000,전라북도 정읍시 북면 복흥리 1162
행복한닭농장,토종닭,36000,전라북도 정읍시 북면 복흥리 411-8
구구농장,육계,50000,전라북도 정읍시 북면 복흥리 874
북면농장,토종닭,35000,전라북도 정읍시 북면 승부리 678
양계장농장,토종닭,47000,전라북도 정읍시 북면 태곡리 685-3
신흥양계장,삼계,42000,전라북도 정읍시 북면 태곡리 726-1
요동농장,종계,100000,전라북도 정읍시 북면
농업법인 풍성한유한회사,종계,50000,전라북도 정읍시 북면 태곡리 998-2
학동농장,삼계,50000,전라북도 정읍시 북면 한교리 1120
한교농장,토종닭,25000,전라북도 정읍시 북면 한교리 1175
한울축산,토종닭,52000,전라북도 정읍시 북면 한교리 492
순옥양계장,토종닭,25000,전라북도 정읍시 북면 한교리 570
북면양계,육계,60000,전라북도 정읍시 북면 한교리 64-29
재남농장,육용오리,8000,전라북도 정읍시 북면 마정리 451
신원농장,토종닭,70000,전라북도 정읍시 북면 마정리 1978-4
월천양계장,토종닭,30000,전라북도 정읍시 북면 마정리 480-1
재업농장,육계,86000,전라북도 정읍시 입암면 등천리 213-1
영성농장,육계,70000,전라북도 정읍시 입암면 신면리 468-11
연월양계장,토종닭,30000,전라북도 정읍시 입암면 연월리 100
전원농장,육계,70000,전라북도 정읍시 입암면 연월리 115
세연농장,육계,85000,전라북도 정읍시 입암면 연월리 767-6
원천농장,육계,70000,전라북도 정읍시 입암면 지선리 123-2
거래상인,토종닭,20000,전라북도 정읍시 입암면 하부리 749-1
해성오리,육용오리,35000,전라북도 정읍시 입암면 단곡리 1360-2
경승농장,육계,16000,전라북도 정읍시 입암면 등천리 892
입암농장,육계,13000,전라북도 정읍시 입암면 첨단과학로 30-24
신답농장,육용오리,10000,전라북도 정읍시 입암면 접지리 1188-2
두암농장,육용오리,10000,전라북도 정읍시 입암면 접지리 322-13
백조농장(1),육용오리,20000,전라북도 정읍시 입암면
