번호,농장명,축종,사육수,지번주소
1,덕암농장,오리,20000,고창읍 덕산리 690번지  
2,엔학고래목장,오리,10000,고창읍 내동리 25번지  
3,건흥농장,종계,27500,고창읍 신월리 30번지 7호  
4,성식농장,종계,20000,고창읍 율계리 320번지 1호  
5,태봉농장,육계,101000,고수면 예지리 461번지 18호  
6,오산양계장,육계,150000,고수면 장두리 596번지 1호  
7,나주농장,육계,160000,고수면 인성리 15번지 3호  
8,고수농장,산란계,34000,고수면 예지리 281번지 3호  
9,목원농장,육계,40000,고수면 인성리 513번지 2호  
10,광산농장,산란계,32000,고수면 장두리 547번지 6호  
11,형제농장,산란계,99000,고수면 남산리 593번지 8호  
12,대성 농장,오리,11600,고수면 인성리 714번지  
13,에그몽,산란계,57000,고수면 인성리 528번지 1호  
14,고수농장,오리,20000,고수면 인성리 21번지 17호  
15,영미농장,오리,15000,고수면 인성리 448번지 4호  
16,이현숙농장,오리,12700,고수면 봉산리 1415번지 1호  
17,형제농장,산란계,75000,고수면 남산리 439번지 9호  
18,장암농장,오리,14000,고수면 장두리 577번지 1호  
19,우주농장,육계,55000,고수면 인성리 16
20,진리농장,육계,210000,고수면 인성리 516번지 10호  
21,월계농장,종계,16000,고수면 장두리 592번지 21호 고창종난장 
22,나사로 농장 Ⅱ,육계,100000,아산면 성산리 1315번지 2호
23,상갑 양계장,산란계,34000,아산면 상갑리 212번지 1호  
24,승리농장,육계,50000,아산면 중월리 580번지 2호
25,강현농장,오리,20000,아산면 성산리 1335번지 1호  
26,야곱농장,오리,31000,아산면 성산리 1333번지 3호  
27,한빛농장,육계,60000,아산면 성산리 565번지 2호  
28,성산농장,육계,86000,아산면 구암리 419번지  
29,송강농장,육계,27000,아산면 중월리 528번지  
30,남산농장,산란계,16000,아산면 남산리 688번지  
31,성산농장,산란계,92200,아산면 성산리 549번지 18호  
32,성은농장,육계,60000,아산면 성산리 376번지  
33,상복 농장,육계,32000,아산면 중월리 255번지  
34,풍성 농장,육계,55000,아산면 중월리 580번지 1호  
35,매사농장,오리,12000,아산면 학전리 254번지  
36,최강오리장,오리,16500,아산면 학전리 1162번지  
37,유황농장,오리,13300,아산면 학전리 1157번지  
38,예지농장,오리,20000,아산면 학전리 1030번지
39,김병불농장,오리,15000,아산면 학전리 1028번지  
40,길원농장,메추리,100000,아산면 반암리 826번지 2호  
41,햇빛농장,오리,9000,아산면 남산리 360번지  
42,상갑오늘란,산란계,34000,아산면 상갑리 212번지 1호  
43,학전농장,오리,12000,아산면 학전리 1139번지  
44,아산농장,육계,70000,아산면 목동리 565번지 1호  
45,벧엘농장,종계,34000,아산면 학전리 796번지 1호  
46,성호농장,육계,95000,무장면 만화리 360번지 5호  
47,송암 양계장,육계,80000,무장면 고라리 125번지 3호
48,덕림농장,오리,22000,무장면 목우리 1150번지  
49,목우농장,오리,60000,무장면 목우리 1085번지 및 1088외 9필 
50,백양농장,육계,120000,무장면 백양리 67번지 8호  
51,두리농장,육계,220000,무장면 덕림리 136번지 1호  
52,송화 농장,오리,34000,무장면 목우리 861번지 2호  
53,유성농장,육계,79000,무장면 옥산리 1235번지 6호  
54,한울농장,육계,80000,무장면 옥산리 24
55,대흥농장,오리,18000,무장면 옥산리 181번지 13호  
56,늘푸른양계장,육계,80000,무장면 교흥리 47번지 2호  
57,소봉 농장,산란계,35000,무장면 신촌리 517번지 1호 520-2 
58,정현농장,종계,35000,무장면 신촌리 766번지 5호
59,대성농장,종계,24000,무장면 신촌리 19번지  
60,미월농장,종계,25000,무장면 신촌리 750번지  
61,산들농장,종계,55000,무장면 옥산리 447번지  
62,신촌농장,종계,15000,무장면 신촌리 562번지 2호  
63,신원농장,육계,100000,공음면 건동리 503번지 1호  
64,덕암농장,산란계,48000,공음면 덕암리 1161번지  
65,칠암 농장,육계,90000,공음면 칠암리 산 140번지  
66,조그린축산,육계,90000,공음면 장곡리 800번지 1호  
67,소반농장,종계,24000,공음면 선동리 1350번지  
68,공음농장,종계,40000,공음면 칠암리 370번지 4호  
69,영윤농장,육계,50000,상하면 용대리 산 12번지 1호  
70,해광농장,육계,65000,해리면 광승리 961번지 2호  
71,동호농장,육계,150000,해리면 동호리 278번지 12호 외 13필지 
72,소리개농장,오리,10000,해리면 동호리 135번지  
73,성경 농장,육계,63000,해리면 광승리 417번지 2호  
74,아름농장,육계,90000,해리면 사반리 1383번지  
75,영해농장,육계,190000,해리면 사반리 940번지  
76,도널드농장,오리,15000,해리면 사반리 1241번지 1호  
77,명사십리 52,오리,2100,해리면 라성리 1233번지  
78,명사십리52,오리,8300,해리면 라성리 1308번지  
79,후암축산,종오리,17000,해리면 왕촌리 1499번지  
80,성송농장,산란중추,70000,성송면 향산리 594번지 1호  
81,괴치양계장,육계,75000,성송면 괴치리 1011번지  
82,농업회사법인(주)햇빛농산,육계,105000,성송면 암치리 232번지 1호  
83,오송농장,종계,30000,성송면 괴치리 472번지  
84,대산농장,산란계,50000,대산면 율촌리 625-10
85,농심농장,오리,20000,대산면 춘산리 1085번지  
86,고창농장,육계,75000,대산면 춘산리 866번지 3호  
87,황놀부 농장,오리,22000,대산면 산정리 839번지 1호  
88,진흥농장,오리,30000,대산면 산정리 773번지  
89,성남농장,육계,60000,대산면 성남리 291번지  
90,산우 농장,육계,74000,대산면 해룡리 211번지  
91,덕천농장,육계,95000,대산면 중산리 1618번지  
92,수연농장,오리,20000,대산면 춘산리 1072번지  
93,마리아 농장,산란계,50000,대산면 율촌리 625번지 19호  
94,농업회사법인 유한회사 금계농장,육계,120000,대산면 중산리 1808번지
95,다운 농장,오리,12000,대산면 덕천리 1152번지  
96,성은농장,육계,60000,흥덕면 교운리 7번지 1호  
97,그린농장,육계,80000,흥덕면 오호리 195번지 2호  
98,주황양계장,육계,110000,흥덕면 사포리 71번지  
99,흥덕농장,육계,63000,흥덕면 치룡리 627번지 2호  
100,광주현대농장,육계,45000,흥덕면 송암리 686번지 2호  
101,엘림농장,오리,12000,흥덕면 오호리 227번지 6호  
102,다원농장,육계,70000,흥덕면 사포리 24번지 1호  
103,상성 농장,오리,28000,흥덕면 사천리 813번지  
104,서현농장,오리,12000,흥덕면 용반리 816번지 4호  
105,해맑음농장,오리,18000,흥덕면 사천리 1326번지 2호  
106,재열농장,오리,14000,흥덕면 신송리 354번지 2호  
107,정호 농장,육계,65000,흥덕면 후포리 10번지  
108,형제농장,오리,9000,흥덕면 용반리 775번지 11호
109,에덴양계장,육계,80000,성내면 옥제리 75번지 7호  
110,대흥농장,육계,90000,성내면 대흥리 산 5번지 27호  
111,대림농장,육계,110000,성내면 옥제리 126번지  
112,태평농장,육계,140000,성내면 옥제리 67번지  
113,옥동양계장,육계,110000,성내면 신대리 19번지 1호  
114,구동양계장,육계,55000,성내면 신성리 98-50
115,월산농장,육계,50000,성내면 월산리 산 5번지 1호  
116,성연농장,육계,55000,성내면 대흥리 305번지 1호  
117,평월농장,육계,42000,신림면 벽송리 145번지  
118,신림농장,산란계,42000,신림면 송용리 446번지 13호  
119,번창 농장,육계,85000,신림면 도림리 4번지  
120,고창농원,산란계,70000,신림면 법지리 429번지 6호  
121,우리농장,오리,15000,신림면 벽송리 714번지  
122,행복한농장,육계,100000,신림면 도림리 57번지  
123,원뉴맨농장,육계,260000,신림면 무림리 479번지 54호
124,황금농장,육계,210000,부안면 수앙리 5번지 11호  
125,운양농장,육계,75000,부안면 운양리 377번지 12호 외4필 
126,세계농장,산란계,60000,부안면 사창리 266번지 1호  
127,남매농장,육계,46000,부안면 사창리 257번지 2호  
128,솔설별농장,육계,85000,부안면 검산리 581번지 3호  
129,북산양계장,육계,48000,부안면 수동리 753번지  
130,수앙양계장,육계,100000,부안면 수앙리 341번지  
131,초복농장,육계,88000,부안면 검산리 582번지 1호  
132,바른농장계란,산란계,40000,부안면 선운리 628번지  
133,사창 축산,오리,10000,부안면 사창리 503번지  
134,대산농장,오리,20000,부안면 운양리 717번지  
