연번,사업장명칭,주사육업종,사업장소재지(지번)
1,오리박사농원,오리,전북특별자치도 김제시 만경읍 대동리
2,조산농장,육계,전북특별자치도 김제시 만경읍 대동리
3,만경농장1,육계,전북특별자치도 김제시 만경읍 장산리
4,제항양계장,육계,전북특별자치도 김제시 만경읍 송상리
5,다온팜,육계,전북특별자치도 김제시 만경읍 송상리
6,산숙농장,육계,전북특별자치도 김제시 만경읍 몽산리
7,경원농장,육계,전북특별자치도 김제시 만경읍 화포리
8,풍배농장,육계,전북특별자치도 김제시 만경읍 만경리
9,동진농장,육계,전북특별자치도 김제시 만경읍 화포리
10,대진농장,육계,전북특별자치도 김제시 죽산면 홍산리
11,토종 닭 원조농장,육계,전북특별자치도 김제시 백산면 조종리
12,백산농장,육계,전북특별자치도 김제시 백산면 수록리
13,산뜰해농장,육계,전북특별자치도 김제시 백산면 수록리
14,석농장,육계,전북특별자치도 김제시 백산면 수록리
15,보원농장,육계,전북특별자치도 김제시 백산면 상정리
16,김제농장,육계,전북특별자치도 김제시 백산면 조종리
17,수호농장,육계,전북특별자치도 김제시 백산면 수록리
18,에이스농장,육계,전북특별자치도 김제시 백산면 상리
19,신안농장,산란계,전북특별자치도 김제시 백산면 조종리
20,사계절양계장,산란계,전북특별자치도 김제시 백산면 상리
21,효창오리,오리,전북특별자치도 김제시 용지면 봉의리
22,효창오리,오리,전북특별자치도 김제시 용지면 송산리
23,수하농장,오리,전북특별자치도 김제시 용지면 와룡리
24,정철환농장,오리,전북특별자치도 김제시 용지면 부교리
25,청정오리나라,오리,전북특별자치도 김제시 용지면 신정리
26,효정농장,육계,전북특별자치도 김제시 용지면 효정리
27,건지농장,육계,전북특별자치도 김제시 용지면 봉의리
28,희망농장,육계,전북특별자치도 김제시 용지면 효정리
29,양열농장,육계,전북특별자치도 김제시 용지면 효정리
30,형지농장,육계,전북특별자치도 김제시 용지면 부교리
31,유황가농장,육계,전북특별자치도 김제시 용지면 반교리
32,현서농장,산란계,전북특별자치도 김제시 용지면 신정리
33,가나안농장,산란계,전북특별자치도 김제시 용지면 용암리
34,지일농장,산란계,전북특별자치도 김제시 용지면 장신리
35,정훈농장,산란계,전북특별자치도 김제시 용지면 송산리
36,김농장,산란계,전북특별자치도 김제시 용지면 용수리
37,문화농장,산란계,전북특별자치도 김제시 용지면 용수리
38,연수농장,산란계,전북특별자치도 김제시 용지면 용수리
39,인영농장,산란계,전북특별자치도 김제시 용지면 장신리
40,현농장,산란계,전북특별자치도 김제시 용지면 예촌리
41,해마루농장,산란계,전북특별자치도 김제시 용지면 용수리
42,축산농장,산란계,전북특별자치도 김제시 용지면 장신리
43,연우농장,산란계,전북특별자치도 김제시 용지면 용수리
44,금정농장,산란계,전북특별자치도 김제시 용지면 신정리
45,혜훈농장,산란계,전북특별자치도 김제시 용지면 용수리
46,대행영농조합법인,산란계,전북특별자치도 김제시 용지면 장신리
47,다온농장,산란계,전북특별자치도 김제시 용지면 용수리
48,호남농장,산란계,전북특별자치도 김제시 용지면 신정리
49,민가네농장,산란계,전북특별자치도 김제시 용지면 장신리
50,진성농장,산란계,전북특별자치도 김제시 용지면 장신리
51,지일농장,산란계,전북특별자치도 김제시 용지면 장신리
52,대한농장1,산란계,전북특별자치도 김제시 용지면 봉의리
53,대한농장2,산란계,전북특별자치도 김제시 용지면 예촌리
54,일심농장,산란계,전북특별자치도 김제시 용지면 용암리
55,남도축산,산란계,전북특별자치도 김제시 용지면 신정리
56,자연농장,산란계,전북특별자치도 김제시 용지면 용수리
57,진축산,산란계,전북특별자치도 김제시 용지면 용수리
58,재철한우,산란계,전북특별자치도 김제시 용지면 용암리
59,반석농장,산란계,전북특별자치도 김제시 용지면 용수리
60,대성농장,산란계,전북특별자치도 김제시 용지면 용수리
61,대성농장,산란계,전북특별자치도 김제시 용지면 장신리
62,대성농장,산란계,전북특별자치도 김제시 용지면 장신리
63,순홍농장,산란계,전북특별자치도 김제시 용지면 신정리
64,재현농장,산란계,전북특별자치도 김제시 용지면 예촌리
65,환희농장,산란계,전북특별자치도 김제시 용지면 신정리
66,나주2농장,산란계,전북특별자치도 김제시 용지면 용수리
67,용성에그팜 영농조합법인,산란계,전북특별자치도 김제시 용지면 용암리
68,태웅농장,산란계,전북특별자치도 김제시 용지면 효정리
69,민재농장,산란계,전북특별자치도 김제시 용지면 신정리
70,우진농장,산란계,전북특별자치도 김제시 용지면 장신리
71,대박1농장,산란계,전북특별자치도 김제시 용지면 용수리
72,대박4농장,산란계,전북특별자치도 김제시 용지면 용수리
73,제일농장,산란계,전북특별자치도 김제시 용지면 장신리
74,가나안농장,산란계,전북특별자치도 김제시 용지면 예촌리
75,도담에그팜,산란계,전북특별자치도 김제시 용지면 용수리
76,샛별농장,산란계,전북특별자치도 김제시 용지면 장신리
77,행복한농장,산란계,전북특별자치도 김제시 용지면 장신리
78,행복농장,산란계,전북특별자치도 김제시 용지면 장신리
79,종화농장,산란계,전북특별자치도 김제시 용지면 장신리
