축산업종류,사업장명칭,주사육업종,사업장소재지,사육두수,데이터기준일자
가축사육업,계상농장,오리,전북특별자치도 부안군 행안면 봉야로 258,14000,2024-11-19
가축사육업,민재농장,오리,"전북특별자치도 부안군 계화면 양산리 2452번지 7호 외3필지(2452-8,9, 2453-9) ",45000,2024-11-19
가축사육업,신정농장,오리,전북특별자치도 부안군 주산면 사산길 97-133,14819,2024-11-19
가축사육업,평화농장,육계,전북특별자치도 부안군 보안면 만회길 69-20,58000,2024-11-19
가축사육업,유정농장,육계,전북특별자치도 부안군 상서면 감교리 803번지  ,90000,2024-11-19
가축사육업,우슬재 황토촌,육계,전북특별자치도 부안군 상서면 용와2길 23,30000,2024-11-19
가축사육업,김을식양계장,육계,전북특별자치도 부안군 줄포면 장동리 산 138번지 1호 외 2필지 ,35000,2024-11-19
가축사육업,동송농장,오리,전북특별자치도 부안군 줄포면 각동2길 122,12000,2024-11-19
가축사육업,정인농장,오리,전북특별자치도 부안군 줄포면 신정로 57-42 (외 6필지),56000,2024-11-19
가축사육업,천애농장,오리,전북특별자치도 부안군 계화면 양산리 2458번지 3호  ,10000,2024-11-19
가축사육업,명진농장,오리,"전북특별자치도 부안군 줄포면 원장동길 133-40, 133-43",30000,2024-11-19
가축사육업,팜렛잇고,육계,전북특별자치도 부안군 부안읍 순환남로 306-7,100000,2024-11-19
가축사육업,대동농장,육계,"전북특별자치도 부안군 줄포면 연중길 26, 28, 30",126752,2024-11-19
가축사육업,석불산토종닭 농장,육계,전북특별자치도 부안군 하서면 언독리 1077번지 13호  ,25000,2024-11-19
가축사육업,연정농장,육계,전북특별자치도 부안군 줄포면 반월제길 29,70000,2024-11-19
가축사육업,장수농장,육계,전북특별자치도 부안군 줄포면 점촌길 78,45000,2024-11-19
가축사육업,상운농장,육계,전북특별자치도 부안군 보안면 종유로 140-76,60000,2024-11-19
가축사육업,윤봉길양계장,육계,전북특별자치도 부안군 줄포면 신리 109번지  ,30000,2024-11-19
가축사육업,햇빛농장,육계,전북특별자치도 부안군 줄포면 파산신성길 93-32,46500,2024-11-19
가축사육업,줄포농장,오리,전북특별자치도 부안군 줄포면 우포리 46번지  ,10000,2024-11-19
가축사육업,신금섭농장,오리,전북특별자치도 부안군 줄포면 우포리 54번지  ,10000,2024-11-19
가축사육업,동서농장,육계,전북특별자치도 부안군 백산면 동학로 15,58000,2024-11-19
가축사육업,남포농장,육계,전북특별자치도 부안군 보안면 남포원천길 42-8,75000,2024-11-19
가축사육업,줄포대성농장,육계,전북특별자치도 부안군 줄포면 덕성길 105-3,80000,2024-11-19
가축사육업,해와달농장,오리,전북특별자치도 부안군 줄포면 대연길 3-14,17056,2024-11-19
가축사육업,미운오리농장,오리,전북특별자치도 부안군 줄포면 난산리 706번지 39호 외 1필(706-40) ,20000,2024-11-19
가축사육업,동촌 농장,육계,전북특별자치도 부안군 하서면 청호리 657번지 1호  ,1000,2024-11-19
가축사육업,상운농장,육계,전북특별자치도 부안군 보안면 종유로 140-76,60000,2024-11-19
가축사육업,해바라기농장,오리,전북특별자치도 부안군 줄포면 점촌길 26,19192,2024-11-19
가축사육업,만해농장,육계,전북특별자치도 부안군 보안면 사창길 67,25000,2024-11-19
가축사육업,연중농장,오리,전북특별자치도 부안군 줄포면 연중길 97,10000,2024-11-19
가축사육업,천금오리농장,오리,전북특별자치도 부안군 줄포면 파산길 93,27000,2024-11-19
가축사육업,김종열농장,육계,전북특별자치도 부안군 동진면 증산길 54-10,5000,2024-11-19
가축사육업,일월성농장,오리,전북특별자치도 부안군 줄포면 파산월평길 32-30 (외 2필지),17000,2024-11-19
가축사육업,해피덕농장,오리,전북특별자치도 부안군 줄포면 장산로 172-14,10000,2024-11-19
가축사육업,금순이농장,오리,"전북특별자치도 부안군 줄포면 줄포리 864번지 외 3필지(863, 865, 866) ",6000,2024-11-19
가축사육업,제일농장,육용오리,전북특별자치도 부안군 줄포면 관동길 58-50,22862,2024-11-19
가축사육업,이현우농장,육계,전북특별자치도 부안군 행안면 봉야로 398,25000,2024-11-19
가축사육업,부광농장,오리,"전북특별자치도 부안군 백산면 하청로 42-51 (611-1,2,3)",17000,2024-11-19
가축사육업,형제축산,육계,전북특별자치도 부안군 백산면 평교리 873번지  ,40000,2024-11-19
가축사육업,드림농장,육계,전북특별자치도 부안군 주산면 주산북로 240-19,75000,2024-11-19
가축사육업,신지농장,오리,전북특별자치도 부안군 하서면 언독리 386번지 4호  ,40000,2024-11-19
가축사육업,성실농장,오리,전북특별자치도 부안군 줄포면 신리로 160-12,19512,2024-11-19
가축사육업,소금애피농장,오리,전북특별자치도 부안군 줄포면 장동리 200번지 외 7필지 ,8000,2024-11-19
가축사육업,예동농장,육계,"전북특별자치도 부안군 주산면 예동길 45, 55-10",70000,2024-11-19
가축사육업,금복주농장,육용오리,"전북특별자치도 부안군 주산면 홍해송천길 98, 1-7동",20000,2024-11-19
가축사육업,도담농장,오리,전북특별자치도 부안군 줄포면 신정로 57-79,24000,2024-11-19
가축사육업,반석농장,오리,"전북특별자치도 부안군 줄포면 우포리 8번지 10호 외 3필지(52-10, 53-3, 54) ",10093,2024-11-19
가축사육업,정상농장,오리,전북특별자치도 부안군 줄포면 신리로 299-13,10000,2024-11-19
가축사육업,지영농장(2농장),육계,전북특별자치도 부안군 동진면 고마제로 328-17 (1442),90000,2024-11-19
가축사육업,오리와사람들,오리,"전북특별자치도 부안군 계화면 양산리 2459번지 1호 외 3필지 2459-2, 2458-3, -4 ",50000,2024-11-19
가축사육업,마리농장,오리,전북특별자치도 부안군 계화면 의복리 1721번지 외 1필(1721-1) ,18000,2024-11-19
가축사육업,자연농장,오리,전북특별자치도 부안군 계화면 의복리 1719번지 외 1필지 (1720) ,18000,2024-11-19
가축사육업,산지농장,육계,전북특별자치도 부안군 보안면 유관길 244-32,75000,2024-11-19
가축사육업,김산농장,육계,"전북특별자치도 부안군 주산면 만석로 234-31 (773-2,  773-3)",140000,2024-11-19
가축사육업,아낙네오리농장,오리,전북특별자치도 부안군 주산면 사산길 97-131,22000,2024-11-19
가축사육업,은성농장,육계,전북특별자치도 부안군 주산면 종유로 401,65000,2024-11-19
가축사육업,뽕이랑 귀농이랑,육계,전북특별자치도 부안군 하서면 장신1길 47,1000,2024-11-19
가축사육업,승원농장,오리,전북특별자치도 부안군 줄포면 신리 727번지 외 1필지(728) ,7000,2024-11-19
가축사육업,푸른농장,오리,전북특별자치도 부안군 백산면 하청로 112,8000,2024-11-19
가축사육업,종계백산,종계/산란계,전북특별자치도 부안군 백산면 하청로 169 (외 6필지),60000,2024-11-19
가축사육업,태양농장,오리,"전북특별자치도 부안군 줄포면 우포리 593번지 3호 외5필지(593-4,5,6,7,8) ",40000,2024-11-19
가축사육업,정숙농장,오리,전북특별자치도 부안군 줄포면 파산신성길 125-15,10000,2024-11-19
가축사육업,태복농장,오리,전북특별자치도 부안군 보안면 하입석리 475번지 1호  ,10000,2024-11-19
가축사육업,금판오리 농장,오리,"전북특별자치도 부안군 백산면 금판리 817번지 1호 외 3필지(817-3, 4, 802-11) ",62000,2024-11-19
가축사육업,청호농장,오리,전북특별자치도 부안군 계화면 의복리 1732번지 외 1필지(1731-2) ,30000,2024-11-19
가축사육업,유병채농장,오리,전북특별자치도 부안군 계화면 양산리 2563번지 7호 외 1필 ,17000,2024-11-19
가축사육업,SG팜,육계,전북특별자치도 부안군 동진면 고마제로 328-7,70000,2024-11-19
가축사육업,여월지향농장,오리,전북특별자치도 부안군 상서면 용서리 723번지 6호 외 1필(723-5) ,20000,2024-11-19
가축사육업,미소농장,육계,전북특별자치도 부안군 보안면 상림로 43-25,70000,2024-11-19
가축사육업,장등농장,오리,"전북특별자치도 부안군 동진면 동전리 2561번지 2562,2562-1 ",10000,2024-11-19
가축사육업,소망농장,오리,전북특별자치도 부안군 주산면 사산길 97-109,20231,2024-11-19
가축사육업,김철수농장,오리,"전북특별자치도 부안군 동진면 동전리 1430번지 외 3필지(1431, 1432, 1432-1) ",33800,2024-11-19
가축사육업,창북농장,오리,전북특별자치도 부안군 계화면 새포로 499-74 (4515-7),16000,2024-11-19
가축사육업,소망농장,오리,전북특별자치도 부안군 동진면 동전길 51-42 (1735),15000,2024-11-19
가축사육업,행복농장,오리,전북특별자치도 부안군 동진면 동전길 51-32,0,2024-11-19
가축사육업,승리농장,오리,전북특별자치도 부안군 줄포면 화전길 57,10000,2024-11-19
가축사육업,늘봄농장,육계,전북특별자치도 부안군 상서면 부안로 2191,65000,2024-11-19
가축사육업,원농장,육계,전북특별자치도 부안군 상서면 부안로 2189,65000,2024-11-19
가축사육업,성하농장,육계,전북특별자치도 부안군 줄포면 파산신성길 125-45,76000,2024-11-19
가축사육업,이기석농장,육계,전북특별자치도 부안군 행안면 주산북로 63,60000,2024-11-19
가축사육업,천우농장,오리,"전북특별자치도 부안군 계화면 궁안리 1064번지 1065,1065-1 ",34079,2024-11-19
가축사육업,상우농장,육계,전북특별자치도 부안군 백산면 대죽리 869번지 8호 외 1필(869-13) ,80000,2024-11-19
가축사육업,김명수농장,육계,전북특별자치도 부안군 줄포면 파산신성길 125-19,100000,2024-11-19
