연번,사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적
1,음봉양계장,종계/산란계,충청남도 아산시 음봉면 삼거리 183-5,,18000,1,951.6
20,삼봉농장,종계/산란계,충청남도 아산시 도고면 화천리 45,,30000,5,2811
21,안골농원,육계,충청남도 아산시 영인면 성내리 287-6,충청남도 아산시 영인면 성내안길 121,60000,7,3540
22,덕산농장,육계,충청남도 아산시 배방읍 세출리 105-1,,50000,5,2913
37,도고농장,육계,충청남도 아산시 도고면 금산리 69-3,충청남도 아산시 도고면 온천대로222번길 130-20,70000,3,3782.4
38,현광1농장,육계,충청남도 아산시 초사동 261-1,충청남도 아산시 무궁화안길 30 (초사동),20000,4,997
39,농업회사법인 다온앤팜,종계/산란계,충청남도 아산시 음봉면 쌍암리 147-7,충청남도 아산시 음봉면 연암율금로508번길 98,35000,4,2110.25
40,인광농장,육계,충청남도 아산시 도고면 신통리 91-1,,25000,7,1710
41,대박농장,육계,충청남도 아산시 신창면 황산리 342-15,충청남도 아산시 신창면 창암황산길 205-16,27000,5,2056
42,남성농장,육계,충청남도 아산시 신창면 남성리 561-1 외 1필지(562),,14715,4,1471
43,배미농장,육계,충청남도 아산시 신창면 남성리 69-6,충청남도 아산시 신창면 남성길 220-28,30000,10,1539.74
45,한일농장,육계,충청남도 아산시 도고면 신통리 95-1,충청남도 아산시 도고면 신통길46번길 46,24480,5,2438
59,성보농원,종계/산란계,충청남도 아산시 둔포면 염작리 292-2,,80000,5,3647
60,근해농장,종계/산란계,충청남도 아산시 음봉면 원남리 313-1,충청남도 아산시 음봉면 음봉면로 232-47,9500,5,1672
61,푸른초원농원,종계/산란계,충청남도 아산시 음봉면 산정리 222-1,충청남도 아산시 음봉면 아산온천로 341-59,21000,8,3982.89
64,대한농장,종계/산란계,충청남도 아산시 둔포면 염작리 289-17,충청남도 아산시 둔포면 이화길 205,150336,3,10303
72,명막골농장,종계/산란계,충청남도 아산시 배방읍 수철리 60-2,,25000,2,1644
73,인흥농장,육계,충청남도 아산시 둔포면 운교리 190,충청남도 아산시 둔포면 운교길126번길 103-23,80000,3,3610.25
74,희망농장,종계/산란계,충청남도 아산시 둔포면 산전리 364-1,,30000,4,1360
75,아산이레농장,육계,충청남도 아산시 음봉면 쌍룡리 107-1,충청남도 아산시 음봉면 연암율금로 505-65,13764,3,1376
76,유아농장,육계,충청남도 아산시 둔포면 산전리 36,,36000,8,1797
78,수정농장,종계/산란계,충청남도 아산시 영인면 창용리 131-2 외 1필지(131-3),,13000,2,548.2
79,부활농장,종계/산란계,충청남도 아산시 음봉면 산동리 578,,50000,3,4281.8
80,아산농장,종계/산란계,충청남도 아산시 영인면 창용리 105-9,충청남도 아산시 영인면 토정로528번길 95,30000,5,2770.99
81,농업회사법인주식회사 골드마운틴,종계/산란계,충청남도 아산시 영인면 신봉리 527,충청남도 아산시 영인면 신봉길 83-20,18000,2,1267.66
82,금미농장,육계,충청남도 아산시 둔포면 산전리 244-1 외 1필지(244-5),충청남도 아산시 둔포면 산전길69번길 28,14903,3,1490
85,영남축산,육계,충청남도 아산시 둔포면 염작리 56-13,,31000,7,2620
86,인해농원,종계/산란계,충청남도 아산시 영인면 창용리 39,충청남도 아산시 영인면 아산호로 709-14,15000,3,1114.42
88,으뜸목장,종계/산란계,충청남도 아산시 인주면 해암리 11-2,충청남도 아산시 인주면 인주로 226,75000,5,4702.3
123,협진농장,육계,충청남도 아산시 음봉면 원남리 180-3,충청남도 아산시 음봉면 음봉면로 302-83,40000,4,2418
126,제일농장,육계,충청남도 아산시 음봉면 신정리 11-1,,36000,3,1389
127,시우농장,육계,충청남도 아산시 음봉면 신정리 318-2,충청남도 아산시 음봉면 신정리길90번길 40,153000,7,2436
128,백운농장,오리,충청남도 아산시 둔포면 신남리 681-10 외 2(681-11/ 678-2),,31980,13,7868
