번호,사업장명,주사육업종,소재지전체주소,사육두수,최종수정시점
4,퍼펙트농장,육계,충청남도 천안시 동남구 동면 수남리 ***번지 *호  ,89320 ,2025-11-28
6,시골축산,종계/산란계,충청남도 천안시 동남구 성남면 대흥리 ***번지  ,73440 ,2025-11-28
8,청운농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호  ,100800 ,2025-11-28
9,일웅농장,육계,충청남도 천안시 동남구 풍세면 남관리 ***번지 외 *필지(***) ,60000 ,2025-11-28
10,영창농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,151200 ,2025-11-28
11,오성농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지 *호  ,58240 ,2025-11-28
14,애그빌농장,종계/산란계,"충청남도 천안시 동남구 풍세면 가송리 ***번지 *호 ***,***-* ",0 ,2025-11-28
15,소망농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,82000 ,2025-11-28
16,유니농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호 외 용정리 ***-** ,43000 ,2025-11-28
17,하마농장,종계/산란계,"충청남도 천안시 동남구 풍세면 가송리 ***번지 외*(***-*,***-*,*,*,***-*) ",38902 ,2025-11-28
18,으뜸농장,종계/산란계,충청남도 천안시 서북구 직산읍 수헐리 **번지 *호  ,100000 ,2025-11-28
19,텃골영농조합법인,종계/산란계,"충청남도 천안시 서북구 입장면 호당리 *번지 *통 *-*, *번지 ",245012 ,2025-11-28
20,성남농장,종계/산란계,"충청남도 천안시 동남구 성남면 봉양리 ***번지 외*필지(***-*,***-*,***-*,***) ",187000 ,2025-11-28
21,직산농장,종계/산란계,충청남도 천안시 서북구 직산읍 마정리 산 **번지 *호  ,48000 ,2025-11-28
22,한일농장,종계/산란계,충청남도 천안시 서북구 성환읍 양령리 **번지 *호  ,26000 ,2025-11-28
23,목골농장,종계/산란계,충청남도 천안시 동남구 성남면 석곡리 **번지 *호  ,9880 ,2025-11-28
30,운암농장,종계/산란계,"충청남도 천안시 동남구 병천면 관성리 ***번지 *호 ***, ***, ***-* ",37000 ,2025-11-28
31,진원농장,종계/산란계,충청남도 천안시 서북구 성환읍 와룡리 ***번지 *호  ,53000 ,2025-11-28
44,피덕농장,육계,충청남도 천안시 동남구 광덕면 대평리 ***번지 *통  ,58000 ,2025-11-28
48,자연농장,육계,"충청남도 천안시 동남구 성남면 화성리 **번지 *호 외 *필지(**-**,**-**,**-**) ",43000 ,2025-11-28
49,영광농장,종계/산란계,충청남도 천안시 동남구 수신면 장산리 ***번지  ,68800 ,2025-11-28
50,가나안농장,종계/산란계,충청남도 천안시 동남구 풍세면 보성리 ***번지  ,20000 ,2025-11-28
51,요셉농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,59136 ,2025-11-28
52,호중농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *필지 ,32000 ,2025-11-28
53,대풍농장,종계/산란계,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***-*, ***-*, ***-*) ",50000 ,2025-11-28
56,가송농장,육계,충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호  ,39246 ,2025-11-28
57,상만농장,육계,충청남도 천안시 동남구 광덕면 보산원리 ***번지 *호  ,38000 ,2025-11-28
58,성록농장,육계,충청남도 천안시 동남구 성남면 신덕리 ***번지 외*필지(***) ,19826 ,2025-11-28
59,대현농장,오리,충청남도 천안시 동남구 병천면 매성리 **번지 외 *필지 ,19560 ,2025-11-28
60,경인농장,종계/산란계,충청남도 천안시 동남구 병천면 도원리 ***번지 *호  ,160000 ,2025-11-28
61,진우농장,오리,"충청남도 천안시 동남구 동면 장송리 **번지 *호 외 *필지(**-*,**-*,**-*) ",20280 ,2025-11-28
62,태림농장,육계,충청남도 천안시 동남구 동면 수남리 ***번지 *호  ,21000 ,2025-11-28
63,화덕농장,육계,충청남도 천안시 동남구 동면 화덕리 **번지 *호 외 *필지 ,58000 ,2025-11-28
86,프리팜스,종계/산란계,충청남도 천안시 서북구 직산읍 석곡리 **번지 *호  ,27027 ,2025-11-28
98,산내들농축,종계/산란계,충청남도 천안시 동남구 수신면 장산리 ***번지  ,55000 ,2025-11-28
103,인촌농장,육계,충청남도 천안시 동남구 병천면 관성리 ***번지 *호  ,47916 ,2025-11-28
104,세연농장,육계,충청남도 천안시 동남구 동면 화덕리 ***번지  ,45000 ,2025-11-28
105,대진농장,오리,충청남도 천안시 동남구 병천면 매성리 ***번지 *** ,8498 ,2025-11-28
106,계봉농장,종계/산란계,충청남도 천안시 동남구 수신면 발산리 ***번지 *호 외 *필지 ,30000 ,2025-11-28
108,희성농장,종계/산란계,충청남도 천안시 동남구 동면 죽계리 ***번지  ,6000 ,2025-11-28
110,대한농장,육계,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,30000 ,2025-11-28
111,능골농장,종계/산란계,충청남도 천안시 동남구 성남면 대흥리 ***번지 *호  ,30000 ,2025-11-28
151,덕성농장,오리,충청남도 천안시 동남구 병천면 도원리 ***번지 **호 외*필지 ,11000 ,2025-11-28
154,풍년농장,종계/산란계,충청남도 천안시 동남구 병천면 관성리 ***번지 *호 외 *필지(***-**) ,45056 ,2025-11-28
204,석수농장,육계,충청남도 천안시 동남구 성남면 봉양리 ***번지 *호  ,30000 ,2025-11-28
206,경치농장,육계,충청남도 천안시 동남구 풍세면 보성리 ***번지 *호 외 *필지(산*-*) ,57000 ,2025-11-28
237,상봉1농장,종계/산란계,충청남도 천안시 동남구 동면 죽계리 ***번지  ,3500 ,2025-11-28
238,상봉2농장,종계/산란계,충청남도 천안시 동남구 동면 덕성리 ***번지  ,1500 ,2025-11-28
261,연암대학교,종계/산란계,충청남도 천안시 서북구 성환읍 수향리 **번지 *호 외 **필지 ,33249 ,2025-11-28
266,진우농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,35000 ,2025-11-28
269,예천농장,육계,"충청남도 천안시 동남구 성남면 용원리 ***번지 *호 외 *필지(***, ***, ***) ",34955 ,2025-11-28
270,경희농장,육계,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***, ***-*) ",26800 ,2025-11-28
271,자연알로(수신),종계/산란계,"충청남도 천안시 동남구 수신면 백자리 **번지 *호 , **, **-* 번지 ",22824 ,2025-11-28
272,케이앤피에그팜,종계/산란계,충청남도 천안시 동남구 동면 행암리 ***번지 외 *필지 ,120000 ,2025-11-28
280,천안오골계농장,육계,충청남도 천안시 동남구 목천읍 석천리 ***번지 천안오골계농장 ,35000 ,2025-11-28
304,우민양계,종계/산란계,"충청남도 천안시 동남구 병천면 용두리 ***번지 *호 외 *필지(***-*,***-*,***-*) ",65000 ,2025-11-28
