시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
음성군,-,육계,,55000.0,충청북도 음성군 소이면 중동리 371번지 2호,,,2021-01-31
음성군,가인농장,육계,,100000.0,충청북도 음성군 맹동면 봉현리 681번지,,,2024-08-24
음성군,감곡벤처농장,육용오리,,,충청북도 음성군 감곡면 문촌리 983번지 4호,,,2023-04-21
음성군,감곡벤처농장,육용오리,,13487.0,충청북도 음성군 감곡면 문촌리 983번지 4호,,,2024-08-24
음성군,갑산농장,육계,,70000.0,충청북도 음성군 소이면 갑산리 266번지,,,2023-04-21
음성군,갑산농장,육계,,70000.0,충청북도 음성군 소이면 갑산리 264번지 1호 외 1필지(266번지),,,2024-08-24
음성군,개나리농장,육계,,60000.0,충청북도 음성군 금왕읍 내송리 301번지,,,2022-02-07
음성군,건영농장,오리,,12000.0,충청북도 음성군 맹동면 마산리 388번지 1호,,,2021-01-31
음성군,건영농장 2,오리,,5000.0,충청북도 음성군 맹동면 마산리 425번지,,,2022-02-07
음성군,계구쟁이농장,종계/산란계,,108864.0,충청북도 음성군 삼성면 능산리 122번지  122-1,,,2024-08-24
음성군,계구쟁이농장,종계/산란계,,108864.0,"충청북도 음성군 삼성면 능산리 122번지 ,122-1",,,2024-08-24
음성군,골든팜,육계,,70000.0,충청북도 음성군 맹동면 용촌리 775번지,,,2022-02-07
음성군,국현농장,오리,,18000.0,충청북도 음성군 맹동면 봉현리 476번지,,,2024-08-24
음성군,기쁨농장,육계,,40000.0,충청북도 음성군 금왕읍 봉곡리 141번지 1호,,,2022-02-07
음성군,기쁨농장,육계,,40000.0,충청북도 음성군 금왕읍 봉곡리 143번지 1호,,,2023-04-21
음성군,기흥농장,종계/산란계,,21000.0,충청북도 음성군 생극면 송곡리 417번지 6호,,,2021-01-31
음성군,낙원농장,오리,,7000.0,충청북도 음성군 대소면 수태리 125번지,,,2021-01-31
음성군,남율농장,육계,,50000.0,충청북도 음성군 소이면 문등리 196번지 외 2필지,,,2022-02-07
음성군,남율농장,육계,,72767.0,충청북도 음성군 소이면 문등리 196번지,,,2024-08-24
음성군,농업회사법인 (주) 조하 삼성지점,종계+산란계,,,충청북도 음성군 삼성면 능산리 360번지 1호,,,2024-08-24
음성군,농업회사법인 (주) 조하 삼성지점,종계+산란계,,255381.0,충청북도 음성군 삼성면 능산리 360번지 1호,,,2022-02-07
음성군,농업회사법인 세양(주) 음성농장,종계/산란계,,165888.0,충청북도 음성군 삼성면 용대리 231번지,,,2023-04-21
음성군,농업회사법인 주식회사 알로팜 용계지점,종계/산란계,,0.0,충청북도 음성군 금왕읍 용계리 413번지,,,2023-04-21
음성군,농업회사법인 주식회사 에버그린(금왕지점),메추리,,1200000.0,충청북도 음성군 금왕읍 신평리 307번지 외 12필지,,,2021-01-31
음성군,농업회사법인 주식회사 에버그린(금왕지점),메추리,,1084800.0,충청북도 음성군 금왕읍 신평리 307번지 외 12필지,,,2022-02-07
음성군,농업회사법인(주)동일농장 대소2지점,종계/산란계,,40000.0,충청북도 음성군 대소면 삼호리 394번지,,,2021-01-31
음성군,농업회사법인(주)동일농장 대소3지점,종계/산란계,,17550.0,충청북도 음성군 대소면 부윤리 248번지,,,2023-04-21
음성군,농업회사법인(주)동일농장 삼성지점,종계+산란계,,15000.0,충청북도 음성군 삼성면 대정리 562번지,,,2022-02-07
음성군,농업회사법인(주)동일농장 생극지점,종계/산란계,,21000.0,충청북도 음성군 생극면 팔성리 520번지 1호,,,2024-08-24
음성군,농업회사법인(주)동일농장 생극지점,종계+산란계,,30200.0,충청북도 음성군 생극면 팔성리 520번지 1호,,,2022-02-07
음성군,농업회사법인(주)조하,종계/산란계,,86175.0,충청북도 음성군 맹동면 봉현리 363번지 외 7필지,,,2024-08-24
음성군,농업회사법인주식회사 동일농장,종계/산란계,,41000.0,충청북도 음성군 대소면 삼호리 454번지,,,2021-01-31
음성군,농업회사법인주식회사 동일농장,종계/산란계,,44000.0,충청북도 음성군 대소면 삼호리 454번지,,,2024-08-24
음성군,농업회사법인주식회사 동일농장,종계/산란계,,0.0,충청북도 음성군 대소면 삼호리 454번지,,,2023-04-21
음성군,농업회사법인주식회사알부자,종계+산란계,,32000.0,충청북도 음성군 원남면 하노리 208번지 외2필지,,,2022-02-07
음성군,농업회사법인주식회사알부자,종계/산란계,,32000.0,"충청북도 음성군 원남면 하노리 208번지 외2필지(208-1,213)",,,2024-08-24
음성군,농업회사법인주식회사알부자,종계/산란계,,32000.0,충청북도 음성군 원남면 하노리 208번지 외2필지(208-1 213),,,2023-04-21
음성군,누리농장,종계/산란계,,15000.0,충청북도 음성군 소이면 중동리 1384번지,,,2024-08-24
음성군,늘푸른농장,오리,,7800.0,충청북도 음성군 맹동면 마산리 465번지,,,2024-08-24
음성군,다움랩,육계,,120000.0,충청북도 음성군 삼성면 덕정리 38번지 외 5필지,,,2023-04-21
음성군,대금 유정란 농장,육계,,50000.0,충청북도 음성군 금왕읍 본대리 29번지,,,2024-08-24
음성군,대길농장,육계,,100000.0,충청북도 음성군 맹동면 봉현리 681번지,,,2021-01-31
음성군,대동농장,메추리,,40000.0,충청북도 음성군 소이면 금고리 527번지 1호,,,2021-01-31
음성군,대박농장,오리,,9500.0,충청북도 음성군 맹동면 용촌리 69번지,,,2024-08-24
음성군,대박농장,육계,,45000.0,충청북도 음성군 맹동면 용촌리 69번지,,,2021-01-31
