시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
진천군,(주)드리밍에그,종계/산란계,,,충청북도 진천군 문백면 계산리 519번지,,,2026-04-07
진천군,갈미농장,종계/산란계,,,충청북도 진천군 이월면 중산리 549번지 1호 갈미농장,,,2026-04-07
진천군,건농장,육계,,,"충청북도 진천군 덕산읍 인산리 1209번지 , 1210",,,2026-04-07
진천군,규해농장,육계,,,충청북도 진천군 진천읍 행정리 357번지,,,2026-04-07
진천군,꿀물농장,오리,,,충청북도 진천군 이월면 삼용리,,,2026-04-07
진천군,꿀벌농장,육계,,,충청북도 진천군 초평면 용기리 385번지,,,2026-04-07
진천군,꿍이네농장,종계/산란계,,,충청북도 진천군 덕산읍 한천리 495번지 3호,,,2026-04-07
진천군,낙천그린농장,육계,,,충청북도 진천군 진천읍 상신리 589번지,,,2026-04-07
진천군,농업회사법인(주)동일농장 이월지점,종계/산란계,,,충청북도 진천군 이월면 미잠리 250번지,,,2026-04-07
진천군,농업회사법인(주)동일농장이월2지점,종계/산란계,,,충청북도 진천군 이월면 미잠리 294번지,,,2026-04-07
진천군,농업회사법인(주)에버그린 진천지점,종계/산란계,,,충청북도 진천군 덕산읍 화상리 165번지 외 18필지,,,2026-04-07
진천군,농업회사법인(주)유정마을 진천지점,종계/산란계,,,충청북도 진천군 진천읍 상신리 566번지 567,,,2026-04-07
진천군,농업회사법인(주)재유농원 진천지점,종계/산란계,,,"충청북도 진천군 초평면 중석리 1828번지 ,1829",,,2026-04-07
진천군,단원농장,종계/산란계,,,"충청북도 진천군 이월면 삼용리 1184번지 외 2필지(1185, 917)",,,2026-04-07
진천군,대국농장,종계/산란계,,,충청북도 진천군 진천읍 문봉리 185번지,,,2026-04-07
진천군,대승농장,육계,,,충청북도 진천군 덕산읍 구산리 501번지 9호,,,2026-04-07
진천군,대정농장,육계,,,충청북도 진천군 이월면 동성리 783번지,,,2026-04-07
진천군,대호농장,오리,,,"충청북도 진천군 이월면 삼용리 452번지 1호 , 452-2, 431-4",,,2026-04-07
진천군,덕산농장,종계/산란계,,,충청북도 진천군 덕산읍 인산리 1180번지,,,2026-04-07
진천군,도날드농장,오리,,,충청북도 진천군 진천읍 행정리 387번지 1호,,,2026-04-07
진천군,도원농장,육계,,,충청북도 진천군 초평면 용기리 1번지 6호,,,2026-04-07
진천군,디딤돌농장,오리,,,충청북도 진천군 이월면 삼용리 874번지 1호,,,2026-04-07
진천군,모래봉농장,오리,,,충청북도 진천군 덕산읍 용몽리 5번지,,,2026-04-07
진천군,문백축산,오리,,,충청북도 진천군 문백면 봉죽리 산 18번지 1호,,,2026-04-07
진천군,미래축산,육계,,,충청북도 진천군 이월면 동성리 783번지 1호,,,2026-04-07
진천군,미호농장,오리,,,"충청북도 진천군 덕산읍 인산리 636번지 1호 637-3,637-2,637-1,636-3,636-2",,,2026-04-07
진천군,박** 농장,육계,,,충청북도 진천군 이월면 사곡리 28번지,,,2026-04-07
진천군,백일농장,오리,,,"충청북도 진천군 진천읍 문봉리 23번지 외 5필지(21,22-1,22-3,24,424-1)",,,2026-04-07
진천군,별이네농장,종계/산란계,,,충청북도 진천군 덕산읍 한천리 495번지,,,2026-04-07
진천군,부림1농장,육계,,,충청북도 진천군 진천읍 상신리 592번지,,,2026-04-07
진천군,부림2농장,육계,,,충청북도 진천군 진천읍 상신리 594번지,,,2026-04-07
진천군,부성농장,오리,,,충청북도 진천군 이월면 사곡리 233번지,,,2026-04-07
진천군,비에스에코팜,종계/산란계,,,충청북도 진천군 덕산읍 인산리 701번지,,,2026-04-07
진천군,사랑오리농장,오리,,,충청북도 진천군 문백면 계산리 107번지 2호,,,2026-04-07
진천군,샤론농장,종계/산란계,,,충청북도 진천군 초평면 오갑리 311번지,,,2026-04-07
진천군,서경 농장,육계,,,충청북도 진천군 이월면 동성리 828번지,,,2026-04-07
진천군,석화농원,오리,,,충청북도 진천군 이월면 삼용리 785번지 3호,,,2026-04-07
진천군,선농장,육계,,,충청북도 진천군 진천읍 상신리 573번지,,,2026-04-07
진천군,선민농장,오리,,,충청북도 진천군 진천읍 행정리 387번지 1호,,,2026-04-07
진천군,성주농장,종계/산란계,,,충청북도 진천군 이월면 동성리 838번지,,,2026-04-07
진천군,송림농장,육용오리,,,충청북도 진천군 이월면 송림리 89번지 3호 주식회사 주원산오리,,,2026-04-07
진천군,송원농장,육계,,,충청북도 진천군 이월면 중산리 631번지 1호,,,2026-04-07
진천군,수지농장,오리,,,충청북도 진천군 덕산읍 화상리 458번지,,,2026-04-07
진천군,시골농장,육계,,,충청북도 진천군 백곡면 양백리 270번지 1호,,,2026-04-07
진천군,신영농장,육계,,,충청북도 진천군 이월면 동성리 404번지 3호,,,2026-04-07
진천군,양촌농장,종계/산란계,,,충청북도 진천군 덕산읍 구산리 192번지 1호,,,2026-04-07
진천군,엄지농장,오리,,,충청북도 진천군 덕산읍 인산리 699번지,,,2026-04-07
진천군,엄해열,육계,,,충청북도 진천군 이월면 신월리 산 92번지 1호,,,2026-04-07
진천군,에그랑농장,종계/산란계,,,충청북도 진천군 초평면 오갑리 73번지,,,2026-04-07
진천군,에코팜,종계/산란계,,,충청북도 진천군 초평면 중석리 1390번지,,,2026-04-07
진천군,여명농장,육계,,,충청북도 진천군 백곡면 대문리 583번지,,,2026-04-07
진천군,영농조합법인 정원농장 진천지점,메추리,,,충청북도 진천군 초평면 오갑리 322번지 322-1 322-2 322-3,,,2026-04-07
진천군,영민 농장,육계,,,충청북도 진천군 백곡면 대문리 590번지 591번지 592번지,,,2026-04-07
진천군,예민꿩농장,꿩,,,충청북도 진천군 문백면 태락리 529번지 3호,,,2026-04-07
진천군,예서농장,육계,,,충청북도 진천군 덕산읍 구산리 137번지,,,2026-04-07
진천군,오갑농장,오리,,,충청북도 진천군 초평면 오갑리 7번지,,,2026-04-07
진천군,오창농장,육계,,,"충청북도 진천군 문백면 은탄리 457번지 2호 , 457-5, 산92-1",,,2026-04-07
진천군,용몽농장,육계,,,충청북도 진천군 덕산읍 용몽리 276번지 양계장,,,2026-04-07
진천군,우영농장,오리,,,충청북도 진천군 덕산읍 석장리 33번지,,,2026-04-07
진천군,우진농장,육계,,,충청북도 진천군 이월면 동성리 836번지,,,2026-04-07
진천군,우혁농장,오리,,,충청북도 진천군 덕산읍 기전리 466번지 3호,,,2026-04-07
진천군,원천농장,종계/산란계,,,충청북도 진천군 문백면 계산리 169번지,,,2026-04-07
진천군,유니농장,오리,,,"충청북도 진천군 덕산읍 화상리 156번지 외 6필지(137-1, 150, 150-1, 150-3, 150-4, 156-3)",,,2026-04-07
진천군,윤**농장,오리,,,충청북도 진천군 이월면 삼용리 산 96번지 6호,,,2026-04-07
진천군,윤**농장,오리,,,"충청북도 진천군 이월면 삼용리 553번지 1호 외2(554,554-1)",,,2026-04-07
진천군,윤일농장,육계,,,충청북도 진천군 덕산읍 화상리 378번지 2호,,,2026-04-07
진천군,은영농장,오리,,,충청북도 진천군 이월면 삼용리 149번지 1호,,,2026-04-07
진천군,은혜커농장,육계,,,충청북도 진천군 초평면 중석리 1707번지,,,2026-04-07
진천군,이삭농장,육계,,,충청북도 진천군 이월면 중산리 631번지 외 1필지,,,2026-04-07
진천군,장곡농장,육계,,,충청북도 진천군 진천읍 행정리 197번지 1호,,,2026-04-07
진천군,장원농장,육계,,,충청북도 진천군 진천읍 상신리 551번지,,,2026-04-07
진천군,정연농장,오리,,,"충청북도 진천군 이월면 삼용리 1168번지 1169, 1170",,,2026-04-07
진천군,정우농장,종계/산란계,,,충청북도 진천군 이월면 삼용리 164번지 1호,,,2026-04-07
진천군,종일농장,오리,,,충청북도 진천군 덕산읍 합목리 359번지 6호,,,2026-04-07
진천군,지암농장,육계,,,충청북도 진천군 진천읍 지암리 1200번지,,,2026-04-07
진천군,진영축산,육계,,,충청북도 진천군 덕산읍 산수리 924번지 925 삼용리 1193 1195 1196,,,2026-04-07
진천군,창성농장,오리,,,충청북도 진천군 덕산읍 인산리 1195번지,,,2026-04-07
진천군,청남농장,메추리,,,충청북도 진천군 광혜원면 실원리 208번지,,,2026-04-07
진천군,초원농장,오리,,,충청북도 진천군 이월면 동성리 881번지,,,2026-04-07
진천군,초평농장,종계/산란계,,,충청북도 진천군 초평면 신통리 211번지,,,2026-04-07
진천군,친친농장,육계,,,충청북도 진천군 덕산읍 용몽리 978번지,,,2026-04-07
진천군,태경농장,육계,,,충청북도 진천군 초평면 용산리 1010번지,,,2026-04-07
진천군,태원농장,육계,,,충청북도 진천군 이월면 삼용리 1099번지,,,2026-04-07
진천군,태진,오리,,,충청북도 진천군 이월면 신월리 685번지 4호,,,2026-04-07
진천군,팔팔농장,육계,,,충청북도 진천군 이월면 동성리 884번지,,,2026-04-07
진천군,하늘농장,육계,,,충청북도 진천군 초평면 용산리 1005번지 외 2필지,,,2026-04-07
진천군,하늘샘농장,산란육성계,,,충청북도 진천군 초평면 오갑리 81번지,,,2026-04-07
진천군,한별농장,육계,,,충청북도 진천군 초평면 중석리 1717번지,,,2026-04-07
진천군,한우리농장,종계/산란계,,,충청북도 진천군 문백면 계산리 산 50번지 1호,,,2026-04-07
진천군,한터농장,육계,,,충청북도 진천군 덕산읍 화상리 203번지,,,2026-04-07
진천군,해든농장,오리,,,충청북도 진천군 초평면 용산리 819번지 외 3필지,,,2026-04-07
진천군,햇살 농장,육계,,,충청북도 진천군 이월면 동성리 840번지,,,2026-04-07
진천군,화산농장,오리,,,충청북도 진천군 이월면 신계리 362번지 2호,,,2026-04-07
진천군,황금농장,종계/산란계,,,"충청북도 진천군 문백면 계산리 508번지 506, 507, 509, 555, 601, 504",,,2026-04-07
진천군,황금농장,육계,,,충청북도 진천군 이월면 사곡리 97번지,,,2026-04-07
