연번,사업장명칭,축종,사업장소재지,사육면적(제곱미터)
6,갈미농장,종계/산란계,충청북도 진천군 이월면 중산리 549번지 1호 갈미농장 ,5040
9,윤일농장,육계,충청북도 진천군 덕산읍 화상리 378번지 2호  ,2927
10,양촌농장,종계/산란계,충청북도 진천군 덕산읍 구산리 192번지 1호  ,3459
11,장곡농장,육계,충청북도 진천군 진천읍 행정리 197번지 1호  ,3333
12,규해농장,육계,충청북도 진천군 진천읍 행정리 357번지  ,980
14,농업회사법인(주)동일농장 이월지점,종계/산란계,충청북도 진천군 이월면 미잠리 250번지  ,2343
22,여명농장,육계,충청북도 진천군 백곡면 대문리 583번지  ,2334
23,정우농장,종계/산란계,충청북도 진천군 이월면 삼용리 164번지 1호  ,2348
24,한터농장,육계,충청북도 진천군 덕산읍 화상리 203번지  ,1574
28,용몽농장,육계,충청북도 진천군 덕산읍 용몽리 276번지 양계장 ,1782
30,비에스에코팜,종계/산란계,충청북도 진천군 덕산읍 인산리 701번지  ,1728
47,한우리농장,종계/산란계,충청북도 진천군 문백면 계산리 산 50번지 1호  ,1765
49,미호농장,오리,"충청북도 진천군 덕산읍 인산리 636번지 1호 637-3,637-2,637-1,636-3,636-2 ",5974
57,백일농장,오리,"충청북도 진천군 진천읍 문봉리 23번지 외 5필지(21,22-1,22-3,24,424-1) ",1885
71,부성농장,오리,충청북도 진천군 이월면 사곡리 233번지  ,2780
83,대승농장,육계,충청북도 진천군 덕산읍 구산리 501번지 9호  ,3525
87,우영농장,오리,충청북도 진천군 덕산읍 석장리 33번지  ,2380
88,유니농장,오리,"충청북도 진천군 덕산읍 화상리 156번지 외 6필지(137-1, 150, 150-1, 150-3, 150-4, 156-3) ",3863
94,사랑오리농장,오리,충청북도 진천군 문백면 계산리 107번지 2호  ,3930
109,선민농장,오리,충청북도 진천군 진천읍 행정리 387번지 1호  ,1886
122,모래봉농장,오리,충청북도 진천군 덕산읍 용몽리 5번지  ,2590
134,꿀물농장,오리,충청북도 진천군 이월면 삼용리  ,3300
139,농업회사법인(주)에버그린 진천지점,종계/산란계,충청북도 진천군 덕산읍 화상리 165번지 외 18필지 ,10621
153,건농장,육계,"충청북도 진천군 덕산읍 인산리 1209번지 , 1210 ",5525
162,엄해열,육계,충청북도 진천군 이월면 신월리 산 92번지 1호  ,660
