거점소독장소순번,거점소독장소명,주소,운영시간,담당자_전화번호,경도,위도
"5804","표선거점소독초소","제주특별자치도 서귀포시 표선면 성읍리 1122-0005","06:00 ~ 22:00","064-760-2793","126.80444",33.37547
"5803","대정임시거점소독초소","제주특별자치도 서귀포시 대정읍 동일리 0705-0000","05:00 ~ 20:00","064-760-2793","126.2487",33.25827
"5802","안덕거점소독초소","제주특별자치도 서귀포시 안덕면 동광리 1497-0058","04:00 ~ 20:00","064-760-2793","126.33457",33.32255
"5801","조천거점초소","제주특별자치도 제주시 조천읍 조천리 1515-0055","05:00 ~ 20:00","064-728-3414","126.64588",33.52753
"5800","상주시 거점소독시설","경상북도 상주시 지천동 0106-0016","04:00 ~ 18:00","054-537-7473","128.15657",36.37253
"5799","구례군 거점소독장소","전라남도 구례군 마산면 사도리 0879-0000","00:00 ~ 24:00","061-780-2394","127.49179",35.20456
"5798","광양시 거점소독시설","전라남도 광양시 봉강면 석사리 0100-0000","05:00 ~ 21:00","061-797-2387","127.57459",34.98136
"5797","담양군 임시 거점소독장소","전라남도 담양군 담양읍 만성리 0420-0002","04:00 ~ 18:00","061-380-2762","126.96915",35.32915
"5795","청양 거점소독시설","충청남도 청양군 청양읍 학당리 산0070-0004","04:00 ~ 20:00","041-940-2975","126.79827",36.47049
"5788","임시거점 및 사료 환적장","전라북도 익산시 함열읍 와리 1547-0000","09:00 ~ 17:00","063-859-5770","126.9637",36.08677
"5782","김해시 주촌 거점소독시설","경상남도 김해시 주촌면 내삼리 1324-0000","04:00 ~ 22:00","055-350-4156","128.816351",35.223933
"5781","동계소독초소","전북특별자치도 순창군 동계면 서호리 0421-0001","08:00 ~ 16:00","063-650-5638","127.23443",35.43215
"5759","칠서IC통제초소","경상남도 함안군 칠서면 무릉리 0799-0001","03:00 ~ 24:00","055-580-4474","128.50959",35.32295
"5754","춘천시 거점소독시설","강원특별자치도 춘천시 신동면 팔미리 0861-0037","00:00 ~ 24:00","033-250-4387","127.69834",37.81317
"5720","노곡리 거점소독소","경기도 연천군 백학면 노곡리 산0143-0011","00:00 ~ 00:00","031-839-2327","126.92026",37.99729
"5715","고금거점소독시설","전라남도 완도군 고금면 청용리 0991-0007","05:00 ~ 21:00","061-550-5726","126.80752",34.41681
"5706","도이리 거점소독시설","경기도 화성시 향남읍 도이리 0668-0000","06:00 ~ 06:00","031-5189-2863","126.92771",37.13589
"5699","포도직판장","전북특별자치도 김제시 용지면 부교리 0039-0000","00:00 ~ 24:00","063-540-3679","126.99176",35.81539
"5698","백산","전북특별자치도 김제시 흥사동 0300-0014","00:00 ~ 24:00","063-540-3679","126.89628",35.82619
"5688","가남 거점소독시설","경기도 여주시 가남읍 삼군리 0220-0004","04:00 ~ 22:00","031-887-2676","127.55666",37.22225
"5687","하동 거점소독시설","경기도 여주시 하동 0376-0002","00:00 ~ 00:00","031-887-2676","127.62707",37.296
"5643","동해시 거점소독시설","강원특별자치도 동해시 초구동 0110-0000","09:00 ~ 18:00","033-539-8141","129.08726",37.57649
"5629","기계면 거점소독시설","경상북도 포항시 북구 기계면 내단리 0296-0000","04:00 ~ 20:00","054-270-2724","129.22031",36.06662
"5628","전주시 방역초소","전북특별자치도 전주시 덕진구 도도동 0013-0007","00:00 ~ 24:00","063-281-5072","127.01813",35.87608
"5624","무주군 거점소독시설","전북특별자치도 무주군 무주읍 가옥리 0300-0000","06:00 ~ 22:00","063-320-2815","127.651371",35.9741965
"5623","양주축협사료 민간거점소독시설","경기도 양주시 덕계동 0172-0002","00:00 ~ 24:00","031-839-9740","127.06066",37.82414
"5619","양동 거점소독시설","경기도 양평군 양동면 단석리 0133-0001","05:00 ~ 21:00","031-770-2334","127.74832",37.40015
"5597","문막 거점소독세척시설","강원특별자치도 원주시 문막읍 대둔리 0221-0000","00:00 ~ 24:00","033-737-4406","127.772805",37.276517
"5591","인월초소","전북특별자치도 남원시 인월면 서무리 0769-0005","00:00 ~ 24:00","063-620-6421","127.59386",35.46135
"5580","춘향골폐차장","전북특별자치도 남원시 사매면 대율리 산0014-0006","00:00 ~ 00:00","063-620-6419","127.36625",35.47349
"5575","청소거점소독소","충청남도 보령시 청소면 신송리 0062-0006","00:00 ~ 24:00","041-930-7922","126.59748",36.45856
"5571","순창 쌍암초소","전북특별자치도 순창군 인계면 쌍암리 0003-0002","00:00 ~ 00:00","063-650-5638","127.14901",35.44027
"5566","안보리 이동통제초소","강원특별자치도 춘천시 서면 안보리 0113-0005","06:00 ~ 18:00","033-250-4377","127.59018",37.83442
"5564","마도 가축분뇨공공처리시설","경기도 화성시 마도면 청원리 1568-0000","07:00 ~ 16:00","031-5189-2863","126.78715",37.17077
"5563","서천군 거점소독시설","충청남도 서천군 마서면 도삼리 0751-0012","06:00 ~ 14:00","041-950-4389","126.739935",36.02026
"5562","연서면 거점소독시설","세종특별자치시  연서면 국촌리 0067-0004","06:00 ~ 14:00","044-300-7636","127.26483",36.57472
"5553","(주)한강식품","경기도 화성시 안녕동 0226-0000","00:00 ~ 00:00","031-5189-2863","127.00314",37.1966
"5552","일죽거점소독시설","경기도 안성시 일죽면 가리 0485-0002","00:00 ~ 24:00","031-678-2604","127.48035",37.07644
"5548","고인돌쉼터 거점소독시설","전북특별자치도 고창군 아산면 봉덕리 0069-0007","00:00 ~ 00:00","063-560-2619","126.6467",35.44043
"5547","흥해거점소독시설","경상북도 포항시 북구 흥해읍 학천리 0004-0000","04:00 ~ 20:00","054-270-2724","129.33551",36.08018
"5543","(임시거점)소독장소(가축시장)","전북특별자치도 정읍시 정우면 우산리 0261-0019","00:00 ~ 24:00","063-539-6383","126.8962",35.62347
"5501","옥천군 거점소독소","충청북도 옥천군 옥천읍 삼양리 0003-0018","00:00 ~ 00:00","043-730-3274","127.56582",36.31156
"5495","해남군 거점소독시설","전라남도 해남군 해남읍 남외리 0550-0001","00:00 ~ 24:00","061-531-3924","126.588",34.56551
"5493","제천시 거점소독소","충청북도 제천시 봉양읍 장평리 0236-0011","00:00 ~ 00:00","043-641-6872","128.15223",37.13401
"5491","포천3초소","경기도 포천시 영북면 자일리 0964-0005","06:00 ~ 14:00","031-538-3874","127.27225",38.12029
"5490","포천2초소","경기도 포천시 창수면 주원리 산0217-0004","06:00 ~ 14:00","031-538-3874","127.15651",38.01676
"5488","강진 소독초소","전북특별자치도 임실군 강진면 학석리 0131-0005","00:00 ~ 24:00","063-640-2873","127.14098",35.55743
"5487","안동시 거점소독시설","경상북도 안동시 풍산읍 노리 0215-0001","00:00 ~ 24:00","054-840-5494","128.63187",36.59066
"5480","군위군 거점소독시설","대구광역시 군위군 군위읍 금구리 0800-0000","03:00 ~ 19:00","053-380-7935","128.56469",36.20725
"5426","홍천군 거점소독시설","강원특별자치도 홍천군 홍천읍 하오안리 0204-0000","00:00 ~ 24:00","033-430-2731","127.84874",37.66803
"5402","안중거점소독소","경기도 평택시 안중읍 안중리 0194-0012","04:00 ~ 20:00","031-8024-3842","126.93997",36.99659
"5390","광천 운용리 거점세척소독시설","충청남도 홍성군 광천읍 운용리 570-3","02:00 ~ 18:00","041-630-1747","126.66142",36.52628
"5367","함양군 축산종합방역소","경상남도 함양군 함양읍 용평리 0915-0202","00:00 ~ 24:00","055-960-8142","127.74502",35.51169
"5365","창원시 축산종합방역소(진북면)","경상남도 창원시 마산합포구 진북면 추곡리 0710-0000","06:00 ~ 20:00","055-225-5681","128.47215",35.16188
"5346","예산수덕사IC","충청남도 예산군 오가면 신석리 0182-0002","03:00 ~ 21:00","041-339-7832","126.77978",36.67528
"5323","속초거점소독시설","강원특별자치도 속초시 대포동 0302-0020","09:00 ~ 18:00","033-639-2417","128.60523",38.17088
"5314","줄포초소","전북특별자치도 부안군 줄포면 신리 0833-0020","00:00 ~ 24:00","063-580-4252","126.69464",35.57581
"5312","천북거점소독소","충청남도 보령시 천북면 신죽리 0214-0002","00:00 ~ 24:00","041-930-7922","126.59355",36.49445
"5308","광주광역시 광산구 임시거점소독시설","광주광역시 광산구 삼도동 0105-0000","09:00 ~ 18:00","062-960-3657","126.68042",35.12682
"5278","동수동거점소독시설","전라남도 나주시 동수동 0144-0021","00:00 ~ 24:00","061-339-7612","126.68242",34.97794
"5261","음성거점소독소","충청북도 음성군 음성읍 신천리 0969-0000","00:00 ~ 24:00","043-871-3712","127.66238",36.92752
"5255","단양군 거점소독소","충청북도 단양군 영춘면 하리 0491-0000","00:00 ~ 00:00","043-420-2744","128.4841",37.06463
"5254","사리거점세척소독시설","충청북도 괴산군 사리면 방축리 0019-0002","00:00 ~ 24:00","043-833-3235","127.65647",36.81226
"5209","거점소독시설(효자리)","충청남도 아산시 도고면 효자리 180-1","10:00 ~ 18:00","041-537-3861","126.85953",36.74052
"5206","영동거점소독소","충청북도 영동군 용산면 율리 0758-0000","00:00 ~ 24:00","043-740-3442","127.80327",36.22253
"5202","진주시 축산종합방역소","경상남도 진주시 진성면 동산리 1370-0007","00:00 ~ 24:00","055-749-6201","128.24073",35.18978
"5201","남계리 거점소독소","경기도 연천군 군남면 남계리 1400-0000","00:00 ~ 24:00","031-839-2327","127.04055",38.02754
"5189","거점소독시설","충청북도 증평군 증평읍 연탄리 0289-0002","00:00 ~ 24:00","043-835-3462","127.56875",36.78398
"5182","완주자원순환센터","전북특별자치도 완주군 화산면 운곡리 0409-0001","08:00 ~ 17:00","063-290-3248","127.187",36.059
"5181","가축시장","전북특별자치도 완주군 고산면 읍내리 0829-0000","08:00 ~ 17:00","063-290-3220","127.205",35.978
"5171","도드람김제FMC(도축전용,민간거점)","전북특별자치도 김제시 백산면 부거리 1583-0006","07:00 ~ 18:00","063-540-3679","126.88616",35.84134
"5165","임실군 거점소독시설","전북특별자치도 임실군 관촌면 슬치리 0263-0002","00:00 ~ 24:00","063-640-2873","127.25382",35.68873
"5155","양산시 축산종합방역소","경상남도 양산시 하북면 용연리 1121-0026","04:00 ~ 20:00","055-392-5393","129.06651",35.43221
"5047","경주시 제 1기 거점소독장소","경상북도 경주시 천북면 신당리 0915-0021","05:00 ~ 21:00","054-779-6301","129.23824",35.89257
"5039","대소 모란식품 거점소독소","충청북도 음성군 대소면 오류리 0534-0039","09:00 ~ 18:00","043-871-3712","127.46907",36.989
"5023","고성군 거점소독시설","경상남도 고성군 고성읍 율대리 0746-0001","00:00 ~ 24:00","055-670-4326","128.33659",34.96811
"5004","금산군 거점소독시설","충청남도 금산군 금산읍 신대리 0422-0001","05:00 ~ 09:00","041-750-2592","127.50119",36.10197
"4923","동부거점소독센터","제주특별자치도 제주시 구좌읍 김녕리 0352-0018","06:00 ~ 20:00","064-728-3413","126.76042",33.55549
"4922","남원거점소독센터","제주특별자치도 서귀포시 남원읍 수망리 산0143-1","06:00 ~ 20:00","064-760-2793","126.69812",33.33998
"4896","알미산 거점소독시설","경기도 안성시 옥산동 0362-0000","00:00 ~ 24:00","031-678-2604","127.25061",37.00358
"4860","거점세척소독시설(석정리)","충청남도 아산시 염치읍 석정리 9-1","04:00 ~ 12:00","041-537-3861","127.00858",36.80328
"4854","산포거점소독시설","전라남도 나주시 산포면 등수리 0062-0003","00:00 ~ 24:00","061-339-7612","126.82866",35.03026
"4853","완주IC","전북특별자치도 완주군 용진읍 상운리 산0008-0004","00:00 ~ 24:00","063-290-3220","127.15298",35.89453
"4848","상주시 분뇨차량 전용 거점소독시설","경상북도 상주시 낙동면 분황리 0464-0005","09:00 ~ 17:00","054-537-7473","128.25909",36.4071
