시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
광주시,건업농장,,12719.0,경기도 광주시 곤지암읍 장심리 294번지,경기도 광주시 곤지암읍 장심리 294,37.3745726445,127.3991729495,200,2021-11-30,육계,20210730.0,
광주시,건업농장(닭),육계,12719.0,경기도 광주시 곤지암읍 광여로 655-120,경기도 광주시 곤지암읍 장심리 294번지,37.374573,127.3991788,500,2019-01-31,닭,,
광주시,경안농장,육계,12764.0,경기도 광주시 역동로 52-133,경기도 광주시 역동 84,127.2491194,37.4034192,50000,2018-03-14,,,
광주시,경안농장,,12764.0,경기도 광주시 역동로 52-133,경기도 광주시 역동 84,37.4034192,127.2491194,33000,2019-05-31,육계,20190510.0,
광주시,경안농장,육계,12764.0,경기도 광주시 역동로 52-133,경기도 광주시 역동 84,127.2491194472,37.403419253,33000,2018-09-30,,,
광주시,경안농장,,,경기도 광주시 역동로 52-133,경기도 광주시 역동 84,37.403419253,127.2491194472,33000,2020-06-30,육계,20200513.0,
광주시,광주농장,,12729.0,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 409-1,37.4118348,127.3070816,65000,2020-04-30,산란계,20190510.0,
광주시,광주농장,,12729.0,경기도 광주시 초월읍 신월리 409-1,경기도 광주시 초월읍 신월리 409-1,37.4108027367,127.3075375101,59000,2025-05-31,산란계,20240531.0,
광주시,광주농장,,12729.0,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 409-1,37.4108027367,127.3075375101,65000,2020-05-31,산란계,20200513.0,
광주시,광주농장,산란계,12729.0,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 409-1,127.307081605,37.4118348774,65000,2018-10-31,,,
광주시,광주농장,산란계,12729.0,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 407번지,37.4108014,127.3075363,50000,2018-12-31,닭,,
광주시,광주농장,산란계,12729.0,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 409-1,127.3070816,37.4118348,70000,2018-03-14,,,
광주시,길샘축산,,12731.0,경기도 광주시 초월읍 동막골길256번길 8,경기도 광주시 초월읍 학동리 88,37.3894704471,127.3400591834,90000,2021-07-31,산란계,20200513.0,
광주시,길샘축산,,12731.0,경기도 광주시 초월읍 동막골길256번길 8,경기도 광주시 초월읍 학동리 88,37.3888951,127.3403568,90000,2019-05-31,산란계,20190510.0,
광주시,길샘축산,,12731.0,경기도 광주시 초월읍 학동리 88,경기도 광주시 초월읍 학동리 88,37.3894704471,127.3400591834,117400,2025-04-30,산란계,20240531.0,
광주시,길샘축산,산란계,12731.0,경기도 광주시 초월읍 동막골길256번길 8,경기도 광주시 초월읍 학동리 78번지,37.3894691,127.3400645,90000,2019-02-28,닭,20181203.0,
광주시,길샘축산,산란계,12731.0,,경기도 광주시 초월읍 학동리 88,127.3403568,37.3888951,120000,2018-03-14,,,
광주시,길샘축산,,12731.0,경기도 광주시 초월읍 동막골길256번길 8,경기도 광주시 초월읍 학동리 88,37.3894704471,127.3400591834,116260,2026-02-26,산란계,20250716.0,
광주시,길샘축산,산란계,12731.0,경기도 광주시 초월읍 동막골길256번길 8,경기도 광주시 초월읍 학동리 88,127.3403568932,37.3888951156,90000,2018-08-31,,,
광주시,닭마을농장,육계,12732.0,,경기도 광주시 초월읍 선동리 405,37.3903183,127.3181707,100,2018-12-31,닭,,
광주시,대승농장,,12735.0,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,37.3841433626,127.2935646921,45000,2021-04-30,산란계,20200513.0,
광주시,대승농장,,12735.0,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,37.3838925,127.2935885,45000,2019-12-31,산란계,20190510.0,
광주시,대승농장,,12735.0,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,37.3841433626,127.2935646921,38400,2026-02-26,산란계,20250716.0,
광주시,대승농장,산란계,12735.0,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,127.2935885075,37.3838925917,45000,2018-08-31,,,
광주시,대승농장,산란계,12735.0,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53번지,37.3841458,127.2935639,45000,2018-12-31,닭,,
광주시,대승농장,산란계,12735.0,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,127.2935885,37.3838925,46000,2018-03-14,,,
광주시,도선농장,산란계,12725.0,경기도 광주시 곤지암읍 내선길 176-12,경기도 광주시 곤지암읍 이선리 428-1,127.421906,37.3601534,40000,2018-04-30,,,
광주시,배나무집,육계,12703.0,경기도 광주시 남한산성면 남한산성로 314-17,경기도 광주시 남한산성면 오전리 432-14번지,37.4595385,127.2201968,45,2018-12-31,닭,,
광주시,배나무집,,12703.0,경기도 광주시 남한산성면 오전리 432-14번지,경기도 광주시 남한산성면 오전리 432-14,37.4595368429,127.220198987,45,2021-09-30,육계,20210730.0,
광주시,성동농원,육계,12712.0,,경기도 광주시 퇴촌면 영동리 346-2,37.4768037,127.3752417,90,2018-12-31,닭,,
광주시,엘림농장,산란계,12720.0,경기도 광주시 곤지암읍 광여로862번길 83,경기도 광주시 곤지암읍 건업리 405-4번지,37.3831845,127.409341,30,2019-01-31,닭,,
