시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
양주시,경희농장,육계,11514.0,경기도 양주시 백석읍 양주산성로 625-42,경기도 양주시 백석읍 복지리 286번지 1호,126.9850479,37.7844278,30000.0,2018-03-14,,,
양주시,경희농장,육계,11514.0,경기도 양주시 백석읍 양주산성로 625-42,경기도 양주시 백석읍 복지리 286번지 1호,37.7839855788,126.9851372845,21000.0,2020-11-30,닭,20200720.0,
양주시,경희농장,육계,11514.0,경기도 양주시 백석읍 양주산성로 625-42,경기도 양주시 백석읍 복지리 286번지 1호,37.7844278,126.9850479,22000.0,2020-06-30,닭,20181205.0,
양주시,경희농장,육계,12654.0,경기도 여주시 주내로 494-15,경기도 여주시 우만동 3-1번지,37.263554,127.6761674,22000.0,2019-01-31,닭,,
양주시,경희농장,육계,11514.0,경기도 양주시 백석읍 양주산성로 625-42,경기도 양주시 백석읍 복지리 286번지 1호,126.9850479294,37.784427878,30000.0,2018-10-31,,,
양주시,경희농장,육계,11514.0,경기도 양주시 양주산성로 625-42,경기도 양주시 백석읍 복지리 286-1,37.7839855788,126.9851372845,77000.0,2021-09-30,닭,20210722.0,
양주시,곡산농장,육계,11427.0,경기도 양주시 은현면 화합로941번길 62-18,경기도 양주시 은현면 선암리 76번지 1호,127.0293491,37.8641056,70000.0,2018-08-31,,,
양주시,곡산농장,육계,11427.0,경기도 양주시 은현면 화합로941번길 62-18,경기도 양주시 은현면 선암리 76번지 1호,37.8641056,127.0293491,60000.0,2019-12-31,닭,20181205.0,
양주시,곡산농장,육계,11427.0,경기도 양주시 은현면 화합로941번길 62-18,경기도 양주시 은현면 선암리 76번지 1호,37.8642675238,127.0287699209,72000.0,2021-06-30,닭,20200720.0,
양주시,곡산농장,육계,11427.0,경기도 양주시 화합로941번길 62-18,경기도 양주시 은현면 선암리 76-1,37.8642675238,127.0287699209,50000.0,2025-04-30,닭,20240222.0,
양주시,곡산농장,육계,12665.0,경기도 여주시 점동면 도리길 170-70,경기도 여주시 점동면 도리 40-2번지,37.2246731,127.7135447,60000.0,2019-01-31,닭,,
양주시,곡산농장,육계,11427.0,경기도 양주시 화합로941번길 62-18,경기도 양주시 은현면 선암리 76-1,37.8642675238,127.0287699209,,2021-09-30,닭,20210722.0,
양주시,곡산농장,육계,11427.0,경기도 양주시 은현면 화합로941번길 62-18,경기도 양주시 은현면 선암리 76번지 1호,127.0293491466,37.864105681,70000.0,2018-10-31,,,
양주시,관우2농장,육계,11516.0,경기도 양주시 양주산성로732번길 69,경기도 양주시 백석읍 가업리 235-1,37.7888849762,126.9761083347,,2021-09-30,닭,20210722.0,
양주시,관우2농장,육계,11516.0,경기도 양주시 양주산성로732번길 69,경기도 양주시 백석읍 가업리 235-1,37.7888849762,126.9761083347,17000.0,2025-08-31,닭,20240222.0,
양주시,관우농장,육계,11516.0,경기도 양주시 양주산성로732번길 154,경기도 양주시 백석읍 가업리 24-1,37.7909843016,126.9800118807,61000.0,2021-11-30,닭,20210722.0,
양주시,관우농장,육계,11516.0,경기도 양주시 백석읍 양주산성로732번길 154,경기도 양주시 백석읍 가업리 24번지 1호,126.9793243463,37.7912830934,50000.0,2018-10-31,,,
양주시,관우농장,육계,11516.0,경기도 양주시 백석읍 양주산성로732번길 154,경기도 양주시 백석읍 가업리 24번지 1호,126.9793243,37.791283,50000.0,2018-08-31,,,
양주시,관우농장,육계,11516.0,경기도 양주시 백석읍 양주산성로732번길 154,경기도 양주시 백석읍 가업리 24번지 1호,37.791283,126.9793243,26000.0,2018-12-31,닭,,
양주시,관우농장,육계,11516.0,경기도 양주시 백석읍 양주산성로732번길 154,경기도 양주시 백석읍 가업리 24번지 1호,37.7909843016,126.9800118807,,2021-04-30,닭,20200720.0,
양주시,관우농장,육계,12653.0,경기도 여주시 농산로 156-1,경기도 여주시 상거동 173-4번지,37.2503623,127.6303904,26000.0,2019-01-31,닭,,
양주시,관우제2농장,육계,11516.0,경기도 양주시 백석읍 가업리 235번지 1호,경기도 양주시 백석읍 가업리 235번지 1호,37.7887867,126.9760782,20000.0,2019-06-30,닭,20181205.0,
양주시,관우제2농장,육계,11516.0,,경기도 양주시 백석읍 가업리 235번지 1호,126.9760782,37.7887867,20000.0,2018-04-30,,,
양주시,관우제2농장,육계,12649.0,경기도 여주시 가남읍 본두3길 67,경기도 여주시 가남읍 본두리 447번지,37.2374442,127.5840004,20000.0,2019-01-31,닭,,
양주시,관우제2농장,육계,11516.0,,경기도 양주시 백석읍 가업리 235번지 1호,126.9760782773,37.788786772,20000.0,2018-10-31,,,
양주시,광승농장,육계,11409.0,경기도 양주시 남면 감악산로83번길 393-25,경기도 양주시 남면 상수리 524번지,126.97951599,37.8676109781,100.0,2018-10-31,,,
양주시,광승농장,육계,11409.0,경기도 양주시 남면 감악산로83번길 393-25,경기도 양주시 남면 상수리 524번지,37.8676109,126.9795159,100.0,2018-12-31,닭,,
양주시,광승농장,육계,11409.0,경기도 양주시 남면 감악산로83번길 393-25,경기도 양주시 남면 상수리 524번지,126.9795159,37.8676109,100.0,2018-04-30,,,
양주시,광승농장,육계,12634.0,경기도 여주시 칠산길 97,경기도 여주시 상동 509번지,37.2857164,127.6474745,100.0,2019-01-31,닭,,
양주시,금성농장,산란계,11426.0,경기도 양주시 은현면 은남로203번길 96-28,경기도 양주시 은현면 봉암리 84번지,127.0101582011,37.8966862259,30000.0,2018-10-31,,,
양주시,금성농장,육계,11494.0,경기도 양주시 만송로366번길 139,경기도 양주시 만송동 58번지 21호,127.0991752681,37.7888405782,81000.0,2018-10-31,,,
양주시,금성농장,육계,11494.0,경기도 양주시 만송로366번길 139,경기도 양주시 만송동 58-21,37.7892532527,127.0999122026,40000.0,2026-02-26,닭,20240222.0,
양주시,금성농장,육계,11494.0,경기도 양주시 만송로366번길 139 (만송동),경기도 양주시 만송동 58번지 21호,37.7892532527,127.0999122026,,2020-11-30,닭,20200720.0,
양주시,금성농장,육계,11494.0,경기도 양주시 만송로366번길 139,경기도 양주시 만송동 58번지 21호,37.7888405,127.0991752,55000.0,2020-06-30,닭,20181205.0,
양주시,금성농장,육계,11494.0,경기도 양주시 만송로366번길 139,경기도 양주시 만송동 58번지 21호,127.0991752,37.7888405,81000.0,2018-04-30,,,
양주시,금성농장,산란계,11426.0,경기도 양주시 은현면 은남로203번길 96-28,경기도 양주시 은현면 봉암리 84번지,127.0101582,37.8966862,40000.0,2018-04-30,,,
양주시,금성농장,산란계,11426.0,경기도 양주시 은현면 은남로203번길 96-28,경기도 양주시 은현면 봉암리 84번지,37.8966862,127.0101582,30000.0,2020-06-30,닭,20181205.0,
양주시,금성농장,육계,12654.0,경기도 여주시 신단2길 151-41,경기도 여주시 우만동 19-2번지,37.2629698,127.6743247,55000.0,2019-01-31,닭,,
양주시,금성농장,산란계,12606.0,경기도 여주시 복대1리 435-2,경기도 여주시 흥천면 복대1리 435-2,37.3602066,127.5282251,30000.0,2019-01-31,닭,,
양주시,금성농장,육계,11494.0,경기도 양주시 만송로366번길 139,경기도 양주시 만송동 58-21,37.7892532527,127.0999122026,,2021-09-30,닭,20210722.0,
양주시,꼬꼬농장,산란계,11426.0,경기도 양주시 은현면 은현로 138-77,경기도 양주시 은현면 하패리 623,37.8820086898,127.0251658255,13700.0,2025-08-31,닭,20240222.0,
양주시,나리농장,육계,12654.0,경기도 여주시 명성로 244,경기도 여주시 능현동 334-9번지,37.2702236,127.6581318,35000.0,2019-01-31,닭,,
양주시,나리농장,육계,11426.0,경기도 양주시 은현면 은현로242번길 19,경기도 양주시 은현면 하패리 686번지 1호,37.8905762,127.0239245,35000.0,2020-04-30,닭,20181205.0,
양주시,나리농장,육계,11426.0,경기도 양주시 은현면 은현로242번길 19,경기도 양주시 은현면 하패리 686번지 1호,127.023924581,37.8905762481,35000.0,2018-09-30,,,
양주시,나리농장,육계,11426.0,경기도 양주시 은현면 은현로242번길 19,경기도 양주시 은현면 하패리 686번지 1호,127.0239245,37.8905762,35000.0,2018-04-30,,,
양주시,나리농장,육계,11426.0,경기도 양주시 은현면 은현로242번길 19,경기도 양주시 은현면 하패리 686번지 1호,37.8906831125,127.0239045902,,2021-06-30,닭,20200720.0,
양주시,나사로농장,육계,11411.0,,경기도 양주시 광적면 효촌리 425번지 3호,126.9536599,37.8866307,700.0,2018-04-30,,,
양주시,노고산목장,산란계,11411.0,경기도 양주시 광적면 화합로74번길 227,경기도 양주시 광적면 효촌리 639번지,37.8488631006,126.9381067556,61000.0,2020-11-30,닭,20200720.0,
양주시,다솜농장,산란계,11426.0,경기도 양주시 은현면 은현로312번길 150-16,경기도 양주시 은현면 하패리 757번지 1호,37.8944780592,127.0262572098,37400.0,2020-11-30,닭,20200720.0,
양주시,다솜농장,산란계,11413.0,경기도 양주시 남면 현석로785번길 123-34,경기도 양주시 남면 경신리 204-3,37.8561599316,126.978440361,35000.0,2021-09-30,닭,20210722.0,
양주시,대연농장,육계,11475.0,경기도 양주시 율정동 78번지 2호,경기도 양주시 율정동 78번지 2호,37.8174494,127.1053452,22000.0,2019-05-31,닭,20181205.0,
양주시,대연농장,육계,11475.0,,경기도 양주시 율정동 78번지 2호,127.1053452,37.8174494,33000.0,2018-03-14,,,
양주시,대연농장,육계,11475.0,,경기도 양주시 율정동 78번지 2호,127.1053452188,37.8174494258,33000.0,2018-09-30,,,
양주시,대연농장,육계,12634.0,경기도 여주시 연양길 28,경기도 여주시 연양동 207번지,37.2828293,127.6693254,22000.0,2019-01-31,닭,,
양주시,대풍농장,산란계,11413.0,경기도 양주시 남면 화합로430번길 330,경기도 양주시 남면 경신리 243번지 1호,126.9776799,37.8527811,50.0,2018-04-30,,,
양주시,대풍농장,산란계,11413.0,경기도 양주시 남면 화합로430번길 330,경기도 양주시 남면 경신리 243번지 1호,126.9776799527,37.8527811642,50.0,2018-09-30,,,
양주시,도하 2농장,산란계,11431.0,경기도 양주시 은현면 도하리 250-1번지,경기도 양주시 은현면 도하리 250-1번지,37.8445579,127.0114368,30000.0,2020-06-30,닭,20181205.0,
양주시,도하 2농장,산란계,12614.0,경기도 여주시 북내면 당전로 503-1,경기도 여주시 북내면 중암리 426-1번지,37.35074,127.7138735,30000.0,2019-01-31,닭,,
양주시,도하 2농장,산란계,11431.0,,경기도 양주시 은현면 도하리 250번지,127.0110734,37.8451436,30000.0,2018-08-31,,,
양주시,도하 2농장,산란계,11431.0,,경기도 양주시 은현면 도하리 250번지,127.011073405,37.8451436115,30000.0,2018-10-31,,,
양주시,도하2농장,산란계,11431.0,경기도 양주시 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206,37.8460390961,127.0122801477,10000.0,2026-02-26,닭,20240222.0,
양주시,도하2농장,산란계,11431.0,경기도 양주시 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206,37.8460390961,127.0122801477,,2021-11-30,닭,20210722.0,
양주시,도하농장,산란계,11431.0,경기도 양주시 은현면 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206번지,37.8460264,127.0119824,40000.0,2018-12-31,닭,,
양주시,도하농장,산란계,11431.0,경기도 양주시 은현면 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206번지,127.0119824171,37.846026466,40000.0,2018-10-31,,,
양주시,도하농장,산란계,11431.0,경기도 양주시 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206,37.8460390961,127.0122801477,30000.0,2025-04-30,닭,20240222.0,
양주시,도하농장,산란계,12609.0,경기도 여주시 대신면 옥촌3길 76-24,경기도 여주시 대신면 옥촌리 303-10번지,37.3957879,127.6177782,40000.0,2019-01-31,닭,,
양주시,도하농장,산란계,11431.0,경기도 양주시 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206,37.8460390961,127.0122801477,35000.0,2021-11-30,닭,20210722.0,
양주시,도하농장,산란계,11431.0,경기도 양주시 은현면 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206번지,37.8460390961,127.0122801477,54000.0,2021-06-30,닭,20200720.0,
양주시,도하농장,산란계,11431.0,경기도 양주시 은현면 그루고개로426번길 60-6,경기도 양주시 은현면 도하리 206번지,127.0119824,37.8460264,40000.0,2018-04-30,,,
양주시,두꺼비농장,육계,11489.0,,경기도 양주시 광사동 533번지 1호,127.0662634,37.7750423,400.0,2018-04-30,,,
양주시,두꺼비농장,육계,11489.0,,경기도 양주시 광사동 533번지 1호,127.0662634516,37.7750423075,400.0,2018-10-31,,,
양주시,두리농장,산란계,11426.0,경기도 양주시 은현면 은남로 160-74,경기도 양주시 은현면 봉암리 42번지 2호,127.0075656,37.8913528,20000.0,2018-04-30,,,
양주시,두리농장,산란계,11426.0,경기도 양주시 은현면 은남로 160-74,경기도 양주시 은현면 봉암리 42번지 2호,127.0075656829,37.8913528368,20000.0,2018-10-31,,,
양주시,두영농장,산란계,11426.0,,경기도 양주시 은현면 봉암리 449번지,127.0059287519,37.8942178565,15000.0,2018-10-31,,,
양주시,두영농장,산란계,11426.0,,경기도 양주시 은현면 봉암리 449번지,127.0059287,37.8942178,15000.0,2018-03-14,,,
양주시,만송농장,육계,11494.0,경기도 양주시 만송로367번길 115 (만송동),경기도 양주시 만송동 210번지,37.7957505393,127.0942888486,40000.0,2020-11-30,닭,20200720.0,
양주시,만송농장,육계,11494.0,경기도 양주시 만송로367번길 115,경기도 양주시 만송동 210번지,37.795674,127.0938138,40000.0,2020-06-30,닭,20181205.0,
양주시,만송농장,육계,11494.0,경기도 양주시 만송로367번길 115,경기도 양주시 만송동 210번지,127.0938138,37.795674,30000.0,2018-08-31,,,
양주시,만송농장,육계,11494.0,경기도 양주시 만송로367번길 115,경기도 양주시 만송동 210번지,37.7957505393,127.0942888486,,2021-09-30,닭,20210722.0,
양주시,만송농장,육계,11494.0,경기도 양주시 만송로367번길 115,경기도 양주시 만송동 210,37.7957505393,127.0942888486,39000.0,2025-08-31,닭,20240222.0,
양주시,만송농장,육계,11494.0,경기도 양주시 만송로367번길 115,경기도 양주시 만송동 210번지,127.0938138291,37.7956740227,30000.0,2018-10-31,,,
양주시,만송농장,육계,12606.0,경기도 여주시 흥천면 군위실길 36,경기도 여주시 흥천면 다대리 405번지,37.3362938,127.5200694,40000.0,2019-01-31,닭,,
양주시,무궁화농장,산란계,11427.0,경기도 양주시 은현면 은현로56번길 127,경기도 양주시 은현면 선암리 367번지,37.8765885131,127.0288165178,60000.0,2021-11-30,닭,20210722.0,
양주시,무궁화농장,산란계,11427.0,경기도 양주시 은현면 은현로56번길 127,경기도 양주시 은현면 선암리 367,37.8765885131,127.0288165178,42000.0,2025-05-31,닭,20240222.0,
양주시,무궁화농장,산란계,11427.0,경기도 양주시 은현면 은현로56번길 127,경기도 양주시 은현면 선암리 367번지,37.8762775,127.0282964,70000.0,2019-12-31,닭,20181205.0,
양주시,무궁화농장,산란계,12655.0,경기도 여주시 가남읍 신해2길 15-10,경기도 여주시 가남읍 신해리 136-1번지,37.2253608,127.5481445,70000.0,2019-01-31,닭,,
양주시,무궁화농장,산란계,11427.0,경기도 양주시 은현면 은현로56번길 127,경기도 양주시 은현면 선암리 367번지,127.0282964,37.8762775,70000.0,2018-04-30,,,
양주시,무궁화농장,산란계,11427.0,경기도 양주시 은현면 은현로56번길 127,경기도 양주시 은현면 선암리 367번지,37.8765885131,127.0288165178,63000.0,2020-11-30,닭,20200720.0,
양주시,무궁화농장,산란계,11427.0,경기도 양주시 은현면 은현로56번길 127,경기도 양주시 은현면 선암리 367번지,127.0282964543,37.8762775608,70000.0,2018-10-31,,,
양주시,백산농장,육계,11424.0,경기도 양주시 광적면 부흥로230번길 262-46,경기도 양주시 광적면 비암리 96번지,37.8022023,126.9332775,21000.0,2019-05-31,닭,20181205.0,
양주시,백산농장,육계,11424.0,경기도 양주시 광적면 부흥로230번길 262-46,경기도 양주시 광적면 비암리 96번지,37.8022707043,126.9335299903,21000.0,2020-11-30,닭,20200720.0,
양주시,백산농장,육계,11424.0,경기도 양주시 부흥로230번길 262-46,경기도 양주시 광적면 비암리 96,37.8022707043,126.9335299903,30000.0,2025-07-31,닭,20240222.0,
양주시,백산농장,육계,11424.0,경기도 양주시 광적면 부흥로230번길 262-46,경기도 양주시 광적면 비암리 96번지,126.9332775055,37.8022023875,15000.0,2018-10-31,,,
양주시,백산농장,육계,11424.0,경기도 양주시 광적면 부흥로230번길 262-46,경기도 양주시 광적면 비암리 96번지,126.9332775,37.8022023,15000.0,2018-08-31,,,
