시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
용인시,강릉농장,육계,17142.0,,경기도 용인시 처인구 해곡동 84번지,127.2743176,37.1807214,30000,2018-03-14,,,
용인시,강릉농장,육계,17142.0,,경기도 용인시 처인구 해곡동 84번지,37.1807214,127.2743176,30000,2021-09-30,닭,20181206.0,
용인시,계성농장,육계,17172.0,경기도 용인시 처인구 백암면 덕평로26번길 109,경기도 용인시 처인구 백암면 백암리 72번지,37.1776169,127.3784438,55000,2020-06-30,닭,20181206.0,
용인시,계성농장,육계,17172.0,경기도 용인시 처인구 백암면 덕평로26번길 109,경기도 용인시 처인구 백암면 백암리 72번지,127.3784438,37.1776169,55000,2018-09-30,,,
용인시,계성농장,육계,17172.0,경기도 용인시 처인구 백암면 덕평로26번길 109,경기도 용인시 처인구 백암면 백암리 72번지,37.1777235226,127.3785831842,55000,2025-07-31,닭,20230531.0,
용인시,권일농장,육계,17123.0,경기도 용인시 처인구 남사면 방아로 49-38,경기도 용인시 처인구 남사면 방아리 169-8번지,37.1179822209,127.1686573504,36650,2025-08-31,닭,20230531.0,
용인시,권일농장,육계,17123.0,경기도 용인시 처인구 남사면 방아로 49-38,경기도 용인시 처인구 남사면 방아리 169-8번지,37.1178972,127.168631,36650,2021-11-30,닭,20181206.0,
용인시,권일농장,육계,17123.0,경기도 용인시 처인구 남사면 방아로 49-38,경기도 용인시 처인구 남사면 방아리 169번지 8호,127.168631,37.1178972,36650,2018-08-31,,,
용인시,금수농장,육계,17134.0,경기도 용인시 처인구 이동읍 백옥대로260번길 32-8,경기도 용인시 처인구 이동읍 시미리 86-1번지,37.1618931,127.2101572,41000,2020-11-30,닭,20181206.0,
용인시,금수농장,육계,17134.0,경기도 용인시 처인구 이동읍 백옥대로260번길 32-8,경기도 용인시 처인구 이동읍 시미리 86-1번지,37.1620817627,127.2108134022,41000,2025-04-30,닭,20230531.0,
용인시,금수농장,육계,17134.0,경기도 용인시 처인구 이동면 백옥대로260번길 32-8,경기도 용인시 처인구 이동면 시미리 86번지 1호,127.2101572,37.1618931,41000,2018-10-31,,,
용인시,금어농장,육계,17030.0,경기도 용인시 처인구 포곡읍 금어로430번길 24-24,경기도 용인시 처인구 포곡읍 금어리 327-2번지,37.2810486,127.25517,15000,2019-06-30,닭,20181206.0,
용인시,금어농장,육계,17030.0,경기도 용인시 처인구 포곡읍 금어로430번길 24-24,경기도 용인시 처인구 포곡읍 금어리 327-2번지,37.2811676185,127.2552665339,15000,2026-01-31,닭,20230531.0,
용인시,금어농장,육계,17030.0,경기도 용인시 처인구 포곡읍 금어로430번길 24-24,경기도 용인시 처인구 포곡읍 금어리 327번지 2호 3통 8반,127.25517,37.2810486,15000,2018-09-30,,,
용인시,길상농장,육계,17175.0,경기도 용인시 처인구 원삼면 보개원삼로 2044-11,경기도 용인시 처인구 원삼면 두창리 150번지,127.3296658,37.1703639,27500,2018-09-30,,,
용인시,길상농장,육계,17175.0,경기도 용인시 처인구 원삼면 보개원삼로 2044-11,경기도 용인시 처인구 원삼면 두창리 149번지,37.1701209,127.3295859,27500,2019-05-31,닭,20181206.0,
용인시,김*범,육계,17131.0,,경기도 용인시 처인구 이동면 묵리 809번지,127.2329024,37.1927748,4000,2018-04-30,,,
용인시,김*성,육계,17118.0,경기도 용인시 처인구 남사면 천덕산로111번길 88,경기도 용인시 처인구 남사면 봉명리 620번지,127.1203277,37.1180901,40000,2018-03-14,,,
용인시,김기범,육계,17131.0,,경기도 용인시 처인구 이동읍 묵리 809번지,37.1927748,127.2329024,4000,2019-12-31,닭,20181206.0,
용인시,김기범,육계,17131.0,경기도 용인시 처인구 이동읍 묵리 809번지,경기도 용인시 처인구 이동읍 묵리 809번지,37.1927748925,127.2329024107,4000,2026-02-26,닭,20230531.0,
용인시,김진성,육계,17118.0,경기도 용인시 처인구 남사면 천덕산로111번길 88,경기도 용인시 처인구 남사면 봉명리 617번지,37.1176494,127.1194719,40000,2021-09-30,닭,20181206.0,
용인시,김진성,육계,17118.0,경기도 용인시 처인구 남사면 천덕산로111번길 88,경기도 용인시 처인구 남사면 봉명리 617번지,37.1177905233,127.1197945656,40000,2025-08-31,닭,20230531.0,
용인시,꼬꼬농장,육계,17175.0,경기도 용인시 처인구 원삼면 원양로442번길 203-15,경기도 용인시 처인구 원삼면 가재월리 281번지,37.1794752,127.3223967,50000,2021-11-30,닭,20181206.0,
용인시,꼬꼬농장,육계,17175.0,경기도 용인시 처인구 원삼면 원양로442번길 203-15,경기도 용인시 처인구 원삼면 가재월리 281번지,127.3223967,37.1794752,50000,2018-03-14,,,
용인시,꼬꼬농장,육계,17175.0,경기도 용인시 처인구 원삼면 원양로442번길 203-15,경기도 용인시 처인구 원삼면 가재월리 281번지,37.1795724255,127.3222526525,50000,2025-05-31,닭,20230531.0,
용인시,낙은농장,산란계,17045.0,경기도 용인시 처인구 낙은로 94-18,경기도 용인시 처인구 역북동 248번지,37.2443007,127.1948745,20000,2019-12-31,닭,20181206.0,
용인시,낙은농장,산란계,17045.0,경기도 용인시 처인구 낙은로 94-18,경기도 용인시 처인구 역북동 248번지,127.1948745,37.2443007,22000,2018-03-14,,,
용인시,남사농장,육계,17118.0,경기도 용인시 처인구 남사면 봉무로218번길 32,경기도 용인시 처인구 남사면 봉무리 152-1번지,37.1325359,127.1578029,30000,2021-07-31,닭,20181206.0,
용인시,남사농장,육계,17118.0,경기도 용인시 처인구 남사면 봉무로218번길 32,경기도 용인시 처인구 남사면 봉무리 152-1번지,37.13284259,127.1577168165,30000,2026-02-26,닭,20230531.0,
용인시,남사농장,육계,17118.0,경기도 용인시 처인구 남사면 봉무로218번길 32,경기도 용인시 처인구 남사면 봉무리 153번지,127.1581631,37.1325895,30000,2018-08-31,,,
용인시,남산농장,육계,17123.0,경기도 용인시 처인구 이동읍 어진로 892,경기도 용인시 처인구 이동읍 어비리 321-11번지,37.1084557,127.2027101,100000,2021-11-30,닭,20181206.0,
용인시,남산농장,육계,17123.0,경기도 용인시 처인구 이동읍 어진로 892,경기도 용인시 처인구 이동읍 어비리 321-11번지,37.1085265786,127.2027672719,100000,2026-01-31,닭,20230531.0,
용인시,남산농장,육계,17123.0,경기도 용인시 처인구 이동면 어진로 892,경기도 용인시 처인구 이동면 어비리 321번지 12호,127.202968,37.1081219,100000,2018-08-31,,,
용인시,노동오리농장,육계,17173.0,,경기도 용인시 처인구 백암면 근곡리 산 36번지 7호,37.1813949,127.3570889,3000,2020-01-31,오리,20181206.0,
용인시,노동오리농장,육계,17173.0,경기도 용인시 처인구 백암면 근곡리 산 36번지 7호,경기도 용인시 처인구 백암면 근곡리 산 36번지 7호,37.1814221847,127.3570328192,3000,2026-01-31,오리,20230531.0,
용인시,노동오리농장,,17173.0,,경기도 용인시 처인구 백암면 근곡리 산 36번지 7호,37.1813949,127.3570889,3000,2018-12-31,오리,,
용인시,놀부농장,육계,17182.0,경기도 용인시 처인구 백암면 삼백로 657,경기도 용인시 처인구 백암면 용천리 382-3번지,37.1297304,127.3714775,35000,2021-04-30,닭,20181206.0,
용인시,놀부농장,육계,17182.0,경기도 용인시 처인구 백암면 삼백로 657,경기도 용인시 처인구 백암면 용천리 382-3번지,37.129688866,127.3718825776,35000,2026-02-26,닭,20230531.0,
용인시,놀부농장,육계,17182.0,경기도 용인시 처인구 백암면 삼백로 657,경기도 용인시 처인구 백암면 용천리 382번지 3호,127.3714775,37.1297304,35000,2018-08-31,,,
용인시,농업법인회사조인(주),육계,,경기도 용인시 기흥구 보정동 442번지 8호,경기도 용인시 기흥구 보정동 442번지 8호,,,0,2025-08-31,닭,20230531.0,
용인시,농업회사법인 주식회사 다원팜,산란계,17183.0,경기도 용인시 처인구 백암면 옥산로 40-16,경기도 용인시 처인구 백암면 옥산리 476번지 4호 외1필지(476-7),37.1054891,127.4056944,360000,2019-05-31,닭,20181206.0,
용인시,농업회사법인 주식회사 다원팜,산란계,17183.0,경기도 용인시 처인구 백암면 옥산로 40-16,경기도 용인시 처인구 백암면 옥산리 476번지 4호 외1필지(476-7),127.4056944,37.1054891,300000,2018-08-31,,,
용인시,농업회사법인 주식회사 다원팜,산란계,17183.0,경기도 용인시 처인구 백암면 옥산로 40-16,경기도 용인시 처인구 백암면 옥산리 476번지 4호 외1필지(476-7),37.1051754521,127.4065314379,360000,2025-08-31,닭,20230531.0,
