시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
파주시,-,산란계,10955.0,,경기도 파주시 광탄면 용미리 159-12,126.8817299,37.7447881,10000.0,2018-03-14,,,
파주시,B농장,,10808.0,경기도 파주시 문산읍 마정리 455-2,경기도 파주시 문산읍 마정리 455-2,37.8957374527,126.7577308673,68500.0,2021-11-30,닭-육계,20210702.0,
파주시,DMZ황금알농장,산란계,10800.0,,경기도 파주시 진동면 하포리 623번지,37.9238797729,126.8129430157,,2026-01-31,닭,20250715.0,
파주시,DMZ황금알농장,,10800.0,경기도 파주시 진동면 하포리 623,경기도 파주시 진동면 하포리 623,37.9237952247,126.8128895651,500.0,2021-07-31,닭-토종닭,20210702.0,
파주시,DMZ황금알농장,산란계,10800.0,,경기도 파주시 진동면 하포리 623번지,37.9237952,126.8128895,1000.0,2018-12-31,닭,,
파주시,JC농장,닭,10826.0,경기도 파주시 법원읍 초리골길 76-42,경기도 파주시  법원읍 법원리 396-1,37.8492548703,126.8883071836,110.0,2021-04-30,"관상계, 닭",20200706.0,
파주시,가월농장,산란계,10803.0,,경기도 파주시 적성면 가월리 198번지 등2(1526),37.9619558663,126.9105266913,,2025-07-31,닭,20250715.0,
파주시,가월농장,산란계,10803.0,경기도 파주시 적성면 칠중7길 240,경기도 파주시 적성면 가월리 198,37.9614981045,126.9105432587,48000.0,2021-04-30,산란계,20200706.0,
파주시,가월농장,,,경기도 파주시 적성면 가월리 1526(칠중7길 240),경기도 파주시 적성면 가월리 1526(칠중7길 240),37.9619580068,126.9100270677,39000.0,2021-07-31,닭-산란계,20210702.0,
파주시,가월농장,산란계,10803.0,경기도 파주시 적성면 칠중7길 240,경기도 파주시 적성면 가월리 198번지,37.961571,126.9106306,48000.0,2020-01-31,닭,20181129.0,
파주시,가월농장,산란계,,,경기도 파주시 적성면 가월리  1526,37.9619850524,126.9100497922,42000.0,2025-04-30,닭,20240227.0,
파주시,가월농장,산란계,10803.0,경기도 파주시 적성면 칠중7길 240,경기도 파주시 적성면 가월리 198,126.9106306,37.961571,48000.0,2018-10-31,,,
파주시,갈현목장,,10860.0,경기도 파주시 탄현면 갈현리 1184(장릉로 157),경기도 파주시 탄현면 갈현리 1184(장릉로 157),37.7652147402,126.7065144336,2.0,2021-11-30,닭-토종닭,20210702.0,
파주시,강치영,,10844.0,경기도 파주시 월롱면 덕은리 928,경기도 파주시 월롱면 덕은리 928,37.8195583569,126.7640932826,6.0,2021-07-31,닭-토종닭,20210702.0,
파주시,강현농장,,10801.0,경기도 파주시 적성면 답곡리 506(장마루16길 346-38),경기도 파주시 적성면 답곡리 506(장마루16길 346-38),37.9493303692,126.855472526,18350.0,2021-09-30,닭-육계,20210702.0,
파주시,강현농장,육계,10801.0,경기도 파주시 적성면 장마루16길 346-38,경기도 파주시 적성면 답곡리 506번지,126.8551131,37.949406,20000.0,2018-04-30,,,
파주시,강현농장,육계,10801.0,경기도 파주시 적성면 장마루16길 346-38,경기도 파주시 적성면 답곡리 506번지,37.949406,126.8551131,20000.0,2020-04-30,닭,20181129.0,
파주시,강현농장,육계,10801.0,경기도 파주시 적성면 장마루16길 346-38,경기도 파주시 적성면 답곡리 506번지,37.9493300575,126.8554156194,,2026-02-26,닭,20250715.0,
파주시,강현농장,육계,10801.0,경기도 파주시 적성면 장마루16길 346-38,경기도 파주시 적성면 답곡리 506,37.9493303692,126.855472526,18500.0,2020-11-30,육계,20200706.0,
파주시,고령농원,,10953.0,경기도 파주시 광탄면 영장리 183-2(보광로666번길 34),경기도 파주시 광탄면 영장리 183-2(보광로666번길 34),37.7651781347,126.9053608767,50.0,2021-07-31,닭-토종닭,20210702.0,
파주시,고산농장,산란계,10801.0,경기도 파주시 파평면 술이홀로 1976-11,경기도 파주시 파평면 덕천리 1-2,126.9046108,37.93607,10000.0,2018-09-30,,,
파주시,고은농장,산란계,10951.0,,경기도 파주시 광탄면 창만리 499번지,37.7981131,126.8559713,6000.0,2019-07-31,닭,20181129.0,
파주시,고창농장,육계,10950.0,,경기도 파주시 조리읍 뇌조리 132번지 8호,37.7510878,126.8146482,300.0,2020-04-30,닭,20181129.0,
파주시,고창농장,토종닭,10950.0,,경기도 파주시 조리읍 뇌조리 132-8,37.7510878443,126.8146482492,700.0,2020-11-30,토종닭,20200706.0,
파주시,고창농장,산란계,10950.0,,경기도 파주시 조리읍 뇌조리  132-8,37.7510878443,126.8146482492,600.0,2025-05-31,닭,20240227.0,
파주시,고창농장,육계,10950.0,,경기도 파주시 조리읍 뇌조리 132-8,37.7512117875,126.8146871176,,2025-07-31,닭,20250715.0,
파주시,교하농장,육계,10864.0,경기도 파주시 장명산길 124-22,경기도 파주시 오도동 산 21번지,37.7497033,126.7327628,1000.0,2019-07-31,닭,20181129.0,
파주시,교하농장,육계,,,경기도 파주시 오도동 산 21번지,126.7187868,37.7429583,1000.0,2018-03-14,,,
파주시,구구농장,,10804.0,경기도 파주시 적성면 장현리 42-2(산덕골길 108),경기도 파주시 적성면 장현리 42-2(산덕골길 108),37.9878394862,126.9847294385,10000.0,2021-07-31,닭-산란계,20210702.0,
파주시,구구농장,산란계,10804.0,경기도 파주시 적성면 산덕골길 109,경기도 파주시 적성면 장현리 44-1,37.9873893574,126.9848464647,,2026-01-31,닭,20250715.0,
파주시,구구농장,산란계,10804.0,경기도 파주시 적성면 산덕골길 108,경기도 파주시 적성면 장현리 42번지 2호,37.9879306,126.9843726,25000.0,2019-12-31,닭,20181129.0,
파주시,구구농장,산란계,10804.0,경기도 파주시 적성면 산덕골길 108,경기도 파주시 적성면 장현1리 42-2,126.9843726,37.9879306,17000.0,2018-09-30,,,
파주시,구구농장,산란계,10804.0,경기도 파주시 적성면 산덕골길 108,경기도 파주시 적성면 장현1리  42-2,37.9878394862,126.9847294385,15000.0,2020-11-30,산란계,20200706.0,
파주시,구구농장,산란계,10804.0,경기도 파주시 적성면 산덕골길 108,경기도 파주시 적성면 장현리 42-2,37.9878394862,126.9847294385,19000.0,2025-04-30,닭,20240227.0,
파주시,구구양계장,산란계,10833.0,,경기도 파주시 파주읍 향양3리 136,126.8233341,37.8566651,12000.0,2018-10-31,,,
파주시,구구양계장,산란계,10833.0,,경기도 파주시 파주읍 향양리 136번지,37.8566651,126.8233341,12000.0,2018-12-31,닭,,
파주시,구구파평농장,산란계,10801.0,경기도 파주시 파평면 파산서원길 215,경기도 파주시 파평면 덕천리 491번지 1호,37.9376286,126.8533052,52000.0,2019-02-28,닭,20181129.0,
파주시,구구파평농장,산란계,10801.0,경기도 파주시 파평면 파산서원길 215,경기도 파주시 파평면 덕천리 491-1,126.8533052,37.9376286,65000.0,2018-10-31,,,
파주시,구구파평농장,산란계,10801.0,경기도 파주시 파평면 파산서원길 215,경기도 파주시 파평면 덕천리  491-1,37.9377478173,126.8536390751,65000.0,2021-04-30,산란계,20200706.0,
파주시,구자화농장,육계,10867.0,경기도 파주시 하지석길 270-66,경기도 파주시 하지석동 174번지 1호,37.7565034,126.7480121,35000.0,2020-06-30,닭,20181129.0,
파주시,구자화농장,육계,10867.0,경기도 파주시 하지석길 270-66,경기도 파주시 하지석동 174번지 1호,126.7480121,37.7565034,35000.0,2018-09-30,,,
파주시,굿모닝농장,육계,10825.0,,경기도 파주시 법원읍 동문리 214-1,37.8725193229,126.8603425945,,2025-07-31,닭,20250715.0,
파주시,굿모닝농장,육계,10825.0,,경기도 파주시 법원읍 동문리  214-1,37.8723830486,126.8603361088,4000.0,2025-05-31,닭,20240227.0,
파주시,궂모닝농장,육계,10825.0,,경기도 파주시 법원읍 동문리 214번지 1호,126.8602791,37.872437,3500.0,2018-09-30,,,
파주시,궂모닝농장,육계,10825.0,,경기도 파주시 법원읍 동문리 214번지 1호,37.872437,126.8602791,3500.0,2019-05-31,닭,20181129.0,
파주시,궂모닝농장,토종닭,10825.0,경기도 파주시 법원읍 못말길 119-99,경기도 파주시 법원읍 동문리 216,37.8725652378,126.860007725,1500.0,2021-04-30,토종닭,20200706.0,
파주시,궂모닝농장,육계,15521.0,경기도 안산시 상록구 비석거리길 23,경기도 안산시 상록구 건건동 861-3(비석거리길 23),126.9064564158,37.3025063277,3500.0,2018-10-31,,,
파주시,권혁길,,10857.0,경기도 파주시 탄현면 낙하리 198(동오리길 234),경기도 파주시 탄현면 낙하리 198(동오리길 234),37.8401259094,126.7343863851,25.0,2021-09-30,닭-토종닭,20210702.0,
파주시,그린환경,산란계,10804.0,,경기도 파주시 적성면 객현리 187번지,37.9722104,126.9551847,20000.0,2019-02-28,닭,20181129.0,
파주시,금양농장,육계,10833.0,경기도 파주시 파주읍 바리골길 305-29,경기도 파주시 파주읍 향양리 63번지 3호,37.8528016,126.8243093,2000.0,2019-01-31,닭,,
파주시,금양농장,육계,10833.0,경기도 파주시 파주읍 바리골길 305-29,경기도 파주시 파주읍 향양리 63번지 3호,126.8243093,37.8528016,2000.0,2018-03-14,,,
파주시,기선도,,10863.0,경기도 파주시 송촌동 524-2(소라지로 300-25),경기도 파주시 송촌동 524-2(소라지로 300-25),37.7487891095,126.6900493336,15.0,2021-07-31,닭-토종닭,20210702.0,
파주시,길농장,육계,10833.0,,경기도 파주시 문산읍 선유리 29번지 1호,37.8601366,126.8193712,24000.0,2020-06-30,닭,20181129.0,
파주시,길농장,육계,10833.0,,경기도 파주시 문산읍 선유리 29번지 1호,126.8195872,37.8600829,24000.0,2018-04-30,,,
파주시,김갑석,,10836.0,경기도 파주시 파주읍 봉서리 123(통일로 1430-75),경기도 파주시 파주읍 봉서리 123(통일로 1430-75),37.8345462305,126.7964127622,30.0,2021-09-30,닭-토종닭,20210702.0,
파주시,김강태,,10951.0,경기도 파주시 광탄면 창만리 428-9(소라울1길 98-67),경기도 파주시 광탄면 창만리 428-9(소라울1길 98-67),37.7866552888,126.8637362085,250.0,2021-09-30,닭-토종닭,20210702.0,
파주시,김경수,,10955.0,경기도 파주시 광탄면 용미리 250-1(혜음로454번길 18-41),경기도 파주시 광탄면 용미리 250-1(혜음로454번길 18-41),37.734568493,126.8875723337,14.0,2021-09-30,닭-토종닭,20210702.0,
파주시,김경회,,10804.0,경기도 파주시 적성면 적암리 26-1(율곡로 3117-9),경기도 파주시 적성면 적암리 26-1(율곡로 3117-9),37.9855935146,127.0117791515,14.0,2021-09-30,닭-토종닭,20210702.0,
파주시,김관영,,10955.0,경기도 파주시 광탄면 용미리 산 85(혜음로 429-17),경기도 파주시 광탄면 용미리 산 85(혜음로 429-17),37.7333894517,126.8861634529,400.0,2021-07-31,닭-토종닭,20210702.0,
파주시,김광연,,10844.0,경기도 파주시 월롱면 덕은리 709,경기도 파주시 월롱면 덕은리 709,37.8233364005,126.7643407713,20.0,2021-07-31,닭-토종닭,20210702.0,
파주시,김광일,,10806.0,경기도 파주시 법원읍 웅담리 255-1(술이홀로1584번길 70-6),경기도 파주시 법원읍 웅담리 255-1(술이홀로1584번길 70-6),37.901193134,126.8893789708,10.0,2021-11-30,닭-토종닭,20210702.0,
파주시,김광철,,10801.0,경기도 파주시 파평면 덕천리 203-2(듸링거리길 117-140),경기도 파주시 파평면 덕천리 203-2(듸링거리길 117-140),37.9422718959,126.8685082694,1.0,2021-07-31,닭-토종닭,20210702.0,
파주시,김광호,,10888.0,경기도 파주시 동패동 1344,경기도 파주시 동패동 1344,37.7055687267,126.728637062,4.0,2021-11-30,타조,20210702.0,
파주시,김광호,,10888.0,경기도 파주시 동패동 1344,경기도 파주시 동패동 1344,37.7055687267,126.728637062,3.0,2021-09-30,닭-토종닭,20210702.0,
파주시,김남철,,10800.0,경기도 파주시 진동면 동파리 1082-1,경기도 파주시 진동면 동파리 1082-1,37.9319835499,126.7962046593,9.0,2021-09-30,닭-토종닭,20210702.0,
파주시,김덕수,,10818.0,경기도 파주시 문산읍 사목리 93-2(통일로2033번길 146),경기도 파주시 문산읍 사목리 93-2(통일로2033번길 146),37.8784775553,126.7628943531,17000.0,2021-09-30,닭-토종닭,20210702.0,
파주시,김동련,,10800.0,경기도 파주시 군내면 조산리 366,경기도 파주시 군내면 조산리 366,37.9430906301,126.6796003112,6.0,2021-11-30,닭-토종닭,20210702.0,
