시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
안성시,(주)한강식품 안성농장,육계,17596.0,경기도 안성시 중리동 79번지 7호,경기도 안성시 발화대길 301-52(중리동),36.9789954496,127.2892823291,70000,2025-04-30,닭,20240208.0,
안성시,NES농장,산란계,17527.0,경기도 안성시 일죽면 국동길 78-86,경기도 안성시 일죽면 능국리 7번지 1호,127.5022345,37.1114922,58000,2018-03-14,,,
안성시,NES농장,산란계,17527.0,경기도 안성시 일죽면 능국리 7번지 1호,경기도 안성시 일죽면 국동길 78-86,37.1118797316,127.5022371094,100000,2025-07-31,닭,20240208.0,
안성시,NES농장,산란계,17527.0,경기도 안성시 일죽면 국동길 78-86,경기도 안성시 일죽면 능국리 7번지 1호,37.1114922,127.5022345,58000,2020-06-30,닭,20181129.0,
안성시,NES농장,산란계,17527.0,경기도 안성시 일죽면 국동길 78-86,경기도 안성시 일죽면 능국리 7번지 1호,37.1112428218,127.5016995946,100000,2021-06-30,닭,20210618.0,
안성시,NES농장2,산란계,17527.0,경기도 안성시 일죽면 국동길 78-64,경기도 안성시 일죽면 능국리 4번지 외 1필지(4-2),37.1110957,127.5001055,110000,2021-04-30,닭,20181129.0,
안성시,NES농장2,산란계,17527.0,경기도 안성시 일죽면 국동길 78-64,경기도 안성시 일죽면 능국리 4번지 외 1필지(4-2),37.1110625487,127.5001463497,110000,2021-09-30,닭,20210618.0,
안성시,NES농장2,산란계,17527.0,경기도 안성시 일죽면 능국리 4번지 외 1필지(4-2),경기도 안성시 일죽면 국동길 78-64,37.1109633919,127.4999775192,110000,2025-04-30,닭,20240208.0,
안성시,NES농장2,산란계,17527.0,경기도 안성시 일죽면 국동길 78-64,경기도 안성시 일죽면 능국리 4번지 외 1필지(4-2),127.5001055,37.1110957,65000,2018-03-14,,,
안성시,가이안농장,,17509.0,,경기도 안성시 보개면 기좌리 124번지 1호,37.0354397,127.2918503,9000,2019-01-31,오리,,
안성시,가족농장,,17603.0,경기도 안성시 미양면 보촌4길 59,경기도 안성시 미양면 고지리 574번지 2호,36.9584163,127.2047427,3000,2021-04-30,오리,20181129.0,
안성시,가족농장,육계,17603.0,경기도 안성시 미양면 보촌4길 59,경기도 안성시 미양면 고지리 574번지 2호 외 1필지,36.9585780201,127.2048001246,14000,2021-11-30,닭,20210618.0,
안성시,강덕농장,종계,17604.0,"경기도 안성시 미양면 강덕리 101번지 6호 , 101-4",경기도 안성시 미양면 강덕3길 23,36.9509465581,127.2251590035,48950,2026-01-31,닭,20240208.0,
안성시,강덕농장,육계,17604.0,경기도 안성시 미양면 강덕3길 23,경기도 안성시 미양면 강덕리 101번지 6호 외1필지(101-4),36.9509465581,127.2251590035,45500,2021-07-31,닭,20210618.0,
안성시,강릉농장,육계,17533.0,,경기도 안성시 일죽면 금산리 134번지,127.5073551,37.0726895,55000,2018-04-30,,,
안성시,강릉농장,육계,17533.0,,경기도 안성시 일죽면 금산리 134번지,,,55000,2019-02-28,닭,20181129.0,
안성시,경기농장,산란계,17557.0,경기도 안성시 원곡면 기업단지로 237-30,경기도 안성시 원곡면 반제리 430번지 외1필지,37.0158883157,127.1597708929,30000,2021-06-30,닭,20210618.0,
안성시,경기농장,산란계,17557.0,경기도 안성시 원곡면 기업단지로 237-30,경기도 안성시 원곡면 반제리 430번지 외1필지,127.1597457,37.0158554,30000,2018-03-14,,,
안성시,경기농장,산란계,17557.0,경기도 안성시 원곡면 기업단지로 237-30,경기도 안성시 원곡면 반제리 430번지 외1필지,37.0158554,127.1597457,30000,2019-01-31,닭,,
안성시,경기농장,산란계,17557.0,경기도 안성시 원곡면 반제리 430번지 외1필지,경기도 안성시 원곡면 기업단지로 237-30,37.0158883157,127.1597708929,27800,2026-02-26,닭,20240208.0,
안성시,경남축산,육계,17555.0,경기도 안성시 원곡면 만세로 1286-7,경기도 안성시 원곡면 외가천리 142번지 25호,127.1393858,37.0414888,54000,2018-03-14,,,
안성시,경남축산,육계,17555.0,경기도 안성시 원곡면 만세로 1286-7,경기도 안성시 원곡면 외가천리 142번지 25호,37.0413265,127.1394754,54000,2020-11-30,닭,20181129.0,
안성시,경운농장,종계,17531.0,경기도 안성시 일죽면 장암리 237번지 5호,경기도 안성시 일죽면 장암리 237번지 5호,,,27000,2026-01-31,닭,20240208.0,
안성시,경운농장,육계,17531.0,경기도 안성시 일죽면 장암로 122-7,경기도 안성시 일죽면 장암리 237번지 5호,37.0736115185,127.4633143302,27000,2021-07-31,닭,20210618.0,
안성시,경원농장,산란계,17512.0,경기도 안성시 삼죽면 월앙길 50-40,경기도 안성시 삼죽면 내장리 211번지,37.0804089,127.3988365,5000,2018-12-31,닭,,
안성시,경원농장,산란계,17512.0,경기도 안성시 삼죽면 월앙길 50-40,경기도 안성시 삼죽면 내장리 211번지,127.3988365,37.0804089,5000,2018-09-30,,,
