시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
김포시,가현농장,산란계,10030.0,,경기도 김포시 통진읍 가현리 607번지,,,9700.0,2020-11-30,닭,20191202.0,
김포시,가현농장,산란계,10030.0,,경기도 김포시 통진읍 가현리 산 50번지,37.6782104088,126.5840366219,8000.0,2020-11-30,닭,20191202.0,
김포시,갈산농장,육계,10025.0,경기도 김포시 월곶면 군하로 134-34,경기도 김포시 월곶면 갈산리 440번지 1호,37.7059418899,126.5613487353,260.0,2021-04-30,닭,20191202.0,
김포시,대곶농장,육계,10040.0,,경기도 김포시 대곶면 율생리 570번지,37.6509045,126.5766937,300.0,2020-06-30,닭,20181204.0,
김포시,대곶농장,육계,10040.0,,경기도 김포시 대곶면 율생리 570번지,37.6508217219,126.5766436748,300.0,2020-07-31,닭,20191202.0,
김포시,대명농장,육계,10040.0,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,37.6534223,126.559194,20000.0,2020-06-30,닭,20181204.0,
김포시,대명농장,육계,10040.0,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,37.6534145431,126.5591989649,20000.0,2020-07-31,닭,20191202.0,
김포시,도수농장,산란계,10030.0,경기도 김포시 통진읍 마송2로104번길 58-25,경기도 김포시 통진읍 마송리 399번지 3호,37.684421941,126.5893489103,20000.0,2020-11-30,닭,20191202.0,
김포시,말무리농장,산란계,10010.0,경기도 김포시 통진읍 애기봉로571번길 128-70,경기도 김포시 통진읍 귀전리 84번지,37.7326313145,126.6068254671,5000.0,2021-04-30,닭,20191202.0,
김포시,밤농장,육계,,,경기도 김포시 양촌읍 구래리 산 118번지,,,150.0,2021-04-30,닭,20191202.0,
김포시,봉림농장,산란계,10038.0,경기도 김포시 통진읍 가현로 28,경기도 김포시 통진읍 가현리 810번지,37.6674447459,126.5828213367,40000.0,2021-04-30,닭,20191202.0,
김포시,수현농장,육계,10020.0,경기도 김포시 월곶면 포내로 102-39,경기도 김포시 월곶면 포내리 251번지 6호,37.724247969,126.5291529365,25000.0,2021-04-30,닭,20191202.0,
김포시,연주농장,육계,10047.0,경기도 김포시 양촌읍 삭시갈마로 39,경기도 김포시 양촌읍 학운리 815번지 1호,37.6232433961,126.6014502273,2500.0,2020-11-30,닭,20191202.0,
김포시,영철농장,육계,,,경기도 김포시 양촌읍 구래리 652번지 1호,,,25000.0,2021-04-30,닭,20191202.0,
김포시,옥화농장,산란계,10005.0,,경기도 김포시 하성면 마조리 209번지 17호,37.7510897284,126.6357194931,20.0,2020-07-31,닭,20191202.0,
김포시,우정농장,산란계,10028.0,,경기도 김포시 대곶면 석정리 산 44번지,37.6701211714,126.5597582902,18000.0,2020-11-30,닭,20191202.0,
김포시,유성농장,산란계,10028.0,경기도 김포시 대곶면 대곶북로 367-46,경기도 김포시 대곶면 석정리 46번지 2호,37.6757943978,126.574043648,32000.0,2020-11-30,닭,20191202.0,
김포시,은상농장,산란계,10037.0,경기도 김포시 대곶면 율마로256번길 146-10,경기도 김포시 대곶면 거물대리 77번지,37.6705973825,126.6036689221,70000.0,2020-07-31,닭,20191202.0,
김포시,인천농장,육계,10002.0,,경기도 김포시 월곶면 조강리 79번지,37.7492197,126.5863882,7000.0,2020-06-30,닭,20181204.0,
김포시,장락농장,산란계,10026.0,경기도 김포시 대곶면 대곶로321번길 104,경기도 김포시 대곶면 쇄암리 445-4번지,37.6708688,126.5499024,50000.0,2020-06-30,닭,20181204.0,
김포시,종훈농장,산란계,10029.0,,경기도 김포시 통진읍 옹정리 산 58번지,,,10000.0,2021-04-30,닭,20191202.0,
김포시,주일농장,산란계,,,경기도 김포시 양촌읍 학운리 산 20번지,,,12000.0,2020-07-31,닭,20191202.0,
김포시,천풍농장,산란계,10050.0,,경기도 김포시 대곶면 대벽리 1039번지,37.6176925548,126.5679208467,12000.0,2021-04-30,닭,20191202.0,
김포시,청솔산업,육계,10010.0,경기도 김포시 통진읍 서암로 281-22,경기도 김포시 통진읍 귀전리 1008번지,37.7070605,126.6104822,100.0,2020-06-30,닭,20181204.0,
김포시,초롱농장,산란계,10027.0,,경기도 김포시 대곶면 송마리 178번지,37.6632084,126.5711662,3000.0,2020-06-30,닭,20181204.0,
김포시,초롱농장,산란계,10027.0,,경기도 김포시 대곶면 송마리 178번지,,,3000.0,2020-11-30,닭,20191202.0,
김포시,태경농장,산란계,10024.0,경기도 김포시 월곶면 김포대로2659번길 71-88,경기도 김포시 월곶면 군하리 323번지 30호,37.7058863162,126.5521491939,40000.0,2020-07-31,닭,20191202.0,
김포시,풍진농장,산란계,10042.0,,경기도 김포시 대곶면 약암리 808번지,37.6217415118,126.5603174525,15000.0,2021-04-30,닭,20191202.0,
김포시,하나농장,육계,10041.0,,경기도 김포시 대곶면 대명리 208번지,37.653290478,126.5477331705,38000.0,2020-07-31,닭,20191202.0,
김포시,하늘농장,산란계,10008.0,경기도 김포시 하성면 가금로 372-119,경기도 김포시 하성면 양택리 104번지,37.7355028154,126.617107103,2500.0,2020-07-31,닭,20191202.0,
김포시,하성농장,산란계,10013.0,경기도 김포시 하성면 하성로196번길 83,경기도 김포시 하성면 봉성리 65번지 3호,37.6921844112,126.6375947615,15000.0,2021-04-30,닭,20191202.0,
김포시,학운농장,육계,10047.0,,경기도 김포시 양촌읍 학운리 399번지,37.6259933084,126.6030093086,25000.0,2020-07-31,닭,20191202.0,
김포시,호은농장,육계,10005.0,경기도 김포시 하성면 하성로 873-95,경기도 김포시 하성면 마조리 325번지,37.7498061,126.6284293,35000.0,2020-06-30,닭,20181204.0,
김포시,효운농장,육계,10045.0,,경기도 김포시 양촌읍 유현리 444번지 1호,37.6347788,126.6155215,35000.0,2020-06-30,닭,20181204.0,
김포시,거목농장,육계,10010.0,경기도 김포시 통진읍 월하로 586-62,경기도 김포시 통진읍 귀전리 712번지 2호,37.7082536404,126.619154891,60000.0,2021-06-30,닭,20191202.0,
김포시,금산농장,산란계,10052.0,경기도 김포시 양촌읍 금포로1491번길 369-11,경기도 김포시 양촌읍 누산리 1036번지 111호,37.6748584657,126.6596922374,45000.0,2021-06-30,닭,20191202.0,
김포시,깻잎농원,육계,10123.0,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75번지 34호,37.6176310179,126.7674827936,100.0,2021-06-30,닭,20191202.0,
