시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
오산시,명보농장,육용종계,18104.0,경기도 오산시 음양1길 38-31,경기도 오산시 서동 607번지,37.1466445,127.0332055,21500,2019-12-31,닭,20181130.0,
오산시,명보농장,육용종계,18104.0,경기도 오산시 음양1길 38-31,경기도 오산시 서동 607,37.1467855803,127.033044382,19760,2021-06-30,닭,20210312.0,
오산시,명보농장,육계,18104.0,경기도 오산시 음양1길 38-31,경기도 오산시 서동 607,37.1466445824,127.0332055904,19760,2020-11-30,닭,20200312.0,
오산시,명보농장,육용종계,18104.0,경기도 오산시 벌음3길 31,경기도 오산시 서동 607,37.1467855803,127.033044382,19000,2025-04-30,닭,20230207.0,
오산시,육성농장,육용종계,18124.0,경기도 오산시 가장로 599-13,경기도 오산시 가장동 314-3번지,37.1591658,127.0440068,23000,2019-06-30,닭,20181130.0,
오산시,육성농장,육용종계,18124.0,경기도 오산시 가장로 599-13,경기도 오산시 가장로 599-13,37.1584486855,127.044325045,0,2026-01-31,닭,20250714.0,
오산시,육성농장,육용종계,18124.0,경기도 오산시 가장로 599-13,경기도 오산시 가장동 314-3,37.1584486855,127.044325045,23500,2021-04-30,닭,20210312.0,
오산시,육성농장,육계,18124.0,경기도 오산시 가장로 599-13,경기도 오산시 가장동 314-3,37.1591658725,127.044006851,23500,2020-11-30,닭,20200312.0,
오산시,육성농장,육용종계,18124.0,경기도 오산시 가장로 599-13,경기도 오산시 가장로 599-13,37.1584486855,127.044325045,23000,2025-05-31,닭,20230207.0,
오산시,은혜농장,산란계,,,경기도 오산시 벌음동,127.0560978,37.1432125,4000,2018-03-14,,,
오산시,은혜농장,산란계,18104.0,경기도 오산시 음양1길 38-22,경기도 오산시 벌음동 301번지,37.1454193,127.0326423,4000,2019-12-31,닭,20181130.0,
오산시,은혜농장,산란계,12649.0,경기도 여주시 가남읍 화평길 55,경기도 여주시 가남읍 화평리 113-4번지,37.2428324,127.5653108,4000,2019-01-31,,,
오산시,은혜농장,산란계,,,경기도 오산시 벌음동,37.1432125,127.0560978,4000,2018-12-31,,,
오산시,이나팜스,산란계,18104.0,경기도 오산시 벌음3길 31,경기도 오산시 서동 607,37.1467855803,127.033044382,31000,2025-07-31,닭,20250714.0,
